# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.395
metadata : {}


# id : NWRW1800000022.395.1.1
강원비앤이 등 공모주 청약

강원비앤이	강원비앤이/NNP
등	등/NNB
공모주	공모주/NNG
청약	청약/NNG


# id : NWRW1800000022.395.2.1
강원비앤이는 산업용 보일러와 플랜트 설비 등을 제조하는 회사다.

강원비앤이는	강원비앤이/NNP+는/JX
산업용	산업/NNG+용/XSN
보일러와	보일러/NNG+와/JC
플랜트	플랜트/NNG
설비	설비/NNG
등을	등/NNB+을/JKO
제조하는	제조/NNG+하/XSV+는/ETM
회사다.	회사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.395.2.2
지난 1976년에 설립된 이래 온수 보일러 같은 발전에너지 설비, 대형 열매체 보일러 같은 화공설비, 소각로를 비롯한 환경에너지 설비 등을 주로 생산한다.

지난	지나/VV+ㄴ/ETM
1976년에	1976/SN+년/NNB+에/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
이래	이래/NNB
온수	온수/NNG
보일러	보일러/NNG
같은	같/VA+은/ETM
발전에너지	발전/NNG+에너지/NNG
설비,	설비/NNG+,/SP
대형	대형/NNG
열매체	열매체/NNG
화공설비,	화공/NNG+설비/NNG+,/SP
소각로를	소각로/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
환경에너지	환경/NNG+에너지/NNG
설비	설비/NNG
등을	등/NNB+을/JKO
주로	주로/MAG
생산한다.	생산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.395.2.3
최근 내구성을 요구하는 화공설비 분야의 매출 비중이 높아지고 있다.

최근	최근/MAG
내구성을	내구/NNG+성/XSN+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
화공설비	화공/NNG+설비/NNG
분야의	분야/NNG+의/JKG
매출	매출/NNG
비중이	비중/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.395.3.1
그랜드코리아레저는 외국인 전용 세븐럭카지노를 운영하는 회사다.

그랜드코리아레저는	그랜드코리아레저/NNP+는/JX
외국인	외국인/NNG
전용	전용/NNG
세븐럭카지노를	세븐럭카지노/NNP+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
회사다.	회사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.395.3.2
지난 2005년 9월 한국관광공사가 지분 100%를 보유한 자회사로 설립됐다.

지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
9월	9/SN+월/NNB
한국관광공사가	한국관광공사/NNP+가/JKS
지분	지분/NNG
100%를	100/SN+%/SW+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
자회사로	자회사/NNG+로/JKB
설립됐다.	설립/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.395.3.3
현재 서울과 부산에 3곳의 매장을 운영하고 있으며 파라다이스와 함께 국내 외국인 카지노 시장을 양분하고 있다.

현재	현재/MAG
서울과	서울/NNP+과/JC
부산에	부산/NNP+에/JKB
3곳의	3/SN+곳/NNG+의/JKG
매장을	매장/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
파라다이스와	파라다이스/NNP+와/JKB
함께	함께/MAG
국내	국내/NNG
외국인	외국인/NNG
카지노	카지노/NNG
시장을	시장/NNG+을/JKO
양분하고	양분/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.395.3.4
9일엔 국내 외국인 전용 카지노 가운데 처음으로 ISO(국제표준화기구)9001 품질경영시스템 인증을 받았다.

9일엔	9/SN+일/NNB+에/JKB+ㄴ/JX
국내	국내/NNG
외국인	외국인/NNG
전용	전용/NNG
카지노	카지노/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
ISO(국제표준화기구)9001	ISO/SL+(/SS+국제표준화기구/NNP+)/SS+9001/SN
품질경영시스템	품질/NNG+경영/NNG+시스템/NNG
인증을	인증/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


