# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.426
metadata : {}


# id : NWRW1800000048.426.1.1
다시 선거철?…새누리, 포털 임원들 국감 불러내기

다시	다시/MAG
선거철?…새누리,	선거철/NNG+?/SF+…/SE+새누리/NNP+,/SP
포털	포털/NNG
임원들	임원/NNG+들/XSN
국감	국감/NNG
불러내기	불러내/VV+기/ETN


# id : NWRW1800000048.426.2.1
실명제 논란·독과점 등 이유

실명제	실명/NNG+제/XSN
논란·독과점	논란/NNG+·/SP+독과점/NNG
등	등/NNB
이유	이유/NNG


# id : NWRW1800000048.426.3.1
4개 상임위, 증인 출석 추진

4개	4/SN+개/NNB
상임위,	상임위/NNG+,/SP
증인	증인/NNG
출석	출석/NNG
추진	추진/NNG


# id : NWRW1800000048.426.4.1
재벌총수 증인 채택엔 소극적

재벌총수	재벌/NNG+총수/NNG
증인	증인/NNG
채택엔	채택/NNG+에/JKB+ㄴ/JX
소극적	소극/NNG+적/XSN


# id : NWRW1800000048.426.5.1
새누리당은 이번 국정감사에서 김범수 다음카카오 이사회 의장과 이해진 네이버 이사회 의장을 안전행정위원회 등 4개 상임위원회 증인으로 잇따라 출석시키는 방안을 추진하고 있다.

새누리당은	새누리당/NNP+은/JX
이번	이번/NNG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
김범수	김범수/NNP
다음카카오	다음카카오/NNP
이사회	이사회/NNG
의장과	의장/NNG+과/JC
이해진	이해진/NNP
네이버	네이버/NNP
의장을	의장/NNG+을/JKO
안전행정위원회	안전/NNG+행정/NNG+위원회/NNG
등	등/NNB
4개	4/SN+개/NNB
상임위원회	상임/NNG+위원회/NNG
증인으로	증인/NNG+으로/JKB
잇따라	잇따르/VV+아/EC
출석시키는	출석/NNG+시키/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.426.5.2
국감 증인으로 재벌 총수 등을 부르는 것에 소극적이던 새누리당이 인터넷 포털사이트 대표들에 대해선 여러 상임위에 걸쳐 중복적으로 증인 채택을 요구하고 있는 것이다.

국감	국감/NNG
증인으로	증인/NNG+으로/JKB
재벌	재벌/NNG
총수	총수/NNG
등을	등/NNB+을/JKO
부르는	부르/VV+는/ETM
것에	것/NNB+에/JKB
소극적이던	소극/NNG+적/XSN+이/VCP+던/ETM
새누리당이	새누리당/NNP+이/JKS
인터넷	인터넷/NNG
포털사이트	포털/NNG+사이트/NNG
대표들에	대표/NNG+들/XSN+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
여러	여러/MMN
상임위에	상임위/NNG+에/JKB
걸쳐	걸치/VV+어/EC
중복적으로	중복/NNG+적/XSN+으로/JKB
증인	증인/NNG
채택을	채택/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.426.6.1
새누리당은 7일 현재 안행위, 미래창조과학방송통신위원회, 교육문화체육관광위원회, 정무위원회 등 4개 상임위에서 양대 포털 오너의 증인 채택이 필요하다는 입장을 야당에 전달했다.

새누리당은	새누리당/NNP+은/JX
7일	7/SN+일/NNB
현재	현재/MAG
안행위,	안행위/NNG+,/SP
미래창조과학방송통신위원회,	미래/NNG+창조/NNG+과학/NNG+방송/NNG+통신/NNG+위원회/NNG+,/SP
교육문화체육관광위원회,	교육/NNG+문화/NNG+체육/NNG+관광/NNG+위원회/NNG+,/SP
정무위원회	정무/NNG+위원회/NNG
등	등/NNB
4개	4/SN+개/NNB
상임위에서	상임위/NNG+에서/JKB
양대	양대/MMA
포털	포털/NNG
오너의	오너/NNG+의/JKG
증인	증인/NNG
채택이	채택/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
입장을	입장/NNG+을/JKO
야당에	야당/NNG+에/JKB
