# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.90
metadata : {}


# id : NWRW1800000041.90.1.1
[학생부종합전형 필승전략]서강대, 자소서에 본인 장점 기재할 수 있어…

[학생부종합전형	[/SS+학생부/NNG+종합/NNG+전형/NNG
필승전략]서강대,	필승/NNG+전략/NNG+]/SS+서강대/NNP+,/SP
자소서에	자소서/NNG+에/JKB
본인	본인/NNG
장점	장점/NNG
기재할	기재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어…	있/VA+어/EF+…/SE


# id : NWRW1800000041.90.2.1
활동보충자료로 심층내용 제시 가능

활동보충자료로	활동/NNG+보충/NNG+자료/NNG+로/JKB
심층내용	심층/NNG+내용/NNG
제시	제시/NNG
가능	가능/NNG


# id : NWRW1800000041.90.3.1
서강대는 학생부종합전형을 통해 수시모집 전체 선발인원의 22.4%(243명)를 선발한다.

서강대는	서강대/NNP+는/JX
학생부종합전형을	학생부/NNG+종합/NNG+전형/NNG+을/JKO
통해	통하/VV+아/EC
수시모집	수시/NNG+모집/NNG
전체	전체/NNG
선발인원의	선발/NNG+인원/NNG+의/JKG
22.4%(243명)를	22/SN+./SP+4/SN+%/SW+(/SS+243/SN+명/NNB+)/SS+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.90.3.2
수능최저학력기준은 적용하지 않고 1단계 서류평가와 2단계 면접평가를 실시한 뒤 1단계 점수 80%와 2단계 점수 20%를 합산해 최종합격자를 선발한다.

수능최저학력기준은	수능/NNG+최저/NNG+학력/NNG+기준/NNG+은/JX
적용하지	적용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
1단계	1/SN+단계/NNG
서류평가와	서류/NNG+평가/NNG+와/JC
2단계	2/SN+단계/NNG
면접평가를	면접/NNG+평가/NNG+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
점수	점수/NNG
80%와	80/SN+%/SW+와/JC
20%를	20/SN+%/SW+를/JKO
합산해	합산/NNG+하/XSV+아/EC
최종합격자를	최종/NNG+합격자/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.90.3.3
김영수 입학처장은 “종합적인 평가를 통해 지원자의 가능성을 판단할 것”이라고 설명했다.

김영수	김영수/NNP
입학처장은	입학처장/NNG+은/JX
“종합적인	“/SS+종합/NNG+적/XSN+이/VCP+ㄴ/ETM
평가를	평가/NNG+를/JKO
통해	통하/VV+아/EC
지원자의	지원자/NNG+의/JKG
가능성을	가능/NNG+성/XSN+을/JKO
판단할	판단/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.90.4.1
김영수 입학처장1단계(서류평가)는 학교생활기록부, 자기소개서, 교사추천서, 활동보충자료를 토대로 평가가 진행된다.

김영수	김영수/NNP
