# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.421
metadata : {}


# id : NWRW1800000021.421.1.1
■ 혼자서도 개념이해 척척… 새 교육과정 맞춰 내용 혁신

■	■/SW
혼자서도	혼자/NNG+서/JKS+도/JX
개념이해	개념/NNG+이해/NNG
척척…	척척/MAG+…/SE
새	새/MMA
교육과정	교육/NNG+과정/NNG
맞춰	맞추/VV+어/EC
내용	내용/NNG
혁신	혁신/NNG


# id : NWRW1800000021.421.2.1
56년 역사를 자랑하는 ‘동아전과’는 국내 학습교재 가운데 최장수 브랜드이자 초등학생 공부 역사 그 자체이다.

56년	56/SN+년/NNB
역사를	역사/NNG+를/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
‘동아전과’는	‘/SS+동아전과/NNP+’/SS+는/JX
국내	국내/NNG
학습교재	학습/NNG+교재/NNG
가운데	가운데/NNG
최장수	최/XPN+장수/NNG
브랜드이자	브랜드/NNG+이/VCP+자/EC
초등학생	초등학생/NNG
공부	공부/NNG
역사	역사/NNG
그	그/MMD
자체이다.	자체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.421.3.1
여러 세대를 거친 지금도 초등학생과 학부모에게 동아전과는 교과서가 가장 잘 해설되어 있는 참고서로 인정받는다.

여러	여러/MMN
세대를	세대/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
지금도	지금/NNG+도/JX
초등학생과	초등학생/NNG+과/JC
학부모에게	학부모/NNG+에게/JKB
동아전과는	동아전과/NNP+는/JX
교과서가	교과서/NNG+가/JKS
가장	가장/MAG
잘	잘/MAG
해설되어	해설/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
참고서로	참고서/NNG+로/JKB
인정받는다.	인정/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000021.421.4.1
동아전과는 올해 새로운 교육과정을 맞아 변신을 꾀하고 있다.

동아전과는	동아전과/NNP+는/JX
올해	올해/NNG
새로운	새롭/VA+ㄴ/ETM
