# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.10
metadata : {}


# id : NWRW1800000024.10.1.1
‘무늬만’ 녹색뉴딜 50조 투입

‘무늬만’	‘/SS+무늬/NNG+만/JX+’/SS
녹색뉴딜	녹색/NNG+뉴딜/NNG
50조	50/SN+조/NR
투입	투입/NNG


# id : NWRW1800000024.10.2.1
정부는 태양광·풍력 등 신재생에너지를 사용해 화석 에너지 소비를 크게 줄인 이른바 ‘그린홈’의 건설 및 공급에 올해 5500억원을 쓰는 등 2012년까지 7조500원의 국비를 투입하기로 했다.

정부는	정부/NNG+는/JX
태양광·풍력	태양광/NNG+·/SP+풍력/NNG
등	등/NNB
신재생에너지를	신/XPN+재생/NNG+에너지/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
화석	화석/NNG
에너지	에너지/NNG
소비를	소비/NNG+를/JKO
크게	크/VA+게/EC
줄인	줄이/VV+ㄴ/ETM
이른바	이른바/MAG
‘그린홈’의	‘/SS+그린홈/NNG+’/SS+의/JKG
건설	건설/NNG
및	및/MAG
공급에	공급/NNG+에/JKB
올해	올해/NNG
5500억원을	5500/SN+억/NR+원/NNB+을/JKO
쓰는	쓰/VV+는/ETM
2012년까지	2012/SN+년/NNB+까지/JX
7조500원의	7/SN+조/NR+500/SN+원/NNB+의/JKG
국비를	국비/NNG+를/JKO
투입하기로	투입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.10.2.2
올해 국비 4850억원을 쓸 4대강 살리기 및 주변 정비사업에는 내년과 2011년에 투입규모를 5조원씩으로 늘려, 2012년까지 민간자본을 포함 모두 18조원을 넣기로 했다.

올해	올해/NNG
국비	국비/NNG
4850억원을	4850/SN+억/NR+원/NNB+을/JKO
쓸	쓰/VV+ㄹ/ETM
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
및	및/MAG
주변	주변/NNG
정비사업에는	정비/NNG+사업/NNG+에/JKB+는/JX
내년과	내년/NNG+과/JC
2011년에	2011/SN+년/NNB+에/JKB
투입규모를	투입/NNG+규모/NNG+를/JKO
5조원씩으로	5/SN+조/NR+원/NNB+씩/XSN+으로/JKB
늘려,	늘리/VV+어/EC+,/SP
2012년까지	2012/SN+년/NNB+까지/JX
민간자본을	민간/NNG+자본/NNG+을/JKO
포함	포함/NNG
모두	모두/MAG
18조원을	18/SN+조/NR+원/NNB+을/JKO
넣기로	넣/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.10.2.3
경부·호남고속철도 사업에는 올해 1조8천억원(국비 6천억원)에서 투입 규모를 2012년 3조원(국비 1조7천억원)으로 늘려 모두 9조6천억원을 쓴다는 내용의 사업계획을 확정했다.

경부·호남고속철도	경부/NNP+·/SP+호남고속철도/NNP
사업에는	사업/NNG+에/JKB+는/JX
올해	올해/NNG
1조8천억원(국비	1/SN+조/NR+8/SN+천억/NR+원/NNB+(/SS+국비/NNG
6천억원)에서	6/SN+천억/NR+원/NNB+)/SS+에서/JKB
투입	투입/NNG
규모를	규모/NNG+를/JKO
2012년	2012/SN+년/NNB
3조원(국비	3/SN+조/NR+원/NNB+(/SS+국비/NNG
1조7천억원)으로	1/SN+조/NR+7/SN+천억/NR+원/NNB+)/SS+으로/JKB
늘려	늘리/VV+어/EC
모두	모두/MAG
9조6천억원을	9/SN+조/NR+6/SN+천억/NR+원/NNB+을/JKO
쓴다는	쓰/VV+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
사업계획을	사업/NNG+계획/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.10.2.4
▶관련기사 8면

▶관련기사	▶/SW+관련/NNG+기사/NNG
8면	8/SN+면/NNG


# id : NWRW1800000024.10.3.1
정부는 6일 국무회의에서 이런 내용을 뼈대로 한 ‘녹색 뉴딜 사업 추진방안’을 의결했다.

정부는	정부/NNG+는/JX
6일	6/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
이런	이런/MMD
내용을	내용/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
한	하/VV+ㄴ/ETM
‘녹색	‘/SS+녹색/NNG
뉴딜	뉴딜/NNG
사업	사업/NNG
추진방안’을	추진/NNG+방안/NNG+’/SS+을/JKO
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.10.3.2
정부는 그린홈 건설·공급 사업과 함께 4대강 살리기, 녹색 교통망 구축, 그린카·청정에너지 보급, 자원 재활용 확대 등 9개 사업을 ‘녹색 뉴딜’의 핵심 사업으로 정하고, 재해위험지구 정비사업 등 27개 사업을 연계사업으로 포함시켰다.

정부는	정부/NNG+는/JX
그린홈	그린홈/NNG
건설·공급	건설/NNG+·/SP+공급/NNG
사업과	사업/NNG+과/JKB
함께	함께/MAG
4대강	4/SN+대/NNG+강/NNG
살리기,	살리/VV+기/ETN+,/SP
녹색	녹색/NNG
교통망	교통망/NNG
구축,	구축/NNG+,/SP
그린카·청정에너지	그린카/NNG+·/SP+청정에너지/NNG
보급,	보급/NNG+,/SP
자원	자원/NNG
재활용	재/XPN+활용/NNG
확대	확대/NNG
등	등/NNB
9개	9/SN+개/NNB
사업을	사업/NNG+을/JKO
‘녹색	‘/SS+녹색/NNG
뉴딜’의	뉴딜/NNG+’/SS+의/JKG
핵심	핵심/NNG
사업으로	사업/NNG+으로/JKB
정하고,	정하/VV+고/EC+,/SP
재해위험지구	재해/NNG+위험/NNG+지구/NNG
정비사업	정비/NNG+사업/NNG
27개	27/SN+개/NNB
연계사업으로	연계/NNG+사업/NNG+으로/JKB
포함시켰다.	포함/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.10.3.3
이들 사업에는 올해 6조2천억원 등 2012년까지 모두 50조원을 투입한다.

이들	이/NP+들/XSN
사업에는	사업/NNG+에/JKB+는/JX
올해	올해/NNG
6조2천억원	6/SN+조/NR+2/SN+천억/NR+원/NNB
등	등/NNB
2012년까지	2012/SN+년/NNB+까지/JX
모두	모두/MAG
50조원을	50/SN+조/NR+원/NNB+을/JKO
투입한다.	투입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.10.3.4
정부는 이런 대규모 투자를 통해 2012년까지 총인원 95만6천여명에게 일자리를 공급할 수 있을 것이라고 설명했다.

정부는	정부/NNG+는/JX
이런	이런/MMD
대규모	대/XPN+규모/NNG
투자를	투자/NNG+를/JKO
통해	통하/VV+아/EC
2012년까지	2012/SN+년/NNB+까지/JX
총인원	총인원/NNG
95만6천여명에게	95/SN+만/NR+6/SN+천/NR+여/XSN+명/NNB+에게/JKB
일자리를	일자리/NNG+를/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


