# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.215
metadata : {}


# id : NWRW1800000054.215.1.1
수재민 도울 돈을… 공무원이 도박에 탕진

수재민	수재민/NNG
도울	돕/VV+ㄹ/ETM
돈을…	돈/NNG+을/JKO+…/SE
공무원이	공무원/NNG+이/JKS
도박에	도박/NNG+에/JKB
탕진	탕진/NNG


# id : NWRW1800000054.215.2.1
공문 위조 9000만원 빼돌려

공문	공문/NNG
위조	위조/NNG
9000만원	9000/SN+만/NR+원/NNB
빼돌려	빼돌리/VV+어/EF


# id : NWRW1800000054.215.3.1
울산의 한 기초자치단체 공무원 김모(46)씨는 '도박 중독자'였다.

울산의	울산/NNP+의/JKG
한	한/MMN
기초자치단체	기초/NNG+자치/NNG+단체/NNG
공무원	공무원/NNG
김모(46)씨는	김/NNP+모/NP+(/SS+46/SN+)/SS+씨/NNB+는/JX
'도박	'/SS+도박/NNG
중독자'였다.	중독자/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.215.4.1
은행과 대부업체 채무가 6억여원에 달해 2015년 3월 개인회생 신청을 하고도 6개월여 동안 마카오에 18차례 드나들었을 정도로 도박을 끊지 못하고 있었다.

은행과	은행/NNG+과/JC
대부업체	대부업체/NNG
채무가	채무/NNG+가/JKS
6억여원에	6/SN+억/NR+여/XSN+원/NNB+에/JKB
달해	달하/VV+아/EC
2015년	2015/SN+년/NNB
3월	3/SN+월/NNB
개인회생	개인/NNG+회생/NNG
신청을	신청/NNG+을/JKO
하고도	하/VV+고/EC+도/JX
6개월여	6/SN+개월/NNB+여/XSN
동안	동안/NNG
마카오에	마카오/NNP+에/JKB
18차례	18/SN+차례/NNG
드나들었을	드나들/VV+었/EP+을/ETM
정도로	정도/NNG+로/JKB
도박을	도박/NNG+을/JKO
끊지	끊/VV+지/EC
못하고	못하/VX+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.215.4.2
김씨는 빚을 갚고 도박 자금도 마련하기 위해 자신이 관리하던 수재의연금에 손을 댔다.

김씨는	김/NNP+씨/NNB+는/JX
빚을	빚/NNG+을/JKO
갚고	갚/VV+고/EC
도박	도박/NNG
자금도	자금/NNG+도/JX
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자신이	자신/NNG+이/JKS
관리하던	관리/NNG+하/XSV+던/ETM
수재의연금에	수재/NNG+의연금/NNG+에/JKB
손을	손/NNG+을/JKO
댔다.	대/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.215.5.1
울산은 지난해 10월 태풍 '차바' 때문에 큰 피해를 봤다.

울산은	울산/NNP+은/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
태풍	태풍/NNG
'차바'	'/SS+차바/NNG+'/SS
때문에	때문/NNB+에/JKB
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.215.5.2
울산에 공장을 둔 에쓰오일은 3억1580만원 상당의 주유상품권을 수재의연금으로 내놓았다.

울산에	울산/NNP+에/JKB
공장을	공장/NNG+을/JKO
둔	두/VV+ㄴ/ETM
에쓰오일은	에쓰오일/NNP+은/JX
3억1580만원	3/SN+억/NR+1580/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
주유상품권을	주유/NNG+상품/NNG+권/XSN+을/JKO
수재의연금으로	수재/NNG+의연금/NNG+으로/JKB
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.215.5.3
이 상품권을 수재민에게 나눠주는 업무를 맡았던 김씨는 '(수재)의연금품 배부방법 개선에 따른 협조요청'이라는 가짜 공문을 읍·면사무소 등에 보내 주유상품권 3360만원어치를 회수했다.

이	이/MMD
상품권을	상품/NNG+권/XSN+을/JKO
수재민에게	수재민/NNG+에게/JKB
나눠주는	나누/VV+어/EC+주/VX+는/ETM
업무를	업무/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
김씨는	김/NNP+씨/NNB+는/JX
'(수재)의연금품	'/SS+(/SS+수재/NNG+)/SS+의연/NNG+금품/NNG
배부방법	배부/NNG+방법/NNG
개선에	개선/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
협조요청'이라는	협조/NNG+요청/NNG+'/SS+이/VCP+라는/ETM
가짜	가짜/NNG
공문을	공문/NNG+을/JKO
읍·면사무소	읍·면사무소/NNG
등에	등/NNB+에/JKB
보내	보내/VV+어/EC
주유상품권	주유/NNG+상품/NNG+권/XSN
3360만원어치를	3360/SN+만/NR+원/NNB+어치/XSN+를/JKO
회수했다.	회수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.215.5.4
또 군청이 보관 중이던 5430만원 상당의 상품권도 '울산사회복지공동모금회에 반납해 다시 배분한다'는 허위 공문서를 만들어 가로챘다.

또	또/MAG
군청이	군청/NNG+이/JKS
보관	보관/NNG
중이던	중/NNB+이/VCP+던/ETM
5430만원	5430/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
상품권도	상품/NNG+권/XSN+도/JX
'울산사회복지공동모금회에	'/SS+울산사회복지공동모금회/NNP+에/JKB
반납해	반납/NNG+하/XSV+아/EC
다시	다시/MAG
배분한다'는	배분/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
허위	허위/NNG
공문서를	공문서/NNG+를/JKO
만들어	만들/VV+어/EC
가로챘다.	가로채/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.215.6.1
김씨는 이렇게 빼돌린 8790만원 상당의 상품권을 울산과 부산 등지의 상품권 매입처에서 현금화했다.

김씨는	김/NNP+씨/NNB+는/JX
이렇게	이렇/VA+게/EC
빼돌린	빼돌리/VV+ㄴ/ETM
8790만원	8790/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
상품권을	상품/NNG+권/XSN+을/JKO
울산과	울산/NNP+과/JC
부산	부산/NNP
등지의	등지/NNB+의/JKG
상품권	상품/NNG+권/XSN
매입처에서	매입처/NNG+에서/JKB
현금화했다.	현금/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.215.6.2
이 돈으로 빚 일부를 갚고, 홍콩과 마카오 등지에서 슬롯머신 도박 자금으로 탕진했다.

이	이/MMD
돈으로	돈/NNG+으로/JKB
빚	빚/NNG
일부를	일부/NNG+를/JKO
갚고,	갚/VV+고/EC+,/SP
홍콩과	홍콩/NNP+과/JC
마카오	마카오/NNP
등지에서	등지/NNB+에서/JKB
슬롯머신	슬롯머신/NNG
도박	도박/NNG
자금으로	자금/NNG+으로/JKB
탕진했다.	탕진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.215.6.3
김씨는 지난 4월 사표를 냈다.

김씨는	김/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
사표를	사표/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.215.6.4
하지만 이를 수상하게 여긴 울산시 감사팀이 경찰에 수사를 의뢰하면서 김씨의 범행을 밝혀냈다.

하지만	하지만/MAJ
이를	이/NP+를/JKO
수상하게	수상/NNG+하/XSV+게/EC
여긴	여기/VV+ㄴ/ETM
울산시	울산시/NNP
감사팀이	감사/NNG+팀/NNG+이/JKS
경찰에	경찰/NNG+에/JKB
수사를	수사/NNG+를/JKO
의뢰하면서	의뢰/NNG+하/XSV+면서/EC
김씨의	김/NNP+씨/NNB+의/JKG
범행을	범행/NNG+을/JKO
밝혀냈다.	밝혀내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.215.6.5
울산지법 형사5 단독 안재훈 판사는 업무상 횡령, 사기 등의 혐의로 기소된 김씨에게 징역 1년 6개월을 선고했다고 18일 밝혔다.

울산지법	울산지법/NNP
형사5	형사/NNG+5/SN
단독	단독/NNG
안재훈	안재훈/NNP
판사는	판사/NNG+는/JX
업무상	업무/NNG+상/XSN
횡령,	횡령/NNG+,/SP
사기	사기/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
김씨에게	김/NNP+씨/NNB+에게/JKB
징역	징역/NNG
1년	1/SN+년/NNB
6개월을	6/SN+개월/NNB+을/JKO
선고했다고	선고/NNG+하/XSV+았/EP+다고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


