# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.99
metadata : {}


# id : NWRW1800000041.99.1.1
LG하우시스, ‘지아벽지’ 아토피 개선효과 입증… 초고단열 유리로 이중창 굿바이!

LG하우시스,	LG하우시스/NNP+,/SP
‘지아벽지’	‘/SS+지아벽지/NNP+’/SS
아토피	아토피/NNG
개선효과	개선/NNG+효과/NNG
입증…	입증/NNG+…/SE
초고단열	초/XPN+고/XPN+단열/NNG
유리로	유리/NNG+로/JKB
이중창	이중창/NNG
굿바이!	굿바이/NNG+!/SF


# id : NWRW1800000041.99.2.1
[미래창조 기업]

[미래창조	[/SS+미래/NNG+창조/NNG
기업]	기업/NNG+]/SS


# id : NWRW1800000041.99.3.1
LG하우시스는 에너지절감형 친환경 건자재를 공급하면서 국가적인 에너지난을 해소하고 안전한 생활공간을 조성하는 데 기여하고 있다.

LG하우시스는	LG하우시스/NNP+는/JX
에너지절감형	에너지/NNG+절감/NNG+형/XSN
친환경	친/XPN+환경/NNG
건자재를	건자재/NNG+를/JKO
공급하면서	공급/NNG+하/XSV+면서/EC
국가적인	국가/NNG+적/XSN+이/VCP+ㄴ/ETM
에너지난을	에너지난/NNG+을/JKO
해소하고	해소/NNG+하/XSV+고/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
생활공간을	생활/NNG+공간/NNG+을/JKO
조성하는	조성/NNG+하/XSV+는/ETM
데	데/NNB
기여하고	기여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.99.3.2
이 회사는 올 상반기(1∼6월)에 지난해 같은 기간 대비 12% 늘어난 1조4401억 원의 매출을 올렸다.

이	이/MMD
회사는	회사/NNG+는/JX
올	올/NNG
상반기(1∼6월)에	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간	기간/NNG
대비	대비/NNG
12%	12/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
1조4401억	1/SN+조/NR+4401/SN+억/NR
원의	원/NNB+의/JKG
매출을	매출/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.99.4.1
2011년 업계 최초로 LG하우시스는 바닥재 제품에 기존의 프탈레이트계 가소제를 대체한 친환경 가소제를 사용해 시장의 변화를 선도했다.

2011년	2011/SN+년/NNB
업계	업계/NNG
최초로	최초/NNG+로/JKB
LG하우시스는	LG하우시스/NNP+는/JX
바닥재	바닥재/NNG
제품에	제품/NNG+에/JKB
기존의	기존/NNG+의/JKG
프탈레이트계	프탈레이트/NNG+계/XSN
가소제를	가소제/NNG+를/JKO
대체한	대체/NNG+하/XSV+ㄴ/ETM
친환경	친/XPN+환경/NNG
사용해	사용/NNG+하/XSV+아/EC
시장의	시장/NNG+의/JKG
변화를	변화/NNG+를/JKO
선도했다.	선도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.99.4.2
또 석유수지 대신 옥수수를 원료로 한 순식물성 소재로 만든 바닥재와 벽지 제품을 출시했다.

또	또/MAG
석유수지	석유/NNG+수지/NNG
대신	대신/NNG
옥수수를	옥수수/NNG+를/JKO
원료로	원료/NNG+로/JKB
한	하/VV+ㄴ/ETM
순식물성	순/MMA+식물/NNG+성/XSN
소재로	소재/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
바닥재와	바닥재/NNG+와/JC
벽지	벽지/NNG
제품을	제품/NNG+을/JKO
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.99.5.1
친환경성과 제품 개발의 혁신성, 디자인 등을 인정받아 이 회사의 제품인 지아마루는 2011년에 세계 3대 디자인상의 하나인 iF 디자인상을 받았다.

친환경성과	친/XPN+환경/NNG+성/XSN+과/JC
제품	제품/NNG
개발의	개발/NNG+의/JKG
혁신성,	혁신/NNG+성/XSN+,/SP
디자인	디자인/NNG
등을	등/NNB+을/JKO
인정받아	인정/NNG+받/XSV+아/EC
이	이/MMD
회사의	회사/NNG+의/JKG
제품인	제품/NNG+이/VCP+ㄴ/ETM
지아마루는	지아마루/NNP+는/JX
2011년에	2011/SN+년/NNB+에/JKB
세계	세계/NNG
3대	3/SN+대/NNG
디자인상의	디자인상/NNG+의/JKG
하나인	하나/NR+이/VCP+ㄴ/ETM
iF	iF/SL
