# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.56
metadata : {}


# id : NWRW1800000040.56.1.1
“원전 단가, LNG보다 비싸다”

“원전	“/SS+원전/NNG
단가,	단가/NNG+,/SP
LNG보다	LNG/SL+보다/JKB
비싸다”	비싸/VA+다/EF+”/SS


# id : NWRW1800000040.56.2.1
발전원가는 원전이 훨씬 싸지만

발전원가는	발전/NNG+원가/NNG+는/JX
원전이	원전/NNG+이/JKS
훨씬	훨씬/MAG
싸지만	싸/VA+지만/EC


# id : NWRW1800000040.56.3.1
사회·경제적 비용 더할땐 역전현상

사회·경제적	사회/NNG+·/SP+경제/NNG+적/XSN
비용	비용/NNG
더할땐	더/MAG+하/XSV+ㄹ/ETM+때/NNG+ㄴ/JX
역전현상	역전/NNG+현상/NNG


# id : NWRW1800000040.56.4.1
㎾h당 원전 143원·가스 121원 수준

㎾h당	㎾h/SW+당/XSN
원전	원전/NNG
143원·가스	143/SN+원/NNB+·/SP+가스/NNG
121원	121/SN+원/NNB
수준	수준/NNG


# id : NWRW1800000040.56.5.1
원전과 석탄, 액화천연가스(LNG) 등 각 발전원에 대해 공정하게 세금을 거두고 송전망 구축 및 사고위험비용을 대입하면 원전의 가격 경쟁력이 크게 떨어진다는 분석 결과가 나왔다.

원전과	원전/NNG+과/JC
석탄,	석탄/NNG+,/SP
액화천연가스(LNG)	액화/NNG+천연가스/NNG+(/SS+LNG/SL+)/SS
등	등/NNB
각	각/MMD
발전원에	발전원/NNG+에/JKB
대해	대하/VV+아/EC
공정하게	공정/NNG+하/XSA+게/EC
세금을	세금/NNG+을/JKO
거두고	거두/VV+고/EC
송전망	송전망/NNG
구축	구축/NNG
및	및/MAG
사고위험비용을	사고/NNG+위험/NNG+비용/NNG+을/JKO
대입하면	대입/NNG+하/XSV+면/EC
원전의	원전/NNG+의/JKG
가격	가격/NNG
경쟁력이	경쟁력/NNG+이/JKS
크게	크/VA+게/EC
떨어진다는	떨어지/VV+ㄴ다는/ETM
분석	분석/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.56.5.2
이런 방식으로 가격 체계가 현실화할 경우엔 정부가 원전 확대 정책의 주요한 근거로 들고 있는 원전의 경제성도 명분을 잃을 수 있다.

이런	이런/MMD
방식으로	방식/NNG+으로/JKB
가격	가격/NNG
체계가	체계/NNG+가/JKS
현실화할	현실/NNG+화/XSN+하/XSV+ㄹ/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
정부가	정부/NNG+가/JKS
원전	원전/NNG
확대	확대/NNG
정책의	정책/NNG+의/JKG
주요한	주요/NNG+하/XSA+ㄴ/ETM
근거로	근거/NNG+로/JKB
들고	들/VV+고/EC
있는	있/VX+는/ETM
원전의	원전/NNG+의/JKG
경제성도	경제/NNG+성/XSN+도/JX
명분을	명분/NNG+을/JKO
잃을	잃/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.56.6.1
11일 조영탁 한밭대 교수가 최근 전력산업연구회 세미나에서 발표한 ‘발전설비별 원가 재산정 시나리오’를 보면, 지난 2월 6차 전력수급기본계획에 따른 현재 발전원별 판매단가는 원전이 ㎾h당 47.9원으로 석탄(62.4원)과 엘엔지(119.6원)에 견줘 크게 낮다.

11일	11/SN+일/NNB
조영탁	조영탁/NNP
한밭대	한밭대/NNP
교수가	교수/NNG+가/JKS
최근	최근/NNG
전력산업연구회	전력/NNG+산업/NNG+연구회/NNG
세미나에서	세미나/NNG+에서/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘발전설비별	‘/SS+발전/NNG+설비/NNG+별/XSN
원가	원가/NNG
재산정	재/XPN+산정/NNG
시나리오’를	시나리오/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
6차	6/SN+차/NNB
전력수급기본계획에	전력/NNG+수급/NNG+기본/NNG+계획/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
현재	현재/MAG
발전원별	발전원/NNG+별/XSN
판매단가는	판매/NNG+단가/NNG+는/JX
원전이	원전/NNG+이/JKS
㎾h당	㎾h/SW+당/XSN
47.9원으로	47/SN+./SP+9/SN+원/NNB+으로/JKB
석탄(62.4원)과	석탄/NNG+(/SS+62/SN+./SP+4/SN+원/NNB+)/SS+과/JC
엘엔지(119.6원)에	엘엔지/NNG+(/SS+119/SN+./SP+6/SN+원/NNB+)/SS+에/JKB
견줘	견주/VV+어/EC
