# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.10
metadata : {}


# id : NWRW1800000042.10.1.1
소치서 뭉친 中·러시아… 中 견제나선 美·日

소치서	소치/NNP+서/JKB
뭉친	뭉치/VV+ㄴ/ETM
中·러시아…	中/SH+·/SP+러시아/NNP+…/SE
中	中/SH
견제나선	견제/NNG+나서/VV+ㄴ/ETM
美·日	美/SH+·/SP+日/SH


# id : NWRW1800000042.10.2.1
미·중·일이 동북아 주도권을 놓고 빠르게 움직이고 있다.

미·중·일이	미/NNP+·/SP+중/NNP+·/SP+일/NNP+이/JKS
동북아	동북아/NNP
주도권을	주도/NNG+권/XSN+을/JKO
놓고	놓/VV+고/EC
빠르게	빠르/VA+게/EC
움직이고	움직이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000042.10.2.2
시진핑(習近平) 중국 국가주석은 6일(현지 시각) 동계올림픽이 열리는 러시아 소치에서 블라디미르 푸틴 대통령과 회담을 갖고 든든한 우군(友軍) 확보에 나섰다.

시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석은	국가주석/NNG+은/JX
6일(현지	6/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
동계올림픽이	동계/NNG+올림픽/NNG+이/JKS
열리는	열리/VV+는/ETM
러시아	러시아/NNP
소치에서	소치/NNP+에서/JKB
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
대통령과	대통령/NNG+과/JKB
회담을	회담/NNG+을/JKO
갖고	갖/VV+고/EC
든든한	든든하/VA+ㄴ/ETM
우군(友軍)	우군/NNG+(/SS+友軍/SH+)/SS
확보에	확보/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.10.2.3
아베 신조(安倍晋三) 일본 총리도 7일 소치까지 날아가 중국에 맞서 외교전을 펼쳤다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리도	총리/NNG+도/JX
7일	7/SN+일/NNB
소치까지	소치/NNP+까지/JX
날아가	날아가/VV+아/EC
중국에	중국/NNP+에/JKB
맞서	맞서/VV+어/EC
외교전을	외교전/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.10.2.4
‘아시아 복귀’ 전략을 추진 중인 미국은 중국을 견제하기 위해 일본에 ‘F-22 스텔스기’ 등 최신 무기를 증강 배치하고 있다.

‘아시아	‘/SS+아시아/NNP
복귀’	복귀/NNG+’/SS
전략을	전략/NNG+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
미국은	미국/NNP+은/JX
중국을	중국/NNP+을/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
일본에	일본/NNP+에/JKB
‘F-22	‘/SS+F/SL+-/SO+22/SN
스텔스기’	스텔스기/NNG+’/SS
등	등/NNB
최신	최신/NNG
무기를	무기/NNG+를/JKO
증강	증강/NNG
배치하고	배치/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000042.10.2.5
그러나 오바마 미 대통령은 아시아의 동맹국인 한국과 일본 간의 갈등에 고민하고 있다.

그러나	그러나/MAJ
오바마	오바마/NNP
미	미/NNP
대통령은	대통령/NNG+은/JX
아시아의	아시아/NNP+의/JKG
동맹국인	동맹국/NNG+이/VCP+ㄴ/ETM
한국과	한국/NNP+과/JC
일본	일본/NNP
간의	간/NNB+의/JKG
갈등에	갈등/NNG+에/JKB
고민하고	고민/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000042.10.3.1
시진핑 중국 주석은 6일 러시아 소치에서 푸틴 대통령과 정상회담을 가졌다.

시진핑	시진핑/NNP
중국	중국/NNP
주석은	주석/NNG+은/JX
6일	6/SN+일/NNB
러시아	러시아/NNP
소치에서	소치/NNP+에서/JKB
푸틴	푸틴/NNP
대통령과	대통령/NNG+과/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.10.3.2
푸틴 대통령은 소치를 찾은 외국 정상 가운데 시 주석을 가장 먼저 만날 정도로 중국과 돈독한 '우애'를 과시했다.

푸틴	푸틴/NNP
대통령은	대통령/NNG+은/JX
소치를	소치/NNP+를/JKO
찾은	찾/VV+은/ETM
외국	외국/NNG
정상	정상/NNG
가운데	가운데/NNG
시	시/NNP
주석을	주석/NNG+을/JKO
가장	가장/MAG
먼저	먼저/MAG
만날	만나/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
중국과	중국/NNP+과/JKB
돈독한	돈독하/VA+ㄴ/ETM
'우애'를	'/SS+우애/NNG+'/SS+를/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.3.3
7일 중국 외교부에 따르면 시 주석은 "2015년으로 예정된 2차대전 승전 70주년 축하 행사를 공동으로 잘 치러 후세들이 경계로 삼도록 하자"고 말했다.

7일	7/SN+일/NNB
중국	중국/NNP
외교부에	외교부/NNG+에/JKB
따르면	따르/VV+면/EC
시	시/NNP
주석은	주석/NNG+은/JX
"2015년으로	"/SS+2015/SN+년/NNB+으로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
2차대전	2/SN+차/NNB+대전/NNG
승전	승전/NNG
70주년	70/SN+주년/NNB
축하	축하/NNG
행사를	행사/NNG+를/JKO
공동으로	공동/NNG+으로/JKB
잘	잘/MAG
치러	치르/VV+어/EC
후세들이	후세/NNG+들/XSN+이/JKS
경계로	경계/NNG+로/JKB
삼도록	삼/VV+도록/EC
하자"고	하/VX+자/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.3.4
푸틴 대통령도 "소련 등 유럽 국가에 대한 나치 세력의 침략과 중국 등 아시아 국가 인민들을 해친 일본 군국주의의 엄중한 죄행은 절대 잊지 말아야 한다"고 화답했다.

푸틴	푸틴/NNP
대통령도	대통령/NNG+도/JX
"소련	"/SS+소련/NNP
등	등/NNB
유럽	유럽/NNP
국가에	국가/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
나치	나치/NNP
세력의	세력/NNG+의/JKG
침략과	침략/NNG+과/JC
중국	중국/NNP
아시아	아시아/NNP
국가	국가/NNG
인민들을	인민/NNG+들/XSN+을/JKO
해친	해치/VV+ㄴ/ETM
일본	일본/NNP
군국주의의	군국주의/NNG+의/JKG
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
죄행은	죄행/NNG+은/JX
절대	절대/MAG
잊지	잊/VV+지/EC
말아야	말/VX+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.3.5
중·러가 일본의 역사 인식 및 우경화 움직임에 대해 공동 대응할 가능성이 있다는 분석이 제기된다.

중·러가	중/NNP+·/SP+러/NNP+가/JKS
일본의	일본/NNP+의/JKG
역사	역사/NNG
인식	인식/NNG
및	및/MAG
우경화	우경/NNG+화/XSN
움직임에	움직임/NNG+에/JKB
대해	대하/VV+아/EC
공동	공동/NNG
대응할	대응/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
분석이	분석/NNG+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000042.10.3.6
두 정상은 이날 중·러 연합 해상 작전을 수행 중인 양국의 군함 함장으로부터 영상통화를 이용해 임무 보고를 받기도 했다.

두	두/MMN
정상은	정상/NNG+은/JX
이날	이날/NNG
중·러	중/NNP+·/SP+러/NNP
연합	연합/NNG
해상	해상/NNG
작전을	작전/NNG+을/JKO
수행	수행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
양국의	양국/NNG+의/JKG
군함	군함/NNG
함장으로부터	함장/NNG+으로부터/JKB
영상통화를	영상/NNG+통화/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
임무	임무/NNG
보고를	보고/NNG+를/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000042.10.4.1
일본 아베 총리도 7일 러시아행 전용기에 올랐다.

일본	일본/NNP
아베	아베/NNP
총리도	총리/NNG+도/JX
7일	7/SN+일/NNB
러시아행	러시아행/NNG
전용기에	전용기/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.4.2
그는 소치올림픽 개막식에 참석한 후 8일 푸틴 대통령과 정상회담을 갖는다.

그는	그/NP+는/JX
소치올림픽	소치/NNP+올림픽/NNG
개막식에	개막식/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
후	후/NNG
8일	8/SN+일/NNB
푸틴	푸틴/NNP
대통령과	대통령/NNG+과/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000042.10.4.3
취임 이후 5번째 정상 회담이다.

취임	취임/NNG
이후	이후/NNG
5번째	5/SN+번/NNB+째/XSN
정상	정상/NNG
회담이다.	회담/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.10.4.4
러시아와의 관계 강화는 중국 견제 목적이 크다.

러시아와의	러시아/NNP+와/JKB+의/JKG
관계	관계/NNG
강화는	강화/NNG+는/JX
중국	중국/NNP
견제	견제/NNG
목적이	목적/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000042.10.4.5
아베 총리가 러시아 외교에 공을 들이는 것은 1980~1990년대 대(對)소련 외교에 앞장섰던 아버지 아베 신타로(安倍晋太郞) 전 외무상의 영향도 있다.

아베	아베/NNP
총리가	총리/NNG+가/JKS
러시아	러시아/NNP
외교에	외교/NNG+에/JKB
공을	공/NNG+을/JKO
들이는	들이/VV+는/ETM
것은	것/NNB+은/JX
1980~1990년대	1980/SN+~/SO+1990/SN+년대/NNB
대(對)소련	대/NA+(/SS+對/SH+)/SS+소련/NNP
앞장섰던	앞장서/VV+었/EP+던/ETM
아버지	아버지/NNG
신타로(安倍晋太郞)	신타로/NNP+(/SS+安倍晋太郞/SH+)/SS
전	전/MMD
외무상의	외무상/NNG+의/JKG
영향도	영향/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000042.10.4.6
또 다른 목표는 영토 문제다.

또	또/MAG
다른	다른/MMD
목표는	목표/NNG+는/JX
영토	영토/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.10.4.7
일본은 쿠릴열도 4개섬(일본명 북방 영토)의 영유권을 놓고 러시아와 마찰을 빚고 있다.

일본은	일본/NNP+은/JX
쿠릴열도	쿠릴열도/NNP
4개섬(일본명	4/SN+개/NNB+섬/NNG+(/SS+일본/NNP+명/NNG
북방	북방/NNG
영토)의	영토/NNG+)/SS+의/JKG
영유권을	영유/NNG+권/XSN+을/JKO
놓고	놓/VV+고/EC
러시아와	러시아/NNP+와/JKB
마찰을	마찰/NNG+을/JKO
빚고	빚/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000042.10.4.8
아베는 이날 러시아로 떠나기 전 쿠릴열도의 반환을 촉구하는 정부 행사에 참석했다.

아베는	아베/NNP+는/JX
이날	이날/NNG
러시아로	러시아/NNP+로/JKB
떠나기	떠나/VV+기/ETN
전	전/NNG
쿠릴열도의	쿠릴열도/NNP+의/JKG
반환을	반환/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
정부	정부/NNG
행사에	행사/NNG+에/JKB
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.4.9
이날은 2차대전 말 옛 소련이 점령했던 영토의 반환을 촉구하는 '북방영토의 날'이었다.

이날은	이날/NNG+은/JX
2차대전	2/SN+차/NNB+대전/NNG
말	말/NNB
옛	옛/MMA
소련이	소련/NNP+이/JKS
점령했던	점령/NNG+하/XSV+았/EP+던/ETM
영토의	영토/NNG+의/JKG
반환을	반환/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
'북방영토의	'/SS+북방영토/NNP+의/JKG
날'이었다.	날/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000042.10.4.10
아베 총리는 "(러시아와의) 신뢰 관계를 한층 강화하겠다"면서 "끈질긴 협상으로 영토 반환을 이루겠다"고 말했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
"(러시아와의)	"/SS+(/SS+러시아/NNP+와/JKB+의/JKG+)/SS
신뢰	신뢰/NNG
관계를	관계/NNG+를/JKO
한층	한층/MAG
강화하겠다"면서	강화/NNG+하/XSV+겠/EP+다/EF+"/SS+면서/EC
"끈질긴	"/SS+끈질기/VA+ㄴ/ETM
협상으로	협상/NNG+으로/JKB
영토	영토/NNG
반환을	반환/NNG+을/JKO
이루겠다"고	이루/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.4.11
아베 총리는 푸틴이 의욕을 보이고 있는 극동 지역 개발에 일본의 적극적 투자를 조건으로 반환 협상을 한다는 계획이다.

아베	아베/NNP
총리는	총리/NNG+는/JX
푸틴이	푸틴/NNP+이/JKS
의욕을	의욕/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
극동	극동/NNP
지역	지역/NNG
개발에	개발/NNG+에/JKB
일본의	일본/NNP+의/JKG
적극적	적극/NNG+적/XSN
투자를	투자/NNG+를/JKO
조건으로	조건/NNG+으로/JKB
반환	반환/NNG
협상을	협상/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.10.5.1
미국도 중국 견제를 위해 일본에 첨단 무기 배치를 본격화하고 있다.

미국도	미국/NNP+도/JX
중국	중국/NNP
견제를	견제/NNG+를/JKO
위해	위하/VV+아/EC
일본에	일본/NNP+에/JKB
첨단	첨단/NNG
무기	무기/NNG
배치를	배치/NNG+를/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000042.10.5.2
미군은 일본 사세보(佐世保) 미군기지에 있는 수송양륙함 등 함정 3척을 신형으로 교체하기로 결정했다고 7일 니혼게이자이(日本經濟)신문이 전했다.

미군은	미군/NNG+은/JX
일본	일본/NNP
사세보(佐世保)	사세보/NNP+(/SS+佐世保/SH+)/SS
미군기지에	미군/NNG+기지/NNG+에/JKB
있는	있/VA+는/ETM
수송양륙함	수송/NNG+양륙함/NNG
등	등/NNB
함정	함정/NNG
3척을	3/SN+척/NNB+을/JKO
신형으로	신형/NNG+으로/JKB
교체하기로	교체/NNG+하/XSV+기/ETN+로/JKB
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
7일	7/SN+일/NNB
니혼게이자이(日本經濟)신문이	니혼게이자이/NNP+(/SS+日本經濟/SH+)/SS+신문/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.5.3
새로 배치되는 양륙함은 기존 함정보다 1.5배 크고, 수직이착륙 수송기 탑재가 가능한 신형이다.

새로	새로/MAG
배치되는	배치/NNG+되/XSV+는/ETM
양륙함은	양륙함/NNG+은/JX
기존	기존/NNG
함정보다	함정/NNG+보다/JKB
1.5배	1/SN+./SP+5/SN+배/NNG
크고,	크/VA+고/EC+,/SP
수직이착륙	수직/NNG+이착륙/NNG
수송기	수송기/NNG
탑재가	탑재/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
신형이다.	신형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.10.5.4
일·중이 영토 분쟁을 벌이고 있는 센카쿠(尖閣·중국명 댜오위다오)에서 무력 충돌이 발생할 경우, 미군은 사세보의 양륙함을 이용해 오키나와의 미 해병대 병력을 보낸다는 계획이다.

일·중이	일/NNP+·/SP+중/NNP+이/JKS
영토	영토/NNG
분쟁을	분쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
센카쿠(尖閣·중국명	센카쿠/NNP+(/SS+尖閣/SH+·/SP+중국/NNP+명/NNG
댜오위다오)에서	댜오위다오/NNP+)/SS+에서/JKB
무력	무력/NNG
충돌이	충돌/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
미군은	미군/NNG+은/JX
사세보의	사세보/NNP+의/JKG
양륙함을	양륙함/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
오키나와의	오키나와/NNP+의/JKG
미	미/NNP
해병대	해병대/NNG
병력을	병력/NNG+을/JKO
보낸다는	보내/VV+ㄴ다는/ETM
