# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.121
metadata : {}


# id : NWRW1800000026.121.1.1
[Why?가 간다] 요코하마 오삼바시;숨가빴던 일본의 근대를 만나다

[Why?가	[/SS+Why/SL+?/SF+가/JKS
간다]	가/VV+ㄴ다/EF+]/SS
요코하마	요코하마/NNP
오삼바시;숨가빴던	오삼바시/NNP+;/SP+숨/NNG+가쁘/VA+았/EP+던/ETM
일본의	일본/NNP+의/JKG
근대를	근대/NNG+를/JKO
만나다	만나/VV+다/EF


# id : NWRW1800000026.121.2.1
일본 요코하마(橫濱) 오삼바시(大さん橋)는 국제여객터미널이다.

일본	일본/NNP
요코하마(橫濱)	요코하마/NNP+(/SS+橫濱/SH+)/SS
오삼바시(大さん橋)는	오삼바시/NNP+(/SS+大/SH+さん/SL+橋/SH+)/SS+는/JX
국제여객터미널이다.	국제/NNG+여객/NNG+터미널/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.2.2
괌까지 가는 여객선이 입항하고 홋카이도(北海道)의 하코다테(函館)까지 왕복하는 크루즈가 출발한다.

괌까지	괌/NNP+까지/JX
가는	가/VV+는/ETM
여객선이	여객선/NNG+이/JKS
입항하고	입항/NNG+하/XSV+고/EC
홋카이도(北海道)의	홋카이도/NNP+(/SS+北海道/SH+)/SS+의/JKG
하코다테(函館)까지	하코다테/NNP+(/SS+函館/SH+)/SS+까지/JX
왕복하는	왕복/NNG+하/XSV+는/ETM
크루즈가	크루즈/NNG+가/JKS
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.2.3
바다 쪽으로 뻗어나와 있어 큰 배가 정박하기 편하다.

바다	바다/NNG
쪽으로	쪽/NNB+으로/JKB
뻗어나와	뻗/VV+어/EC+나오/VV+아/EC
있어	있/VX+어/EC
큰	크/VA+ㄴ/ETM
배가	배/NNG+가/JKS
정박하기	정박/NNG+하/XSV+기/ETN
편하다.	편하/VA+다/EF+./SF


# id : NWRW1800000026.121.3.1
건축물의 목적은 터미널이지만 이곳을 방문하는 사람들은 터미널 이용객보다는 터미널을 구경하려는 관광객이 더 많다.

건축물의	건축물/NNG+의/JKG
목적은	목적/NNG+은/JX
터미널이지만	터미널/NNG+이/VCP+지만/EC
이곳을	이곳/NP+을/JKO
방문하는	방문/NNG+하/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
터미널	터미널/NNG
이용객보다는	이용객/NNG+보다/JKB+는/JX
터미널을	터미널/NNG+을/JKO
구경하려는	구경/NNG+하/XSV+려는/ETM
관광객이	관광객/NNG+이/JKS
더	더/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.121.3.2
시원한 바다 풍경, 최첨단 도시 모습과 150년 전의 과거가 절묘하게 섞여 있다.

시원한	시원하/VA+ㄴ/ETM
바다	바다/NNG
풍경,	풍경/NNG+,/SP
최첨단	최/XPN+첨단/NNG
도시	도시/NNG
모습과	모습/NNG+과/JC
150년	150/SN+년/NNB
전의	전/NNG+의/JKG
과거가	과거/NNG+가/JKS
절묘하게	절묘하/VA+게/EC
섞여	섞이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.121.4.1
도쿄만 쪽으로 쭉 뻗어나온 외양 자체가 주변과 잘 어울린다.

도쿄만	도쿄만/NNP
쪽으로	쪽/NNB+으로/JKB
쭉	쭉/MAG
뻗어나온	뻗/VV+어/EC+나오/VV+ㄴ/ETM
외양	외양/NNG
자체가	자체/NNG+가/JKS
주변과	주변/NNG+과/JKB
잘	잘/MAG
어울린다.	어울리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.4.2
낮에는 바다와 높은 빌딩이 만나고 밤에는 야경으로 빛난다.

낮에는	낮/NNG+에/JKB+는/JX
바다와	바다/NNG+와/JC
높은	높/VA+은/ETM
빌딩이	빌딩/NNG+이/JKS
만나고	만나/VV+고/EC
밤에는	밤/NNG+에/JKB+는/JX
야경으로	야경/NNG+으로/JKB
빛난다.	빛나/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.4.3
호주 시드니의 오페라하우스처럼 바다와 잘 어우러진 예술품이라는 생각이 절로 든다.

호주	호주/NNP
시드니의	시드니/NNP+의/JKG
오페라하우스처럼	오페라하우스/NNG+처럼/JKB
바다와	바다/NNG+와/JKB
잘	잘/MAG
어우러진	어우러지/VV+ㄴ/ETM
예술품이라는	예술품/NNG+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
절로	절로/MAG
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.5.1
오페라하우스가 조개의 느낌을 준다면 오삼바시는 큰 고래가 바다쪽으로 머리를 내밀고 있는 느낌을 준다.

오페라하우스가	오페라하우스/NNG+가/JKS
조개의	조개/NNG+의/JKG
느낌을	느낌/NNG+을/JKO
준다면	주/VV+ㄴ다면/EC
오삼바시는	오삼바시/NNP+는/JX
큰	크/VA+ㄴ/ETM
고래가	고래/NNG+가/JKS
바다쪽으로	바다/NNG+쪽/NNB+으로/JKB
머리를	머리/NNG+를/JKO
내밀고	내밀/VV+고/EC
있는	있/VX+는/ETM
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.5.2
별칭도 고래의 등이라는 뜻의 '구지라노세나카'다.

별칭도	별칭/NNG+도/JX
고래의	고래/NNG+의/JKG
등이라는	등/NNG+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
'구지라노세나카'다.	'/SS+구지라노세나카/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.5.3
여기에 몇 가지만 더 알면 보는 맛은 증폭된다.

여기에	여기/NP+에/JKB
몇	몇/NR
가지만	가지/NNB+만/JX
더	더/MAG
알면	알/VV+면/EC
보는	보/VV+는/ETM
맛은	맛/NNG+은/JX
증폭된다.	증폭/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.6.1
◆ 일본 근대사가 숨어 있는 곳

◆	◆/SW
일본	일본/NNP
근대사가	근대사/NNG+가/JKS
숨어	숨/VV+어/EC
있는	있/VX+는/ETM
곳	곳/NNG


# id : NWRW1800000026.121.7.1
151년 전으로 거슬러 올라간 1859년, 요코하마가 세계를 향해 문을 열었다.

151년	151/SN+년/NNB
전으로	전/NNG+으로/JKB
거슬러	거스르/VV+어/EC
올라간	올라가/VV+ㄴ/ETM
1859년,	1859/SN+년/NNB+,/SP
요코하마가	요코하마/NNP+가/JKS
세계를	세계/NNG+를/JKO
향해	향하/VV+아/EC
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.7.2
개항을 한 것이다.

개항을	개항/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.7.3
일본은 개항이 우리보다 몇 십년 빨랐고 개항을 하자마자 외부 문물을 빨아들였다.

일본은	일본/NNP+은/JX
개항이	개항/NNG+이/JKS
우리보다	우리/NP+보다/JKB
몇	몇/NR
십년	십/NR+년/NNB
빨랐고	빠르/VA+았/EP+고/EC
개항을	개항/NNG+을/JKO
하자마자	하/VV+자마자/EC
외부	외부/NNG
문물을	문물/NNG+을/JKO
빨아들였다.	빨아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.8.1
이것이 20세기와 현재 일본과 한국이 겪은 차이를 설명한다.

이것이	이것/NP+이/JKS
20세기와	20/SN+세기/NNG+와/JC
현재	현재/MAG
일본과	일본/NNP+과/JC
한국이	한국/NNP+이/JKS
겪은	겪/VV+은/ETM
차이를	차이/NNG+를/JKO
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.8.2
개항을 하자마자 부두가 터질 정도로 물자 수송이 늘어났다.

개항을	개항/NNG+을/JKO
하자마자	하/VV+자마자/EC
부두가	부두/NNG+가/JKS
터질	터지/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
물자	물자/NNG
수송이	수송/NNG+이/JKS
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.121.8.3
미국으로 나가는 일본인도 늘어났고 일본으로 들어오는 서양인도 많았다.

미국으로	미국/NNP+으로/JKB
나가는	나가/VV+는/ETM
일본인도	일본인/NNG+도/JX
늘어났고	늘어나/VV+았/EP+고/EC
일본으로	일본/NNP+으로/JKB
들어오는	들어오/VV+는/ETM
서양인도	서양인/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.121.9.1
개항 이후 우여곡절이 없었던 것은 아니다.

개항	개항/NNG
이후	이후/NNG
우여곡절이	우여곡절/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.121.9.2
그러나 문물 흡수의 속도가 빨랐음을 보여주는 것이 바로 부두의 증설이다.

그러나	그러나/MAJ
문물	문물/NNG
흡수의	흡수/NNG+의/JKG
속도가	속도/NNG+가/JKS
빨랐음을	빠르/VA+았/EP+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
바로	바로/MAG
부두의	부두/NNG+의/JKG
증설이다.	증설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.9.3
사람과 물자의 교류가 갑작스럽게 늘어나면서 병목 현상이 심해졌다.

사람과	사람/NNG+과/JC
물자의	물자/NNG+의/JKG
교류가	교류/NNG+가/JKS
갑작스럽게	갑작스럽/VA+게/EC
늘어나면서	늘어나/VV+면서/EC
병목	병목/NNG
현상이	현상/NNG+이/JKS
심해졌다.	심하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.121.10.1
방파제 같은 규모로는 감당이 되지 않았다.

방파제	방파제/NNG
같은	같/VA+은/ETM
규모로는	규모/NNG+로/JKB+는/JX
감당이	감당/NNG+이/JKC
되지	되/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.121.10.2
그래서 현재와 같은 자리에 큰 부두를 만들었다.

그래서	그래서/MAJ
현재와	현재/NNG+와/JKB
같은	같/VA+은/ETM
자리에	자리/NNG+에/JKB
큰	크/VA+ㄴ/ETM
부두를	부두/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.10.3
1889년부터 작업을 시작해 1894년 현재 부두의 틀이 만들어진다.

1889년부터	1889/SN+년/NNB+부터/JX
작업을	작업/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
1894년	1894/SN+년/NNB
현재	현재/MAG
부두의	부두/NNG+의/JKG
틀이	틀/NNG+이/JKS
만들어진다.	만들/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.121.10.4
당시에는 최첨단 기술을 총동원했다고 한다.

당시에는	당시/NNG+에/JKB+는/JX
최첨단	최/XPN+첨단/NNG
기술을	기술/NNG+을/JKO
총동원했다고	총동원/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.11.1
기초에 필요한 자재는 대량으로 수입까지 하면서 육지로부터 738m 뻗은 부두를 뽑아냈다.

기초에	기초/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자재는	자재/NNG+는/JX
대량으로	대량/NNG+으로/JKB
수입까지	수입/NNG+까지/JX
하면서	하/VV+면서/EC
육지로부터	육지/NNG+로부터/JKB
738m	738/SN+m/SW
뻗은	뻗/VV+은/ETM
부두를	부두/NNG+를/JKO
뽑아냈다.	뽑아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.11.2
그 이후로도 규모를 더 키웠다.

그	그/MMD
이후로도	이후/NNG+로/JKB+도/JX
규모를	규모/NNG+를/JKO
더	더/MAG
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.11.3
큰 부두라는 뜻의 오삼바시라는 이름을 붙여도 전혀 어색하지 않을 정도가 됐다.

큰	크/VA+ㄴ/ETM
부두라는	부두/NNG+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
오삼바시라는	오삼바시/NNP+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
붙여도	붙이/VV+어도/EC
전혀	전혀/MAG
어색하지	어색하/VA+지/EC
않을	않/VX+을/ETM
정도가	정도/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.12.1
1900년대 초반 주요 수출품은 명주실과 차였다.

1900년대	1900/SN+년대/NNB
초반	초반/NNG
주요	주요/NNG
수출품은	수출품/NNG+은/JX
명주실과	명주실/NNG+과/JKB
차였다.	차/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.121.12.2
요코하마에는 관련 회사들이 융성기를 맞았다.

요코하마에는	요코하마/NNP+에/JKB+는/JX
관련	관련/NNG
회사들이	회사/NNG+들/XSN+이/JKS
융성기를	융성기/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.121.12.3
수입품은 콩, 면화, 석탄 등이었다.

수입품은	수입품/NNG+은/JX
콩,	콩/NNG+,/SP
면화,	면화/NNG+,/SP
석탄	석탄/NNG
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.121.12.4
일본 무역의 큰 축을 맡았다.

일본	일본/NNP
무역의	무역/NNG+의/JKG
큰	크/VA+ㄴ/ETM
축을	축/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.121.12.5
주변에는 외국의 영사관들도 자리를 잡았다.

주변에는	주변/NNG+에/JKB+는/JX
외국의	외국/NNG+의/JKG
영사관들도	영사관/NNG+들/XSN+도/JX
자리를	자리/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.121.13.1
오삼바시가 겪은 재난은 1923년 9월 23일 일어났다.

오삼바시가	오삼바시/NNP+가/JKS
겪은	겪/VV+은/ETM
재난은	재난/NNG+은/JX
1923년	1923/SN+년/NNB
9월	9/SN+월/NNB
23일	23/SN+일/NNB
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.121.13.2
간토(關東) 대지진이다.

간토(關東)	간토/NNP+(/SS+關東/SH+)/SS
대지진이다.	대/XPN+지진/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.13.3
부두는 무너졌다.

부두는	부두/NNG+는/JX
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.13.4
다시 만드는데 2년의 세월이 걸렸다.

다시	다시/MAG
만드는데	만들/VV+는데/EC
2년의	2/SN+년/NNB+의/JKG
세월이	세월/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.13.5
이후 일본을 찾아온 것은 공황(恐慌)이었다.

이후	이후/NNG
일본을	일본/NNP+을/JKO
찾아온	찾아오/VV+ㄴ/ETM
것은	것/NNB+은/JX
공황(恐慌)이었다.	공황/NNG+(/SS+恐慌/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.121.14.1
그때 남미로 이민을 떠난 사람들이 배를 탄 곳이 바로 오삼바시다.

그때	그때/NNG
남미로	남미/NNP+로/JKB
이민을	이민/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
배를	배/NNG+를/JKO
탄	타/VV+ㄴ/ETM
곳이	곳/NNG+이/JKS
바로	바로/MAG
오삼바시다.	오삼바시/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.14.2
이때 주로 이민을 간 사람들은 농촌사람들인 것으로 알려져 있다.

이때	이때/NNG
주로	주로/MAG
이민을	이민/NNG+을/JKO
간	가/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
농촌사람들인	농촌/NNG+사람/NNG+들/XSN+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.121.14.3
일본이 저지른 전쟁에서 진 뒤, 오삼바시는 연합국에 의해 점령됐다.

일본이	일본/NNP+이/JKS
저지른	저지르/VV+ㄴ/ETM
전쟁에서	전쟁/NNG+에서/JKB
진	지/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
오삼바시는	오삼바시/NNP+는/JX
연합국에	연합국/NNG+에/JKB
의해	의하/VV+아/EC
점령됐다.	점령/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.121.15.1
미국 군함 미주리호에서 항복 문서에 사인을 하기 위해 일본 외상이 배를 탄 곳도 이곳이다.

미국	미국/NNP
군함	군함/NNG
미주리호에서	미주리호/NNP+에서/JKB
항복	항복/NNG
문서에	문서/NNG+에/JKB
사인을	사인/NNG+을/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
일본	일본/NNP
외상이	외상/NNG+이/JKS
배를	배/NNG+를/JKO
탄	타/VV+ㄴ/ETM
곳도	곳/NNG+도/JX
이곳이다.	이곳/NP+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.15.2
일본을 점령한 미국이 설치한 연합군 최고사령부(GHQ)도 오삼바시 바로 앞에 있는 호텔뉴그랜드에 설치됐었다.

일본을	일본/NNP+을/JKO
점령한	점령/NNG+하/XSV+ㄴ/ETM
미국이	미국/NNP+이/JKS
설치한	설치/NNG+하/XSV+ㄴ/ETM
연합군	연합군/NNG
최고사령부(GHQ)도	최고/NNG+사령부/NNG+(/SS+GHQ/SL+)/SS+도/JX
오삼바시	오삼바시/NNP
바로	바로/MAG
앞에	앞/NNG+에/JKB
있는	있/VA+는/ETM
호텔뉴그랜드에	호텔뉴그랜드/NNP+에/JKB
설치됐었다.	설치/NNG+되/XSV+었었/EP+다/EF+./SF


# id : NWRW1800000026.121.16.1
일본 근대화의 시작과 일본의 패전이 이 오삼바시에서 벌어졌다고 해도 별로 틀린 말은 아닌 셈이다.

일본	일본/NNP
근대화의	근대/NNG+화/XSN+의/JKG
시작과	시작/NNG+과/JC
일본의	일본/NNP+의/JKG
패전이	패전/NNG+이/JKS
이	이/MMD
오삼바시에서	오삼바시/NNP+에서/JKB
벌어졌다고	벌어지/VV+었/EP+다고/EC
해도	하/VV+아도/EC
별로	별로/MAG
틀린	틀리/VV+ㄴ/ETM
말은	말/NNG+은/JX
아닌	아니/VCN+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.16.2
현재의 모습을 갖춘 것은 2002년이다.

현재의	현재/NNG+의/JKG
모습을	모습/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
것은	것/NNB+은/JX
2002년이다.	2002/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.16.3
1989년부터 작업을 했는데 디자인은 전 세계를 대상으로 공모를 했다.

1989년부터	1989/SN+년/NNB+부터/JX
작업을	작업/NNG+을/JKO
했는데	하/VV+았/EP+는데/EC
디자인은	디자인/NNG+은/JX
전	전/MMN
세계를	세계/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
공모를	공모/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.121.16.4
규모는 지하 1층 지상 2층이다.

규모는	규모/NNG+는/JX
지하	지하/NNG
1층	1/SN+층/NNG
지상	지상/NNG
2층이다.	2/SN+층/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.16.5
전체 면적은 4만4000㎡이다.

전체	전체/NNG
면적은	면적/NNG+은/JX
4만4000㎡이다.	4/SN+만/NR+4000/SN+㎡/SW+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.17.1
◆ 바다, 공원, 전망대, 마천루의 조화

◆	◆/SW
바다,	바다/NNG+,/SP
공원,	공원/NNG+,/SP
전망대,	전망대/NNG+,/SP
마천루의	마천루/NNG+의/JKG
조화	조화/NNG


# id : NWRW1800000026.121.18.1
오삼바시는 새로운 공간을 창출한 건축물이다.

오삼바시는	오삼바시/NNP+는/JX
새로운	새롭/VA+ㄴ/ETM
공간을	공간/NNG+을/JKO
창출한	창출/NNG+하/XSV+ㄴ/ETM
건축물이다.	건축물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.18.2
옥상이라고 할 수 있는 곳에는 천연잔디가 깔려 있다.

옥상이라고	옥상/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
곳에는	곳/NNG+에/JKB+는/JX
천연잔디가	천연/NNG+잔디/NNG+가/JKS
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.121.18.3
올라가 있으면 바다 한가운데 솟아 있는 듯한 느낌이 든다.

올라가	올라가/VV+아/EC
있으면	있/VX+으면/EC
바다	바다/NNG
한가운데	한/XPN+가운데/NNG
솟아	솟/VV+아/EC
있는	있/VX+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.18.4
요코하마의 고층 건물이 한눈에 보이는 것도 장점이다.

요코하마의	요코하마/NNP+의/JKG
고층	고층/NNG
건물이	건물/NNG+이/JKS
한눈에	한눈/NNG+에/JKB
보이는	보이/VV+는/ETM
것도	것/NNB+도/JX
장점이다.	장점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.19.1
오삼바시 2층에는 '오삼바시 홀'이 있다.

오삼바시	오삼바시/NNP
2층에는	2/SN+층/NNG+에/JKB+는/JX
'오삼바시	'/SS+오삼바시/NNP
홀'이	홀/NNG+'/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.121.19.2
전시회, 기업 박람회, 음악회가 열린다.

전시회,	전시회/NNG+,/SP
기업	기업/NNG
박람회,	박람회/NNG+,/SP
음악회가	음악회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.19.3
이 안쪽은 '고래의 배'라는 뜻인 '구지라노오나카'라고 불린다.

이	이/MMD
안쪽은	안쪽/NNG+은/JX
'고래의	'/SS+고래/NNG+의/JKG
배'라는	배/NNG+'/SS+이/VCP+라는/ETM
뜻인	뜻/NNG+이/VCP+ㄴ/ETM
'구지라노오나카'라고	'/SS+구지라노오나카/NNG+'/SS+라고/JKQ
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.19.4
이 정도가 되면 단순한 부두는 넘어선다.

이	이/MMD
정도가	정도/NNG+가/JKC
