# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.333
metadata : {}


# id : NWRW1800000041.333.1.1
새누리 7·14전대 서청원-김무성 공방 가열

새누리	새누리/NNP
7·14전대	7/SN+·/SP+14/SN+전대/NNG
서청원-김무성	서청원/NNP+-/SO+김무성/NNP
공방	공방/NNG
가열	가열/NNG


# id : NWRW1800000041.333.2.1
徐, 친박 60명 모아놓고 “대권욕 없어야”… 金 “중대결단이 뭔지 먼저 밝혀라” 역공 徐측 모임에 최경환도 참석… 金측 “줄세우기” 선관위 고발

徐,	徐/SH+,/SP
친박	친/XPN+박/NNP
60명	60/SN+명/NNB
모아놓고	모으/VV+아/EC+놓/VX+고/EC
“대권욕	“/SS+대권욕/NNG
없어야”…	없/VA+어야/EC+”/SS+…/SE
金	金/SH
“중대결단이	“/SS+중대/NNG+결단/NNG+이/JKS
뭔지	뭐/NP+이/VCP+ㄴ지/EC
먼저	먼저/MAG
밝혀라”	밝히/VV+어라/EF+”/SS
역공	역공/NNG
徐측	徐/SH+측/NNB
모임에	모임/NNG+에/JKB
최경환도	최경환/NNP+도/JX
참석…	참석/NNG+…/SE
金측	金/SH+측/NNB
“줄세우기”	“/SS+줄/NNG+세우/VV+기/ETN+”/SS
선관위	선관위/NNG
고발	고발/NNG


# id : NWRW1800000041.333.3.1
새누리당 7·14 전당대회 유력 당권주자인 서청원 의원이 막판 승부수를 띄웠다.

새누리당	새누리당/NNP
7·14	7/SN+·/SP+14/SN
전당대회	전당/NNG+대회/NNG
유력	유력/NNG
당권주자인	당권/NNG+주자/NNG+이/VCP+ㄴ/ETM
서청원	서청원/NNP
의원이	의원/NNG+이/JKS
막판	막판/NNG
승부수를	승부수/NNG+를/JKO
띄웠다.	띄우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.333.3.2
강력한 경쟁자인 김무성 의원을 향해 연일 대권 도전 포기 선언을 압박하며 ‘사심 없는 후보’ 대 ‘대권 디딤돌 후보’ 프레임 공세를 강화하고 있다.

강력한	강력/NNG+하/XSA+ㄴ/ETM
경쟁자인	경쟁자/NNG+이/VCP+ㄴ/ETM
김무성	김무성/NNP
의원을	의원/NNG+을/JKO
향해	향하/VV+아/EC
연일	연일/MAG
대권	대권/NNG
도전	도전/NNG
포기	포기/NNG
선언을	선언/NNG+을/JKO
압박하며	압박/NNG+하/XSV+며/EC
‘사심	‘/SS+사심/NNG
없는	없/VA+는/ETM
후보’	후보/NNG+’/SS
대	대/NNB
‘대권	‘/SS+대권/NNG
디딤돌	디딤돌/NNG
프레임	프레임/NNG
공세를	공세/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.333.4.1
서청원 의원은 10일 서울의 한 호텔에서 국회의원들과 당협위원장 등 60여 명과 조찬회동을 했다.

서청원	서청원/NNP
의원은	의원/NNG+은/JX
10일	10/SN+일/NNB
서울의	서울/NNP+의/JKG
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
국회의원들과	국회/NNG+의원/NNG+들/XSN+과/JC
당협위원장	당협/NNG+위원장/NNG
등	등/NNB
60여	60/SN+여/XSN
명과	명/NNB+과/JKB
조찬회동을	조찬/NNG+회동/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.4.2
참석자들은 “정권의 안정과 국가의 발전을 위해선 사심 없는 사람이 당 대표를 해야 한다”는 의견을 냈다고 서 의원 측이 전했다.

참석자들은	참석자/NNG+들/XSN+은/JX
“정권의	“/SS+정권/NNG+의/JKG
안정과	안정/NNG+과/JC
국가의	국가/NNG+의/JKG
발전을	발전/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
