# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.179
metadata : {}


# id : NWRW1800000024.179.1.1
주춤대는 증시, 올 것이 왔나

주춤대는	주춤대/VV+는/ETM
증시,	증시/NNG+,/SP
올	오/VV+ㄹ/ETM
것이	것/NNB+이/JKS
왔나	오/VV+았/EP+나/EF


# id : NWRW1800000024.179.2.1
국내 증시가 체력의 한계를 드러내는 모습을 보이고 있다.

국내	국내/NNG
증시가	증시/NNG+가/JKS
체력의	체력/NNG+의/JKG
한계를	한계/NNG+를/JKO
드러내는	드러내/VV+는/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.179.2.2
노무현 전 대통령 서거, 북한 핵실험 등 단기 악재의 영향이나 단기 급등에 따른 부담감에서 비롯된 측면도 있지만, 일부에선 상승 추세가 꺾이고 있다는 목소리도 조심스레 나오고 있다.

노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
서거,	서거/NNG+,/SP
북한	북한/NNP
핵실험	핵/NNG+실험/NNG
등	등/NNB
단기	단기/NNG
악재의	악재/NNG+의/JKG
영향이나	영향/NNG+이나/JC
급등에	급등/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
부담감에서	부담감/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
측면도	측면/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
일부에선	일부/NNG+에서/JKB+ㄴ/JX
상승	상승/NNG
추세가	추세/NNG+가/JKS
꺾이고	꺾이/VV+고/EC
있다는	있/VX+다는/ETM
목소리도	목소리/NNG+도/JX
조심스레	조심스레/MAG
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.179.3.1
27일 유가증권시장에서 코스피지수는 전날보다 10.02(0.73%) 내린 1362.02로 장을 마쳤다.

27일	27/SN+일/NNB
유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
코스피지수는	코스피/NNP+지수/NNG+는/JX
전날보다	전날/NNG+보다/JKB
10.02(0.73%)	10/SN+./SP+02/SN+(/SS+0/SN+./SP+73/SN+%/SW+)/SS
내린	내리/VV+ㄴ/ETM
1362.02로	1362/SN+./SP+02/SN+로/JKB
장을	장/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.179.3.2
코스닥지수는 12.21(2.28%) 내린 524.33을 기록해 더 큰 낙폭을 보였다.

코스닥지수는	코스닥/NNP+지수/NNG+는/JX
12.21(2.28%)	12/SN+./SP+21/SN+(/SS+2/SN+./SP+28/SN+%/SW+)/SS
내린	내리/VV+ㄴ/ETM
524.33을	524/SN+./SP+33/SN+을/JKO
기록해	기록/NNG+하/XSV+아/EC
더	더/MAG
큰	크/VA+ㄴ/ETM
낙폭을	낙폭/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.179.3.3
전날 북한 핵실험 등 지정학적 위험이 불거지면서 최근엔 보기 드물게 큰 폭으로 하락한 뒤 기대됐던 ‘기술적인 반등’은 무위로 돌아간 셈이다.

전날	전날/NNG
북한	북한/NNP
핵실험	핵/NNG+실험/NNG
등	등/NNB
지정학적	지정학/NNG+적/XSN
위험이	위험/NNG+이/JKS
불거지면서	불거지/VV+면서/EC
최근엔	최근/NNG+에/JKB+ㄴ/JX
보기	보/VV+기/ETN
드물게	드물/VA+게/EC
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
하락한	하락/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
기대됐던	기대/NNG+되/XSV+었/EP+던/ETM
‘기술적인	‘/SS+기술/NNG+적/XSN+이/VCP+ㄴ/ETM
반등’은	반등/NNG+’/SS+은/JX
무위로	무위/NNG+로/JKB
돌아간	돌아가/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.179.4.1
오히려 국내 증시는 최근 들어 주춤주춤 뒤로 물러서고 있다.

오히려	오히려/MAG
국내	국내/NNG
증시는	증시/NNG+는/JX
최근	최근/NNG
들어	들/VV+어/EC
주춤주춤	주춤주춤/MAG
뒤로	뒤/NNG+로/JKB
물러서고	물러서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.179.4.2
최근 6거래일 내리 하락세를 보인데다, 안착할 것만 같았던 1400선도 지난 26일 어이없게 내줬다.

최근	최근/NNG
6거래일	6/SN+거래일/NNG
내리	내리/MAG
하락세를	하락세/NNG+를/JKO
보인데다,	보이/VV+ㄴ데다/EC+,/SP
안착할	안착/NNG+하/XSV+ㄹ/ETM
것만	것/NNB+만/JX
같았던	같/VA+았/EP+던/ETM
1400선도	1400/SN+선/NNG+도/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
어이없게	어이없/VA+게/EC
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.179.4.3
이에 따라 지수 저지선도 한발 뒤로 물러선 게 사실이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
지수	지수/NNG
저지선도	저지선/NNG+도/JX
한발	한발/MAG
뒤로	뒤/NNG+로/JKB
물러선	물러서/VV+ㄴ/ETM
게	거/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.179.5.1
국내 증시의 체력 고갈은 최근 2~3개월간 상승 동력을 따져보면 유추할 수 있다.

국내	국내/NNG
증시의	증시/NNG+의/JKG
체력	체력/NNG
고갈은	고갈/NNG+은/JX
최근	최근/NNG
2~3개월간	2/SN+~/SO+3/SN+개월/NNB+간/XSN
상승	상승/NNG
동력을	동력/NNG+을/JKO
따져보면	따지/VV+어/EC+보/VX+면/EC
유추할	유추/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.179.5.2
일단 폭발적으로 증가한 유동성을 상승 동력의 한 가지로 꼽을 수 있다.

일단	일단/MAG
폭발적으로	폭발/NNG+적/XSN+으로/JKB
증가한	증가/NNG+하/XSV+ㄴ/ETM
유동성을	유동/NNG+성/XSN+을/JKO
상승	상승/NNG
동력의	동력/NNG+의/JKG
한	한/MMN
가지로	가지/NNB+로/JKB
꼽을	꼽/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.179.5.3
지난해 말 이후 잇따라 내린 기준금리와, 채권시장안정펀드 조성과 같은 정부의 시장 금리 인하 노력에 힘입어 시중 부동자금은 최근 800조원을 넘어섰다.

지난해	지난해/NNG
말	말/NNB
이후	이후/NNG
잇따라	잇따르/VV+아/EC
내린	내리/VV+ㄴ/ETM
