# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.270
metadata : {}


# id : NWRW1800000040.270.1.1
부산 특수학교, 학생 성폭행 의혹도

부산	부산/NNP
특수학교,	특수/NNG+학교/NNG+,/SP
학생	학생/NNG
성폭행	성폭행/NNG
의혹도	의혹/NNG+도/JX


# id : NWRW1800000040.270.2.1
발생 두달 지나서 교육청 보고

발생	발생/NNG
두달	두/MMN+달/NNB
지나서	지나/VV+아서/EC
교육청	교육청/NNG
보고	보고/NNG


# id : NWRW1800000040.270.3.1
학교 자치위, 남학생 전학 조처

학교	학교/NNG
자치위,	자치위/NNG+,/SP
남학생	남학생/NNG
전학	전학/NNG
조처	조처/NNG


# id : NWRW1800000040.270.4.1
교사가 여학생들을 성추행한 의혹이 불거진 부산지역 특수학교에서 남학생이 또래 여학생을 교내에서 성폭행한 혐의로 전학 조처된 사실이 드러났다.

교사가	교사/NNG+가/JKS
여학생들을	여학생/NNG+들/XSN+을/JKO
성추행한	성추행/NNG+하/XSV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
불거진	불거지/VV+ㄴ/ETM
부산지역	부산지역/NNP
특수학교에서	특수/NNG+학교/NNG+에서/JKB
남학생이	남학생/NNG+이/JKS
또래	또래/NNG
여학생을	여학생/NNG+을/JKO
교내에서	교내/NNG+에서/JKB
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
전학	전학/NNG
조처된	조처/NNG+되/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.270.5.1
11일 부산시교육청과 경찰 등의 말을 종합하면, 부산시교육청 산하 부산맹학교 남학생이 지난 8월 중순 방과후학교 수업 뒤 학교 실습실에서 같은 학년의 여학생과 성관계를 맺었다.

11일	11/SN+일/NNB
부산시교육청과	부산시교육청/NNP+과/JC
경찰	경찰/NNG
등의	등/NNB+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
부산시교육청	부산시교육청/NNP
산하	산하/NNG
부산맹학교	부산맹학교/NNP
남학생이	남학생/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
중순	중순/NNG
방과후학교	방과/NNG+후/NNG+학교/NNG
수업	수업/NNG
뒤	뒤/NNG
학교	학교/NNG
실습실에서	실습실/NNG+에서/JKB
같은	같/VA+은/ETM
학년의	학년/NNG+의/JKG
여학생과	여학생/NNG+과/JKB
성관계를	성관계/NNG+를/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.270.5.2
기숙사에서 지내는 둘은 실습실 담당 교사가 자리를 비운 사이 성관계를 했고, 학교 계단에서 이 여학생의 특정 신체부위를 만졌다.

기숙사에서	기숙사/NNG+에서/JKB
지내는	지내/VV+는/ETM
둘은	둘/NR+은/JX
실습실	실습실/NNG
담당	담당/NNG
교사가	교사/NNG+가/JKS
자리를	자리/NNG+를/JKO
비운	비우/VV+ㄴ/ETM
사이	사이/NNG
성관계를	성관계/NNG+를/JKO
했고,	하/VV+았/EP+고/EC+,/SP
학교	학교/NNG
계단에서	계단/NNG+에서/JKB
이	이/MMD
여학생의	여학생/NNG+의/JKG
특정	특정/NNG
신체부위를	신체/NNG+부위/NNG+를/JKO
만졌다.	만지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.270.6.1
이런 사실은 같은 달 27일 여교사가 여학생의 휴대전화 문자를 우연히 보면서 알려졌다.

이런	이런/MMD
사실은	사실/NNG+은/JX
같은	같/VA+은/ETM
달	달/NNG
27일	27/SN+일/NNB
여교사가	여교사/NNG+가/JKS
여학생의	여학생/NNG+의/JKG
휴대전화	휴대/NNG+전화/NNG
문자를	문자/NNG+를/JKO
우연히	우연히/MAG
보면서	보/VV+면서/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.270.6.2
문자 내용은 남학생이 여학생한테 신체 접촉에 대해 사과하는 내용이었다고 한다.

문자	문자/NNG
내용은	내용/NNG+은/JX
남학생이	남학생/NNG+이/JKS
여학생한테	여학생/NNG+한테/JKB
신체	신체/NNG
접촉에	접촉/NNG+에/JKB
대해	대하/VV+아/EC
사과하는	사과/NNG+하/XSV+는/ETM
내용이었다고	내용/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.270.6.3
학교 쪽은 두 학생을 상대로 각각 조사했으나 성폭행과 성추행을 확인하지 못했다.

학교	학교/NNG
쪽은	쪽/NNB+은/JX
두	두/MMN
학생을	학생/NNG+을/JKO
상대로	상대/NNG+로/JKB
각각	각각/MAG
조사했으나	조사/NNG+하/XSV+았/EP+으나/EC
성폭행과	성폭행/NNG+과/JC
성추행을	성추행/NNG+을/JKO
확인하지	확인/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.270.7.1
학교 쪽은 다음날 장애인단체가 운영하는 성폭력상담소에 연락해 두 학생이 학교에서 10시간씩 상담과 성교육 프로그램을 받도록 했으나, 부산시교육청엔 보고하지 않았다.

학교	학교/NNG
쪽은	쪽/NNB+은/JX
다음날	다음날/NNG
장애인단체가	장애인/NNG+단체/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
성폭력상담소에	성폭력/NNG+상담소/NNG+에/JKB
연락해	연락/NNG+하/XSV+아/EC
두	두/MMN
학생이	학생/NNG+이/JKS
학교에서	학교/NNG+에서/JKB
10시간씩	10/SN+시간/NNB+씩/XSN
상담과	상담/NNG+과/JC
성교육	성교육/NNG
프로그램을	프로그램/NNG+을/JKO
받도록	받/VV+도록/EC
했으나,	하/VX+았/EP+으나/EC+,/SP
부산시교육청엔	부산시교육청/NNP+에/JKB+ㄴ/JX
보고하지	보고/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.270.7.2
교육부 업무지침은 교내 성폭행 의혹이 제기되면 즉각 상급 감독기관에 보고하도록 규정하고 있다.

교육부	교육부/NNG
업무지침은	업무/NNG+지침/NNG+은/JX
교내	교내/NNG
성폭행	성폭행/NNG
의혹이	의혹/NNG+이/JKS
제기되면	제기/NNG+되/XSV+면/EC
즉각	즉각/MAG
상급	상급/NNG
감독기관에	감독/NNG+기관/NNG+에/JKB
보고하도록	보고/NNG+하/XSV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.270.8.1
학교 쪽은 두 달쯤 뒤인 지난달 30일 부산시교육청에 이 사건을 보고했다.

학교	학교/NNG
쪽은	쪽/NNB+은/JX
두	두/MMN
달쯤	달/NNB+쯤/XSN
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
30일	30/SN+일/NNB
부산시교육청에	부산시교육청/NNP+에/JKB
이	이/MMD
사건을	사건/NNG+을/JKO
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.270.8.2
국정감사에서 이 학교 교사가 여학생들을 성추행했다는 의혹을 학교 쪽이 교육청에 보고하지 않고 은폐했다는 지적이 나온 뒤였다.

국정감사에서	국정/NNG+감사/NNG+에서/JKB
이	이/MMD
학교	학교/NNG
교사가	교사/NNG+가/JKS
여학생들을	여학생/NNG+들/XSN+을/JKO
성추행했다는	성추행/NNG+하/XSV+았/EP+다는/ETM
