# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.234
metadata : {}


# id : NWRW1800000032.234.1.1
반값 등록금 대신 ‘선별 장학금’

반값	반값/NNG
등록금	등록금/NNG
대신	대신/NNG
‘선별	‘/SS+선별/NNG
장학금’	장학금/NNG+’/SS


# id : NWRW1800000032.234.2.1
교과부, 내년 1조5000억 투입

교과부,	교과부/NNG+,/SP
내년	내년/NNG
1조5000억	1/SN+조/NR+5000/SN+억/NR
투입	투입/NNG


# id : NWRW1800000032.234.3.1
소득하위 70% 대학생에 장학금

소득하위	소득/NNG+하위/NNG
70%	70/SN+%/SW
대학생에	대학/NNG+생/XSN+에/JKB
장학금	장학금/NNG


# id : NWRW1800000032.234.4.1
교육과학기술부가 대학 등록금 부담을 덜어주기 위해 내년에 정부 예산 1조5000억원을 투입해 가구소득이 하위 70%에 해당하는 대학생에게 ‘국가장학금’을 지급하기로 했다.

교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
대학	대학/NNG
등록금	등록금/NNG
부담을	부담/NNG+을/JKO
덜어주기	덜/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
내년에	내년/NNG+에/JKB
정부	정부/NNG
예산	예산/NNG
1조5000억원을	1/SN+조/NR+5000/SN+억/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
가구소득이	가구/NNG+소득/NNG+이/JKS
하위	하위/NNG
70%에	70/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
대학생에게	대학/NNG+생/XSN+에게/JKB
‘국가장학금’을	‘/SS+국가/NNG+장학금/NNG+’/SS+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.234.4.2
하지만 야당과 시민사회단체가 주장해온 ‘반값 등록금’에는 턱없이 못미치는데다, 이미 오를 대로 오른 등록금을 인하할 대책도 빠져 있다는 지적이 나온다.

하지만	하지만/MAJ
야당과	야당/NNG+과/JC
시민사회단체가	시민/NNG+사회단체/NNG+가/JKS
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘반값	‘/SS+반값/NNG
등록금’에는	등록금/NNG+’/SS+에/JKB+는/JX
턱없이	턱없이/MAG
못미치는데다,	못/MAG+미치/VV+는/ETM+데/NNB+다/JX+,/SP
이미	이미/MAG
오를	오르/VV+ㄹ/ETM
대로	대로/NNB
오른	오르/VV+ㄴ/ETM
등록금을	등록금/NNG+을/JKO
인하할	인하/NNG+하/XSV+ㄹ/ETM
대책도	대책/NNG+도/JX
빠져	빠지/VV+어/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.234.5.1
교과부는 8일 한나라당과의 당정협의를 거쳐 ‘대학생 등록금 부담 완화 방안’을 확정해 발표했다.

교과부는	교과부/NNG+는/JX
8일	8/SN+일/NNB
한나라당과의	한나라당/NNP+과/JKB+의/JKG
당정협의를	당정/NNG+협의/NNG+를/JKO
거쳐	거치/VV+어/EC
‘대학생	‘/SS+대학/NNG+생/XSN
등록금	등록금/NNG
부담	부담/NNG
완화	완화/NNG
방안’을	방안/NNG+’/SS+을/JKO
확정해	확정/NNG+하/XSV+아/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.234.5.2
방안을 보면, 정부 재정 1조5000억원 가운데 절반인 7500억원이 투입되는 ‘국가장학금 Ⅰ유형’은 기초생활수급 대상자와 소득 하위 3분위 이하의 학생에게 장학금을 차등 지급하는 방식으로 이뤄진다.

방안을	방안/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
정부	정부/NNG
재정	재정/NNG
1조5000억원	1/SN+조/NR+5000/SN+억/NR+원/NNB
가운데	가운데/NNG
절반인	절반/NNG+이/VCP+ㄴ/ETM
7500억원이	7500/SN+억/NR+원/NNB+이/JKS
투입되는	투입/NNG+되/XSV+는/ETM
‘국가장학금	‘/SS+국가/NNG+장학금/NNG
