# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.202
metadata : {}


# id : NWRW1800000037.202.1.1
법원 “상여금은 통상임금 아니다”

법원	법원/NNG
“상여금은	“/SS+상여금/NNG+은/JX
통상임금	통상/NNG+임금/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000037.202.2.1
“근무일-성적 따라 차등 비고정 임금” 작년 大法의 ‘상여 포함’ 판결과 달라 삼화고속 통상임금 위헌제청은 기각… 노조, 오늘 내일 인천~서울 버스파업

“근무일-성적	“/SS+근무일/NNG+-/SO+성적/NNG
따라	따르/VV+아/EC
차등	차등/NNG
비고정	비/XPN+고정/NNG
임금”	임금/NNG+”/SS
작년	작년/NNG
大法의	大法/SH+의/JKG
‘상여	‘/SS+상여/NNG
포함’	포함/NNG+’/SS
판결과	판결/NNG+과/JKB
달라	다르/VA+아/EC
삼화고속	삼화고속/NNP
통상임금	통상/NNG+임금/NNG
위헌제청은	위헌/NNG+제청/NNG+은/JX
기각…	기각/NNG+…/SE
노조,	노조/NNG+,/SP
오늘	오늘/NNG
내일	내일/NNG
인천~서울	인천/NNP+~/SO+서울/NNP
버스파업	버스/NNG+파업/NNG


# id : NWRW1800000037.202.3.1
법정수당의 산정 근거가 되는 통상임금에 상여금 포함 여부를 두고 재계와 노동계가 팽팽히 맞서고 있는 가운데 법원이 “상여금은 근무일수와 성적에 의해 지급액이나 지급 여부가 달라져 통상임금으로 볼 수 없다”는 판결을 내렸다.

법정수당의	법정/NNG+수당/NNG+의/JKG
산정	산정/NNG
근거가	근거/NNG+가/JKC
되는	되/VV+는/ETM
통상임금에	통상/NNG+임금/NNG+에/JKB
상여금	상여금/NNG
포함	포함/NNG
여부를	여부/NNG+를/JKO
두고	두/VV+고/EC
재계와	재계/NNG+와/JC
노동계가	노동/NNG+계/XSN+가/JKS
팽팽히	팽팽히/MAG
맞서고	맞서/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
법원이	법원/NNG+이/JKS
