# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.142
metadata : {}


# id : NWRW1800000041.142.1.1
[이새샘 기자의 고양이끼고 드라마]일본의 AV산업 치부 걷어내기

[이새샘	[/SS+이새샘/NNP
기자의	기자/NNG+의/JKG
고양이끼고	고양이/NNG+끼/VV+고/EC
드라마]일본의	드라마/NNG+]/SS+일본/NNP+의/JKG
AV산업	AV/SL+산업/NNG
치부	치부/NNG
걷어내기	걷/VV+어/EC+내/VX+기/ETN


# id : NWRW1800000041.142.2.1
일드 ‘모자이크 저팬’

일드	일드/NNG
‘모자이크	‘/SS+모자이크/NNG
저팬’	저팬/NNP+’/SS


# id : NWRW1800000041.142.3.1
이 드라마, 공공장소에서 보다간 변태로 오해받을 수 있다.

이	이/MMD
드라마,	드라마/NNG+,/SP
공공장소에서	공공장소/NNG+에서/JKB
보다간	보/VV+다가/EC+ㄴ/JX
변태로	변태/NNG+로/JKB
오해받을	오해/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.142.3.2
여배우의 상체 노출은 물론이고 낯 뜨거운 성행위 장면도 가릴 곳만 가린 채 그대로 나온다.

여배우의	여배우/NNG+의/JKG
상체	상체/NNG
노출은	노출/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
낯	낯/NNG
뜨거운	뜨겁/VA+ㄴ/ETM
성행위	성행위/NNG
장면도	장면/NNG+도/JX
가릴	가리/VV+ㄹ/ETM
곳만	곳/NNG+만/JX
가린	가리/VV+ㄴ/ETM
채	채/NNB
그대로	그대로/MAG
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.142.3.3
일본 성인물 여배우는 약 8000명, 가장 인기 있는 성인물 장르는 ‘데뷔작’(신인 여배우의 첫 작품) 같은, 몰라도 될 정보들이 튀어나온다.

일본	일본/NNP
성인물	성인물/NNG
여배우는	여배우/NNG+는/JX
약	약/MMA
8000명,	8000/SN+명/NNB+,/SP
가장	가장/MAG
인기	인기/NNG
있는	있/VA+는/ETM
장르는	장르/NNG+는/JX
‘데뷔작’(신인	‘/SS+데뷔작/NNG+’/SS+(/SS+신인/NNG
여배우의	여배우/NNG+의/JKG
첫	첫/MMN
작품)	작품/NNG+)/SS
같은,	같/VA+은/ETM+,/SP
몰라도	모르/VV+아도/EC
될	되/VV+ㄹ/ETM
정보들이	정보/NNG+들/XSN+이/JKS
튀어나온다.	튀어나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.142.3.4
일본의 성인비디오 제작 기업을 배경으로 한 드라마 ‘모자이크 저팬’ 얘기다.

일본의	일본/NNP+의/JKG
성인비디오	성인/NNG+비디오/NNG
제작	제작/NNG
기업을	기업/NNG+을/JKO
배경으로	배경/NNG+으로/JKB
한	하/VV+ㄴ/ETM
드라마	드라마/NNG
‘모자이크	‘/SS+모자이크/NNG
저팬’	저팬/NNP+’/SS
