# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.128
metadata : {}


# id : NWRW1800000033.128.1.1
“시청률 높으면… 관객 많으면…” 연예계 ‘공약’ 봇물

“시청률	“/SS+시청/NNG+률/XSN
높으면…	높/VA+으면/EC+…/SE
관객	관객/NNG
많으면…”	많/VA+으면/EC+…/SE+”/SS
연예계	연예/NNG+계/XSN
‘공약’	‘/SS+공약/NNG+’/SS
봇물	봇물/NNG


# id : NWRW1800000033.128.2.1
연예계에 ‘공약’이 쏟아지고 있다.

연예계에	연예/NNG+계/XSN+에/JKB
‘공약’이	‘/SS+공약/NNG+’/SS+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.128.2.2
당선을 조건으로 공약을 제시하는 정치인과 달리 주로 흥행이나 시청률을 조건으로 내거는 연예인들의 공약이다.

당선을	당선/NNG+을/JKO
조건으로	조건/NNG+으로/JKB
공약을	공약/NNG+을/JKO
제시하는	제시/NNG+하/XSV+는/ETM
정치인과	정치인/NNG+과/JKB
달리	달리/MAG
주로	주로/MAG
흥행이나	흥행/NNG+이나/JC
시청률을	시청/NNG+률/XSN+을/JKO
내거는	내걸/VV+는/ETM
연예인들의	연예인/NNG+들/XSN+의/JKG
공약이다.	공약/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.128.2.3
이색적인 약속으로 주목을 끌면 작품의 흥행에 도움이 된다는 점에 착안한 것이다.

이색적인	이색/NNG+적/XSN+이/VCP+ㄴ/ETM
약속으로	약속/NNG+으로/JKB
주목을	주목/NNG+을/JKO
끌면	끌/VV+면/EC
작품의	작품/NNG+의/JKG
흥행에	흥행/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
점에	점/NNG+에/JKB
착안한	착안/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.128.3.1
베니스국제영화제에서 황금사자상을 수상한 김기덕 감독은 “영화 ‘피에타’가 흥행한다면 똑같은 트로피 2개를 제작해 두 배우(조민수 이정진)에게 주겠다”고 공약했다.

베니스국제영화제에서	베니스/NNP+국제/NNG+영화제/NNG+에서/JKB
황금사자상을	황금사자상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
김기덕	김기덕/NNP
감독은	감독/NNG+은/JX
“영화	“/SS+영화/NNG
‘피에타’가	‘/SS+피에타/NNP+’/SS+가/JKS
흥행한다면	흥행/NNG+하/XSV+ㄴ다면/EC
똑같은	똑같/VA+은/ETM
트로피	트로피/NNG
2개를	2/SN+개/NNB+를/JKO
제작해	제작/NNG+하/XSV+아/EC
두	두/MMN
배우(조민수	배우/NNG+(/SS+조민수/NNP
