# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.348
metadata : {}


# id : NWRW1800000026.348.1.1
영화와 자동차 / '올모스트 페이머스'의 투어 버스;청춘의 낭만 속으로 떠나볼까

영화와	영화/NNG+와/JC
자동차	자동차/NNG
/	//SP
'올모스트	'/SS+올모스트/NA
페이머스'의	페이머스/NA+'/SS+의/JKG
투어	투어/NNG
버스;청춘의	버스/NNG+;/SP+청춘/NNG+의/JKG
낭만	낭만/NNG
속으로	속/NNG+으로/JKB
떠나볼까	떠나/VV+아/EC+보/VX+ㄹ까/EF


# id : NWRW1800000026.348.2.1
'올모스트 페이머스(Almost Famous·2000년)'는 15세 소년이 음악잡지 객원기자 자격으로 록그룹을 따라다니면서 겪는 성장영화·음악영화·로드무비입니다.

'올모스트	'/SS+올모스트/NA
페이머스(Almost	페이머스/NA+(/SS+Almost/SL
Famous·2000년)'는	Famous/SL+·/SP+2000/SN+년/NNB+)/SS+'/SS+는/JX
15세	15/SN+세/NNB
소년이	소년/NNG+이/JKS
음악잡지	음악/NNG+잡지/NNG
객원기자	객원/NNG+기자/NNG
자격으로	자격/NNG+으로/JKB
록그룹을	록/NNG+그룹/NNG+을/JKO
따라다니면서	따라다니/VV+면서/EC
겪는	겪/VV+는/ETM
성장영화·음악영화·로드무비입니다.	성장/NNG+영화/NNG+·/SP+음악/NNG+영화/NNG+·/SP+로드무비/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.3.1
고교생인 윌리암 밀러(패트릭 퓨지트)는 음악잡지 '크림'의 편집장 레스터 뱅스를 만나게 되고, 밀러가 기고한 음악 비평을 높이 평가한 뱅스는 밀러에게 음악기자가 될 수 있는 길을 열어줍니다.

고교생인	고교/NNG+생/XSN+이/VCP+ㄴ/ETM
윌리암	윌리암/NNP
밀러(패트릭	밀러/NNP+(/SS+패트릭/NNP
퓨지트)는	퓨지트/NNP+)/SS+는/JX
음악잡지	음악/NNG+잡지/NNG
'크림'의	'/SS+크림/NNG+'/SS+의/JKG
편집장	편집장/NNG
레스터	레스터/NNP
뱅스를	뱅스/NNP+를/JKO
만나게	만나/VV+게/EC
되고,	되/VV+고/EC+,/SP
밀러가	밀러/NNP+가/JKS
기고한	기고/NNG+하/XSV+ㄴ/ETM
음악	음악/NNG
비평을	비평/NNG+을/JKO
높이	높이/MAG
평가한	평가/NNG+하/XSV+ㄴ/ETM
뱅스는	뱅스/NNP+는/JX
밀러에게	밀러/NNP+에게/JKB
음악기자가	음악/NNG+기자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길을	길/NNG+을/JKO
열어줍니다.	열/VV+어/EC+주/VX+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.3.2
뱅스 덕에 밀러는 록그룹 '스틸 워터'의 1973년 전국투어를 따라다닐 수 있게 되고, 이 과정에서 밴드를 따라다니는 소녀팬 페니 레인(케이트 허드슨)을 만나 사랑에 빠집니다.

뱅스	뱅스/NNP
덕에	덕/NNG+에/JKB
밀러는	밀러/NNP+는/JX
록그룹	록/NNG+그룹/NNG
'스틸	'/SS+스틸/NNG
워터'의	워터/NNG+'/SS+의/JKG
1973년	1973/SN+년/NNB
전국투어를	전국/NNG+투어/NNG+를/JKO
따라다닐	따라다니/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되고,	되/VV+고/EC+,/SP
이	이/MMD
과정에서	과정/NNG+에서/JKB
밴드를	밴드/NNG+를/JKO
따라다니는	따라다니/VV+는/ETM
소녀팬	소녀/NNG+팬/NNG
페니	페니/NNP
레인(케이트	레인/NNP+(/SS+케이트/NNP
허드슨)을	허드슨/NNP+)/SS+을/JKO
만나	만나/VV+아/EC
사랑에	사랑/NNG+에/JKB
빠집니다.	빠지/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.4.1
'제리 맥과이어'의 감독 캐머론 크로우가 감독·각본을 맡은 이 영화는 2001년 아카데미 각본상을 받았을만큼 탁월한 이야기를 자랑합니다.

'제리	'/SS+제리/NNP
맥과이어'의	맥과이어/NNP+'/SS+의/JKG
감독	감독/NNG
캐머론	캐머론/NNP
크로우가	크로우/NNP+가/JKS
감독·각본을	감독/NNG+·/SP+각본/NNG+을/JKO
맡은	맡/VV+은/ETM
이	이/MMD
영화는	영화/NNG+는/JX
2001년	2001/SN+년/NNB
아카데미	아카데미/NNG
각본상을	각본상/NNG+을/JKO
받았을만큼	받/VV+았/EP+을/ETM+만큼/NNB
탁월한	탁월하/VA+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
자랑합니다.	자랑/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.4.2
더구나 사이먼&가펑클, 블랙 사바스, 예스, 로드 스튜어트, 레드 제플린, 닐 영, 플릿우드 맥, 딥 퍼플, 엘튼 존 등 불멸의 아티스트들의 명곡이 화면을 가득 채우지요.

더구나	더구나/MAG
사이먼&가펑클,	사이먼/NNP+&/SW+가펑클/NNP+,/SP
블랙	블랙/NNP
사바스,	사바스/NNP+,/SP
예스,	예스/NNP+,/SP
로드	로드/NNP
스튜어트,	스튜어트/NNP+,/SP
레드	레드/NNP
제플린,	제플린/NNP+,/SP
닐	닐/NNP
영,	영/NNP+,/SP
플릿우드	플릿우드/NNP
맥,	맥/NNP+,/SP
딥	딥/NNP
퍼플,	퍼플/NNP+,/SP
엘튼	엘튼/NNP
존	존/NNP
등	등/NNB
불멸의	불멸/NNG+의/JKG
아티스트들의	아티스트/NNG+들/XSN+의/JKG
명곡이	명곡/NNG+이/JKS
화면을	화면/NNG+을/JKO
가득	가득/MAG
채우지요.	채우/VV+지요/EF+./SF


# id : NWRW1800000026.348.4.3
또 촬영 당시 20세 갓 넘은 나이였던 케이트 허드슨의 연기는 빛이 납니다.

또	또/MAG
촬영	촬영/NNG
당시	당시/NNG
20세	20/SN+세/NNB
갓	갓/MAG
넘은	넘/VV+은/ETM
나이였던	나이/NNG+이/VCP+었/EP+던/ETM
케이트	케이트/NNP
허드슨의	허드슨/NNP+의/JKG
연기는	연기/NNG+는/JX
빛이	빛/NNG+이/JKS
납니다.	나/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.5.1
이 영화에는 극중의 뱅스, 밀러처럼 기자들이 보면 매우 흥미로운 대사가 많습니다.

이	이/MMD
영화에는	영화/NNG+에/JKB+는/JX
극중의	극/NNG+중/NNB+의/JKG
뱅스,	뱅스/NNP+,/SP
밀러처럼	밀러/NNP+처럼/JKB
기자들이	기자/NNG+들/XSN+이/JKS
보면	보/VV+면/EC
매우	매우/MAG
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
대사가	대사/NNG+가/JKS
많습니다.	많/VA+습니다/EF+./SF


# id : NWRW1800000026.348.5.2
대사들을 곱씹어보면, 기자는 전 세계 어디에서나 그리고 취재분야에 상관없이 비슷하다는 생각이 들게 되지요.

대사들을	대사/NNG+들/XSN+을/JKO
곱씹어보면,	곱씹/VV+어/EC+보/VX+면/EC+,/SP
기자는	기자/NNG+는/JX
전	전/MMN
세계	세계/NNG
어디에서나	어디/NP+에서/JKB+나/JX
그리고	그리고/MAJ
취재분야에	취재/NNG+분야/NNG+에/JKB
상관없이	상관없이/MAG
비슷하다는	비슷하/VA+다는/ETM
생각이	생각/NNG+이/JKS
들게	들/VV+게/EC
되지요.	되/VV+지요/EF+./SF


# id : NWRW1800000026.348.6.1
영화에서 전설적인 록 전문기자로 나오는 뱅스는 밀러가 음악기자가 되고 싶다고 찾아오자 한참을 생각한 뒤 조언합니다.

영화에서	영화/NNG+에서/JKB
전설적인	전설/NNG+적/XSN+이/VCP+ㄴ/ETM
록	록/NNG
전문기자로	전문/NNG+기자/NNG+로/JKB
나오는	나오/VV+는/ETM
뱅스는	뱅스/NNP+는/JX
밀러가	밀러/NNP+가/JKS
음악기자가	음악/NNG+기자/NNG+가/JKC
되고	되/VV+고/EC
싶다고	싶/VX+다고/EC
찾아오자	찾아오/VV+자/EC
한참을	한참/NNG+을/JKO
생각한	생각/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
조언합니다.	조언/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.7.1
"록스타를 취재하게 되면 엄청난 친구들이 생길거야.

"록스타를	"/SS+록/NNG+스타/NNG+를/JKO
취재하게	취재/NNG+하/XSV+게/EC
되면	되/VV+면/EC
엄청난	엄청나/VA+ㄴ/ETM
친구들이	친구/NNG+들/XSN+이/JKS
생길거야.	생기/VV+ㄹ/ETM+거/NNB+이/VCP+야/EF+./SF


# id : NWRW1800000026.348.7.2
하지만 그들은 가짜 친구야.

하지만	하지만/MAJ
그들은	그/NP+들/XSN+은/JX
가짜	가짜/NNG
친구야.	친구/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000026.348.7.3
널 망치려 들거다.

널	너/NP+ㄹ/JKO
망치려	망치/VV+려/EC
들거다.	들/VV+ㄹ/ETM+거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.348.7.4
잘 들어.

잘	잘/MAG
들어.	듣/VV+어/EF+./SF


# id : NWRW1800000026.348.7.5
록스타와는 친구가 될 수 없단다." 그리고 뱅스는 계속합니다.

록스타와는	록/NNG+스타/NNG+와/JKB+는/JX
친구가	친구/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없단다."	없/VA+단다/EF+./SF+"/SS
그리고	그리고/MAJ
뱅스는	뱅스/NNP+는/JX
계속합니다.	계속/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.8.1
"점점 추하게 되지.

"점점	"/SS+점점/MAG
추하게	추하/VA+게/EC
되지.	되/VV+지/EF+./SF


# id : NWRW1800000026.348.8.2
그들은 네게 술을 사주고, 넌 여자도 만나고 공짜여행도 하고, 약을 같이 하게 될 수도 있어.

그들은	그/NP+들/XSN+은/JX
네게	너/NP+에게/JKB
술을	술/NNG+을/JKO
사주고,	사/VV+아/EC+주/VX+고/EC+,/SP
넌	너/NP+ㄴ/JX
여자도	여자/NNG+도/JX
만나고	만나/VV+고/EC
공짜여행도	공짜/NNG+여행/NNG+도/JX
하고,	하/VV+고/EC+,/SP
약을	약/NNG+을/JKO
같이	같이/MAG
하게	하/VV+게/EC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어.	있/VA+어/EF+./SF


# id : NWRW1800000026.348.8.3
멋지게 들리겠지만, 그들은 네 친구가 아냐.

멋지게	멋지/VA+게/EC
들리겠지만,	들리/VV+겠/EP+지만/EC+,/SP
그들은	그/NP+들/XSN+은/JX
네	너/NP+의/JKG
친구가	친구/NNG+가/JKC
아냐.	아니/VCN+야/EF+./SF


# id : NWRW1800000026.348.8.4
단지 네가 신성한 글을 써주길 바라지.

단지	단지/MAG
네가	네/NP+가/JKS
신성한	신성/NNG+하/XSA+ㄴ/ETM
글을	글/NNG+을/JKO
써주길	쓰/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
바라지.	바라/VV+지/EF+./SF


# id : NWRW1800000026.348.8.5
록스타의 천재성에 대해서."

록스타의	록/NNG+스타/NNG+의/JKG
천재성에	천재/NNG+성/XSN+에/JKB
대해서."	대하/VV+아서/EC+./SF+"/SS


# id : NWRW1800000026.348.9.1
그리고 그는 밀러에게 "네가 기자로서 올바른 명성을 쌓으려면, 정직해야 하고 그리고 비정(unmerciful)해야 한다"고 말합니다.

그리고	그리고/MAJ
그는	그/NP+는/JX
밀러에게	밀러/NNP+에게/JKB
"네가	"/SS+네/NP+가/JKS
기자로서	기자/NNG+로서/JKB
올바른	올바르/VA+ㄴ/ETM
명성을	명성/NNG+을/JKO
쌓으려면,	쌓/VV+으려면/EC+,/SP
정직해야	정직/NNG+하/XSA+아야/EC
하고	하/VX+고/EC
비정(unmerciful)해야	비정/NNG+(/SS+unmerciful/SL+)/SS+하/XSA+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말합니다.	말/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.9.2
또 그는 록스타와 어울린다고 해서 스스로 대단한 사람이 된 것처럼 착각하지 말 것을 주문합니다.

또	또/MAG
그는	그/NP+는/JX
록스타와	록/NNG+스타/NNG+와/JKB
어울린다고	어울리/VV+ㄴ다고/EC
해서	하/VV+아서/EC
스스로	스스로/MAG
대단한	대단하/VA+ㄴ/ETM
사람이	사람/NNG+이/JKC
된	되/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
착각하지	착각/NNG+하/XSV+지/EC
말	말/VX+ㄹ/ETM
것을	것/NNB+을/JKO
주문합니다.	주문/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000026.348.9.3
기자는 절대 쿨(cool)한 존재가 될 수 없다는 것이지요.

기자는	기자/NNG+는/JX
절대	절대/MAG
쿨(cool)한	쿨/NNG+(/SS+cool/SL+)/SS+하/XSA+ㄴ/ETM
존재가	존재/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것이지요.	것/NNB+이/VCP+지요/EF+./SF


# id : NWRW1800000026.348.10.1
영화에는 1970년대 미국차들이 다양하게 등장하는데요.

영화에는	영화/NNG+에/JKB+는/JX
1970년대	1970/SN+년대/NNB
미국차들이	미국/NNP+차/NNG+들/XSN+이/JKS
다양하게	다양/NNG+하/XSA+게/EC
등장하는데요.	등장/NNG+하/XSV+는데/EC+요/JX+./SF


# id : NWRW1800000026.348.10.2
당시는 미국 차회사들이 마지막 영화를 누렸던 시기가 아니었나 싶습니다.

당시는	당시/NNG+는/JX
미국	미국/NNP
차회사들이	차/NNG+회사/NNG+들/XSN+이/JKS
마지막	마지막/NNG
영화를	영화/NNG+를/JKO
누렸던	누리/VV+었/EP+던/ETM
시기가	시기/NNG+가/JKC
아니었나	아니/VCN+었/EP+나/EC
싶습니다.	싶/VX+습니다/EF+./SF


# id : NWRW1800000026.348.10.3
밀러가 스틸 워터와 함께 투어를 다닐 때 탄 '도리스'라는 애칭의 장거리용 버스는 여유로웠던 미국의 느낌을 잘 전해주지요.

밀러가	밀러/NNP+가/JKS
스틸	스틸/NNG
워터와	워터/NNG+와/JKB
함께	함께/MAG
투어를	투어/NNG+를/JKO
다닐	다니/VV+ㄹ/ETM
때	때/NNG
탄	타/VV+ㄴ/ETM
'도리스'라는	'/SS+도리스/NNG+'/SS+이/VCP+라는/ETM
애칭의	애칭/NNG+의/JKG
장거리용	장거리/NNG+용/XSN
버스는	버스/NNG+는/JX
여유로웠던	여유/NNG+롭/XSA+었/EP+던/ETM
미국의	미국/NNP+의/JKG
느낌을	느낌/NNG+을/JKO
잘	잘/MAG
전해주지요.	전하/VV+아/EC+주/VX+지요/EF+./SF


# id : NWRW1800000026.348.10.4
영화 속 버스 안에서 주인공들이 서로 웃고 우는 장면들을 보면, TV 프로그램 '1박 2일'처럼 친구들끼리 마음을 모아 여행 떠나는 즐거움을 간접체험할 수도 있을 겁니다.

영화	영화/NNG
속	속/NNG
버스	버스/NNG
안에서	안/NNG+에서/JKB
주인공들이	주인공/NNG+들/XSN+이/JKS
서로	서로/MAG
웃고	웃/VV+고/EC
우는	울/VV+는/ETM
장면들을	장면/NNG+들/XSN+을/JKO
보면,	보/VV+면/EC+,/SP
TV	TV/SL
프로그램	프로그램/NNG
'1박	'/SS+1/SN+박/NNB
2일'처럼	2/SN+일/NNB+'/SS+처럼/JKB
친구들끼리	친구/NNG+들/XSN+끼리/XSN
마음을	마음/NNG+을/JKO
모아	모으/VV+아/EC
여행	여행/NNG
떠나는	떠나/VV+는/ETM
즐거움을	즐거움/NNG+을/JKO
간접체험할	간접/NNG+체험/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


