# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.390
metadata : {}


# id : NWRW1800000054.390.1.1
한달새 10명이나… 뜸하던 北귀순자, 지난달부터 급증

한달새	한/MMN+달/NNB+새/NNG
10명이나…	10/SN+명/NNB+이나/JX+…/SE
뜸하던	뜸하/VA+던/ETM
北귀순자,	北/SH+귀순자/NNG+,/SP
지난달부터	지난달/NNG+부터/JX
급증	급증/NNG


# id : NWRW1800000054.390.2.1
1일, 5명 탄 선박 1척 동해 귀순… 6월에만 4차례 걸쳐 5명 넘어와 식량난·군인대우 부실화 탓인 듯

1일,	1/SN+일/NNB+,/SP
5명	5/SN+명/NNB
탄	타/VV+ㄴ/ETM
선박	선박/NNG
1척	1/SN+척/NNB
동해	동해/NNP
귀순…	귀순/NNG+…/SE
6월에만	6/SN+월/NNB+에/JKB+만/JX
4차례	4/SN+차례/NNG
걸쳐	걸치/VV+어/EC
넘어와	넘어오/VV+아/EC
식량난·군인대우	식량난/NNG+·/SP+군인/NNG+대우/NNG
부실화	부실/NNG+화/XSN
탓인	탓/NNG+이/VCP+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000054.390.3.1
북한 주민 5명이 탄 소형선박 1척이 지난 1일 오후 동해 북방한계선(NLL)을 넘어 내려와 귀순 의사를 밝힌 것으로 알려졌다.

북한	북한/NNP
주민	주민/NNG
5명이	5/SN+명/NNB+이/JKS
탄	타/VV+ㄴ/ETM
소형선박	소형/NNG+선박/NNG
1척이	1/SN+척/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
오후	오후/NNG
동해	동해/NNP
북방한계선(NLL)을	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS+을/JKO
넘어	넘/VV+어/EC
내려와	내려오/VV+아/EC
귀순	귀순/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.390.3.2
2일 정부 관계자에 따르면 해경은 이날 강릉 동북방 먼 해상에서 북한 선박을 발견해 함정을 보내 남자 4명과 여자 1명이 타고 있던 선박을 남쪽으로 유도한 것으로 알려졌다.

2일	2/SN+일/NNB
정부	정부/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
해경은	해경/NNG+은/JX
이날	이날/NNG
강릉	강릉/NNP
동북방	동북방/NNG
먼	멀/VA+ㄴ/ETM
해상에서	해상/NNG+에서/JKB
북한	북한/NNP
선박을	선박/NNG+을/JKO
발견해	발견/NNG+하/XSV+아/EC
함정을	함정/NNG+을/JKO
