# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.86
metadata : {}


# id : NWRW1800000054.86.1.1
"옛말투성이 낡은 古典번역, 과감하게 쉬운 말로 바꾸자"

"옛말투성이	"/SS+옛말/NNG+투성이/XSN
낡은	낡/VV+은/ETM
古典번역,	古典/SH+번역/NNG+,/SP
과감하게	과감하/VA+게/EC
쉬운	쉽/VA+ㄴ/ETM
말로	말/NNG+로/JKB
바꾸자"	바꾸/VV+자/EF+"/SS


# id : NWRW1800000054.86.2.1
한국고전번역원 학술대회 '고전 再번역의 현황과 과제'

한국고전번역원	한국고전번역원/NNP
학술대회	학술/NNG+대회/NNG
'고전	'/SS+고전/NNG
再번역의	再/SH+번역/NNG+의/JKG
현황과	현황/NNG+과/JC
과제'	과제/NNG+'/SS


# id : NWRW1800000054.86.3.1
"그 제도가 비로소 크게 갖추어져서 殷(은)나라의 質(질)하므로부터 周(주)나라의 文(문)함에 이르니 그 因循(인순)하고 改革(개혁)하고 減損(감손)하고 補益(보익)하고함은 時勢(시세)가 그만둘 수 없음이 있는 것이다."

"그	"/SS+그/MMD
제도가	제도/NNG+가/JKS
비로소	비로소/MAG
크게	크/VA+게/EC
갖추어져서	갖추/VV+어/EC+지/VX+어서/EC
殷(은)나라의	殷/SH+(/SS+은/NNP+)/SS+나라/NNG+의/JKG
質(질)하므로부터	質/SH+(/SS+질/NNG+)/SS+하/VV+므로/EC+부터/JX
周(주)나라의	周/SH+(/SS+주/NNP+)/SS+나라/NNG+의/JKG
文(문)함에	文/SH+(/SS+문/NNG+)/SS+하/VV+ㅁ/ETN+에/JKB
이르니	이르/VV+니/EC
그	그/MMD
因循(인순)하고	因循/SH+(/SS+인순/NNG+)/SS+하/VV+고/EC
改革(개혁)하고	改革/SH+(/SS+개혁/NNG+)/SS+하/VV+고/EC
減損(감손)하고	減損/SH+(/SS+감손/NNG+)/SS+하/VV+고/EC
補益(보익)하고함은	補益/SH+(/SS+보익/NNG+)/SS+하/VV+고/EC+하/VX+ㅁ/ETN+은/JX
時勢(시세)가	時勢/SH+(/SS+시세/NNG+)/SS+가/JKS
그만둘	그만두/VV+ㄹ/ETM
수	수/NNB
없음이	없/VA+음/ETN+이/JKS
있는	있/VA+는/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000054.86.4.1
17세기 실학자 유형원의 '반계수록'을 1962년 우리말로 옮긴 완역본 일부인데, 지금 읽어보면 무슨 말인지 알기 어렵다.

17세기	17/SN+세기/NNG
실학자	실학자/NNG
유형원의	유형원/NNP+의/JKG
'반계수록'을	'/SS+반계수록/NNP+'/SS+을/JKO
1962년	1962/SN+년/NNB
우리말로	우리말/NNG+로/JKB
옮긴	옮기/VV+ㄴ/ETM
완역본	완역본/NNG
일부인데,	일부/NNG+이/VCP+ㄴ데/EC+,/SP
지금	지금/MAG
읽어보면	읽/VV+어/EC+보/VX+면/EC
무슨	무슨/MMD
말인지	말/NNG+이/VCP+ㄴ지/EF
알기	알/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000054.86.4.2
한문을 그대로 옮긴 옛 말투기 때문이다.

한문을	한문/NNG+을/JKO
그대로	그대로/MAG
옮긴	옮기/VV+ㄴ/ETM
옛	옛/MMA
말투기	말투/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.86.4.3
이 부분을 '비로소 제도가 제대로 갖춰졌기 때문에 은나라의 소박한 문화가 주나라에 와서 훨씬 세련되어졌다.

이	이/MMD
부분을	부분/NNG+을/JKO
'비로소	'/SS+비로소/MAG
제도가	제도/NNG+가/JKS
제대로	제대로/MAG
갖춰졌기	갖추/VV+어/EC+지/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
은나라의	은나라/NNP+의/JKG
소박한	소박하/VA+ㄴ/ETM
문화가	문화/NNG+가/JKS
주나라에	주나라/NNP+에/JKB
와서	오/VV+아서/EC
훨씬	훨씬/MAG
세련되어졌다.	세련/NNG+되/XSA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.86.4.4
옛 제도를 따르거나 개혁하고, 일부를 빼거나 더하는 작업들을 멈추지 않고 계속했던 것이 당시의 시대적 흐름이었다' 정도로 풀어낸다면 훨씬 이해하기 쉽다.

옛	옛/MMA
제도를	제도/NNG+를/JKO
따르거나	따르/VV+거나/EC
개혁하고,	개혁/NNG+하/XSV+고/EC+,/SP
일부를	일부/NNG+를/JKO
빼거나	빼/VV+거나/EC
더하는	더/MAG+하/XSV+는/ETM
작업들을	작업/NNG+들/XSN+을/JKO
멈추지	멈추/VV+지/EC
않고	않/VX+고/EC
계속했던	계속/NNG+하/XSV+았/EP+던/ETM
것이	것/NNB+이/JKS
당시의	당시/NNG+의/JKG
시대적	시대/NNG+적/XSN
흐름이었다'	흐름/NNG+이/VCP+었/EP+다/EF+'/SS
정도로	정도/NNG+로/JKB
풀어낸다면	풀어내/VV+ㄴ다면/EC
훨씬	훨씬/MAG
이해하기	이해/NNG+하/XSV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000054.86.5.1
줄곧 '앞'만 보고 달리던 우리 고전 번역 사업이 '뒤'를 돌아보기 시작했다.

줄곧	줄곧/MAG
'앞'만	'/SS+앞/NNG+'/SS+만/JX
보고	보/VV+고/EC
달리던	달리/VV+던/ETM
우리	우리/NP
고전	고전/NNG
번역	번역/NNG
사업이	사업/NNG+이/JKS
'뒤'를	'/SS+뒤/NNG+'/SS+를/JKO
돌아보기	돌아보/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.86.5.2
지금까지는 방대한 한문 전적들을 조금이라도 더 많이 우리말로 옮기는 양적(量的)인 문제였다면, '재번역'을 통해 기존 번역의 미흡한 점을 고치는 질적(質的)인 문제가 떠오른 것이다.

지금까지는	지금/NNG+까지/JX+는/JX
방대한	방대하/VA+ㄴ/ETM
한문	한문/NNG
전적들을	전적/NNG+들/XSN+을/JKO
조금이라도	조금/NNG+이라도/JX
더	더/MAG
많이	많이/MAG
우리말로	우리말/NNG+로/JKB
옮기는	옮기/VV+는/ETM
양적(量的)인	양/NNG+적/XSN+(/SS+量的/SH+)/SS+이/VCP+ㄴ/ETM
문제였다면,	문제/NNG+이/VCP+었/EP+다면/EC+,/SP
'재번역'을	'/SS+재/XPN+번역/NNG+'/SS+을/JKO
통해	통하/VV+아/EC
기존	기존/NNG
번역의	번역/NNG+의/JKG
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
점을	점/NNG+을/JKO
고치는	고치/VV+는/ETM
질적(質的)인	질/NNG+적/XSN+(/SS+質的/SH+)/SS+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
떠오른	떠오르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.86.6.1
한국고전번역원이 20일 오후 성균관대 600주년기념관 첨단강의실에서 여는 학술대회 '한국 고전 재(再)번역의 현황과 과제'는 이 문제를 본격적으로 짚는 자리다.

한국고전번역원이	한국고전번역원/NNP+이/JKS
20일	20/SN+일/NNB
오후	오후/NNG
성균관대	성균관대/NNP
600주년기념관	600/SN+주년/NNB+기념관/NNG
첨단강의실에서	첨단/NNG+강의실/NNG+에서/JKB
여는	열/VV+는/ETM
학술대회	학술/NNG+대회/NNG
'한국	'/SS+한국/NNP
고전	고전/NNG
재(再)번역의	재/XPN+(/SS+再/SH+)/SS+번역/NNG+의/JKG
현황과	현황/NNG+과/JC
과제'는	과제/NNG+'/SS+는/JX
이	이/MMD
문제를	문제/NNG+를/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
짚는	짚/VV+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.86.6.2
진재교 성균관대 교수는 미리 낸 발표문 '고전 번역의 난제와 재번역'에서 "변변한 공구서 하나 없었고 디지털 기술의 힘을 빌릴 수도 없었던 시기에 번역 작업을 했던 선학들의 역량은 놀랍지만, 학문 연구가 축적되고 독자들의 어문 감각이 크게 달라진 지금에 와서 보면 문제점이 많다"고 했다.

진재교	진재교/NNP
성균관대	성균관대/NNP
교수는	교수/NNG+는/JX
미리	미리/MAG
낸	내/VV+ㄴ/ETM
발표문	발표문/NNG
'고전	'/SS+고전/NNG
번역의	번역/NNG+의/JKG
난제와	난제/NNG+와/JC
재번역'에서	재/XPN+번역/NNG+'/SS+에서/JKB
"변변한	"/SS+변변하/VA+ㄴ/ETM
공구서	공구서/NNG
하나	하나/NR
없었고	없/VA+었/EP+고/EC
디지털	디지털/NNG
기술의	기술/NNG+의/JKG
힘을	힘/NNG+을/JKO
빌릴	빌리/VV+ㄹ/ETM
수도	수/NNB+도/JX
없었던	없/VA+었/EP+던/ETM
시기에	시기/NNG+에/JKB
번역	번역/NNG
작업을	작업/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
선학들의	선학/NNG+들/XSN+의/JKG
역량은	역량/NNG+은/JX
놀랍지만,	놀랍/VA+지만/EC+,/SP
학문	학문/NNG
연구가	연구/NNG+가/JKS
축적되고	축적/NNG+되/XSV+고/EC
독자들의	독자/NNG+들/XSN+의/JKG
어문	어문/NNG
감각이	감각/NNG+이/JKS
크게	크/VA+게/EC
달라진	달라지/VV+ㄴ/ETM
지금에	지금/NNG+에/JKB
와서	오/VV+아서/EC
보면	보/VV+면/EC
문제점이	문제점/NNG+이/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.86.7.1
한문 투 문장이 많아 가독성이 떨어진다는 것도 문제지만, 최근의 학술적 성과를 반영하지 못한 오역과 불명확한 번역, 불충분한 주석 역시 재번역이 필요한 이유라는 것이다.

한문	한문/NNG
투	투/NNB
문장이	문장/NNG+이/JKS
많아	많/VA+아/EC
가독성이	가독성/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
것도	것/NNB+도/JX
문제지만,	문제/NNG+이/VCP+지만/EC+,/SP
최근의	최근/NNG+의/JKG
학술적	학술/NNG+적/XSN
성과를	성과/NNG+를/JKO
반영하지	반영/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
오역과	오역/NNG+과/JC
불명확한	불명확하/VA+ㄴ/ETM
번역,	번역/NNG+,/SP
불충분한	불충분/NNG+하/XSA+ㄴ/ETM
주석	주석/NNG
역시	역시/MAG
재번역이	재/XPN+번역/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
이유라는	이유/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.86.8.1
진 교수는 '동문선(東文選)'의 기존 번역 중 신라 문인 최광유의 한시 '정매(庭梅)'를 예로 들었다.

진	진/NNP
교수는	교수/NNG+는/JX
'동문선(東文選)'의	'/SS+동문선/NNP+(/SS+東文選/SH+)/SS+'/SS+의/JKG
기존	기존/NNG
번역	번역/NNG
중	중/NNB
신라	신라/NNP
문인	문인/NNG
최광유의	최광유/NNP+의/JKG
한시	한시/NNG
