# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.389
metadata : {}


# id : NWRW1800000022.389.1.1
아파트냐 아파트냐<br>공동주택도 국내외 유명 건축가 참여 '작가주의' 바람

아파트냐	아파트/NNG+이/VCP+냐/EF
아파트냐<br>공동주택도	아파트/NNG+이/VCP+냐/EF+</SS+br/SL+>/SS+공동/NNG+주택/NNG+도/JX
국내외	국내외/NNG
유명	유명/NNG
건축가	건축가/NNG
참여	참여/NNG
'작가주의'	'/SS+작가주의/NNG+'/SS
바람	바람/NNG


# id : NWRW1800000022.389.2.1
공공건축물이나 대형 빌딩·초고층 빌딩 등에서만 이름을 볼 수 있었던 유명 건축가들이 최근 일반적인 공동주택 건축에도 등장하고 있다.

공공건축물이나	공공/NNG+건축물/NNG+이나/JC
대형	대형/NNG
빌딩·초고층	빌딩/NNG+·/SP+초/XPN+고층/NNG
빌딩	빌딩/NNG
등에서만	등/NNB+에서/JKB+만/JX
이름을	이름/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
유명	유명/NNG
건축가들이	건축가/NNG+들/XSN+이/JKS
최근	최근/NNG
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
공동주택	공동/NNG+주택/NNG
건축에도	건축/NNG+에/JKB+도/JX
등장하고	등장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.389.2.2
과거 아파트 건축은 '고품격'을 지향하는 건축가들은 기피하는 건축 분야였다.

과거	과거/NNG
아파트	아파트/NNG
건축은	건축/NNG+은/JX
'고품격'을	'/SS+고/XPN+품격/NNG+'/SS+을/JKO
지향하는	지향/NNG+하/XSV+는/ETM
건축가들은	건축가/NNG+들/XSN+은/JX
기피하는	기피/NNG+하/XSV+는/ETM
건축	건축/NNG
분야였다.	분야/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.389.2.3
그러나 최근에는 국내뿐 아니라 해외 유명 건축가까지 국내 공동주택 설계에 참여하는 사례가 늘고 있다.

그러나	그러나/MAJ
최근에는	최근/NNG+에/JKB+는/JX
국내뿐	국내/NNG+뿐/JX
아니라	아니/VCN+라/EC
해외	해외/NNG
유명	유명/NNG
건축가까지	건축가/NNG+까지/JX
국내	국내/NNG
공동주택	공동/NNG+주택/NNG
설계에	설계/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.389.3.1
공동 주택 건축에 유명 건축가들이 참여하지 않았던 이유는 불특정 다수를 상대로 판매하는 공동주택은 건축가들의 상상력을 발휘하기 어려운 분야이기 때문.

공동	공동/NNG
주택	주택/NNG
건축에	건축/NNG+에/JKB
유명	유명/NNG
건축가들이	건축가/NNG+들/XSN+이/JKS
참여하지	참여/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
이유는	이유/NNG+는/JX
불특정	불/XPN+특정/NNG
다수를	다수/NNG+를/JKO
상대로	상대/NNG+로/JKB
판매하는	판매/NNG+하/XSV+는/ETM
공동주택은	공동/NNG+주택/NNG+은/JX
건축가들의	건축가/NNG+들/XSN+의/JKG
상상력을	상상력/NNG+을/JKO
발휘하기	발휘/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
분야이기	분야/NNG+이/VCP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000022.389.3.2
특히 비용을 최소화해 이윤을 극대화하는 아파트에서는 '비효율적'인 작가적 상상력이 건축비를 올리는 요인이어서 건설사도 건축가를 선호하지 않았다.

특히	특히/MAG
비용을	비용/NNG+을/JKO
최소화해	최소/NNG+화/XSN+하/XSV+아/EC
이윤을	이윤/NNG+을/JKO
극대화하는	극대/NNG+화/XSN+하/XSV+는/ETM
아파트에서는	아파트/NNG+에서/JKB+는/JX
'비효율적'인	'/SS+비/XPN+효율/NNG+적/XSN+'/SS+이/VCP+ㄴ/ETM
작가적	작가/NNG+적/XSN
상상력이	상상력/NNG+이/JKS
건축비를	건축비/NNG+를/JKO
올리는	올리/VV+는/ETM
요인이어서	요인/NNG+이/VCP+어서/EC
건설사도	건설사/NNG+도/JX
건축가를	건축가/NNG+를/JKO
선호하지	선호/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.389.3.3
하지만 최근 고가의 타운하우스와 주상복합아파트가 등장하면서 건축가들이 참여하는 사례가 점차 늘고 있다.

하지만	하지만/MAJ
최근	최근/NNG
고가의	고가/NNG+의/JKG
타운하우스와	타운하우스/NNG+와/JC
주상복합아파트가	주상/NNG+복합/NNG+아파트/NNG+가/JKS
등장하면서	등장/NNG+하/XSV+면서/EC
건축가들이	건축가/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
점차	점차/MAG
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.389.4.1
◆브랜드 아파트 시대에서 작가주의 아파트 시대로

◆브랜드	◆/SW+브랜드/NNG
아파트	아파트/NNG
시대에서	시대/NNG+에서/JKB
작가주의	작가주의/NNG
시대로	시대/NNG+로/JKB


# id : NWRW1800000022.389.5.1
1990년대까지만 하더라도 국내 주택은 건설사의 이름을 딴 주택이 대부분이었다.

1990년대까지만	1990/SN+년대/NNB+까지/JX+만/JX
하더라도	하/VV+더라도/EC
국내	국내/NNG
주택은	주택/NNG+은/JX
건설사의	건설사/NNG+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
주택이	주택/NNG+이/JKS
대부분이었다.	대/XPN+부분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.389.5.2
'현대건설' , '삼성건설' 등 건설사의 이름과 지역의 이름을 붙인 것이 아파트 이름이었다.

'현대건설'	'/SS+현대건설/NNP+'/SS
,	,/SP
'삼성건설'	'/SS+삼성건설/NNP+'/SS
등	등/NNB
건설사의	건설사/NNG+의/JKG
이름과	이름/NNG+과/JC
지역의	지역/NNG+의/JKG
이름을	이름/NNG+을/JKO
붙인	붙이/VV+ㄴ/ETM
것이	것/NNB+이/JKS
아파트	아파트/NNG
이름이었다.	이름/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.389.5.3
하지만 2000년대 들어 건설사들이 '브랜드'를 강조하면서 '브랜드 아파트' 시대가 열렸다.

하지만	하지만/MAJ
2000년대	2000/SN+년대/NNB
들어	들/VV+어/EC
건설사들이	건설사/NNG+들/XSN+이/JKS
'브랜드'를	'/SS+브랜드/NNG+'/SS+를/JKO
강조하면서	강조/NNG+하/XSV+면서/EC
'브랜드	'/SS+브랜드/NNG
아파트'	아파트/NNG+'/SS
시대가	시대/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.389.5.4
현대건설은 '힐스테이트', 삼성건설은 '래미안', GS건설은 '자이', 대림산업은 ' e-편한세상' 등의 브랜드가 등장했다.

현대건설은	현대건설/NNP+은/JX
'힐스테이트',	'/SS+힐스테이트/NNP+'/SS+,/SP
삼성건설은	삼성건설/NNP+은/JX
'래미안',	'/SS+래미안/NNP+'/SS+,/SP
GS건설은	GS건설/NNP+은/JX
'자이',	'/SS+자이/NNP+'/SS+,/SP
대림산업은	대림산업/NNP+은/JX
'	'/SS
e-편한세상'	e-편한세상/NNP+'/SS
등의	등/NNB+의/JKG
브랜드가	브랜드/NNG+가/JKS
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.6.1
최근에는 유명 건축가가 참여한 주택이 늘면서 마케팅에서 건설사 브랜드보다 오히려 건축가의 이름을 앞세우는 사례도 늘고 있다.

최근에는	최근/NNG+에/JKB+는/JX
유명	유명/NNG
건축가가	건축가/NNG+가/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
주택이	주택/NNG+이/JKS
늘면서	늘/VV+면서/EC
마케팅에서	마케팅/NNG+에서/JKB
건설사	건설사/NNG
브랜드보다	브랜드/NNG+보다/JKB
오히려	오히려/MAG
건축가의	건축가/NNG+의/JKG
이름을	이름/NNG+을/JKO
앞세우는	앞세우/VV+는/ETM
사례도	사례/NNG+도/JX
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.389.6.2
'작가주의 아파트' 시대가 열린 셈이다.

'작가주의	'/SS+작가주의/NNG
아파트'	아파트/NNG+'/SS
시대가	시대/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.389.6.3
지난 9월 현대산업개발이 수원 권선동에서 분양한 '권선 아이파크'는 세계적인 건축가 벤 판 베르켈(UN스튜디오)과 네덜란드의 대표적 조경설계가인 로드베이크 발리옹이 설계했다는 점을 전면 내세웠다.

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
현대산업개발이	현대산업개발/NNP+이/JKS
수원	수원/NNP
권선동에서	권선동/NNP+에서/JKB
