# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.390
metadata : {}


# id : NWRW1800000029.390.1.1
“납북자 - 국군포로 송환에 西獨방식 고려”

“납북자	“/SS+납북자/NNG
-	-/SO
국군포로	국군/NNG+포로/NNG
송환에	송환/NNG+에/JKB
西獨방식	西獨/SH+방식/NNG
고려”	고려/NNG+”/SS


# id : NWRW1800000029.390.2.1
류우익 통일 “통일재원 마련위해 곧 항아리 만들것”

류우익	류우익/NNP
통일	통일/NNG
“통일재원	“/SS+통일/NNG+재원/NNG
마련위해	마련/NNG+위하/VV+아/EC
곧	곧/MAG
항아리	항아리/NNG
만들것”	만들/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000029.390.3.1
류우익 통일부 장관(사진)은 21일 “비정치, 비군사 부문에서 교류·협력의 물꼬를 만들고 대화 통로를 여는 것이 유연한 접근”이라며 “조만간 유중근 대한적십자사 총재를 만나 (적십자회담을 통한) 이산가족상봉 문제를 협의할 생각”이라고 말했다.

류우익	류우익/NNP
통일부	통일부/NNG
장관(사진)은	장관/NNG+(/SS+사진/NNG+)/SS+은/JX
21일	21/SN+일/NNB
“비정치,	“/SS+비/XPN+정치/NNG+,/SP
비군사	비/XPN+군사/NNG
부문에서	부문/NNG+에서/JKB
교류·협력의	교류/NNG+·/SP+협력/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
만들고	만들/VV+고/EC
대화	대화/NNG
통로를	통로/NNG+를/JKO
여는	열/VV+는/ETM
것이	것/NNB+이/JKS
유연한	유연하/VA+ㄴ/ETM
접근”이라며	접근/NNG+”/SS+이/VCP+라며/EC
“조만간	“/SS+조만간/MAG
유중근	유중근/NNP
대한적십자사	대한적십자사/NNP
총재를	총재/NNG+를/JKO
만나	만나/VV+아/EC
(적십자회담을	(/SS+적십자/NNP+회담/NNG+을/JKO
통한)	통하/VV+ㄴ/ETM+)/SS
이산가족상봉	이산가족/NNG+상봉/NNG
문제를	문제/NNG+를/JKO
협의할	협의/NNG+하/XSV+ㄹ/ETM
생각”이라고	생각/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.3.2
류 장관은 서울 세종로 정부중앙청사에서 가진 기자간담회에서 이같이 밝히고 “여건이 허락한다면 우리가 먼저 이산가족상봉을 북쪽에 제안해도 좋다”고 말했다.

류	류/NNP
장관은	장관/NNG+은/JX
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사에서	정부중앙청사/NNP+에서/JKB
가진	가지/VV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
이같이	이/NP+같이/JKB
밝히고	밝히/VV+고/EC
“여건이	“/SS+여건/NNG+이/JKS
허락한다면	허락/NNG+하/XSV+ㄴ다면/EC
우리가	우리/NP+가/JKS
먼저	먼저/MAG
이산가족상봉을	이산가족/NNG+상봉/NNG+을/JKO
북쪽에	북쪽/NNG+에/JKB
제안해도	제안/NNG+하/XSV+아도/EC
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.4.1
