# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.22
metadata : {}


# id : NWRW1800000040.22.1.1
새마음금고 중앙회장 세무조사

새마음금고	새마음금고/NNP
중앙회장	중앙회장/NNG
세무조사	세무/NNG+조사/NNG


# id : NWRW1800000040.22.2.1
신종백 새마을금고중앙회 회장이 불법 사채업과 연루된 혐의로 국세청으로부터 세무조사를 받고 있는 것으로 확인됐다.

신종백	신종백/NNP
새마을금고중앙회	새마을금고중앙회/NNP
회장이	회장/NNG+이/JKS
불법	불법/NNG
사채업과	사채업/NNG+과/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
국세청으로부터	국세청/NNG+으로부터/JKB
세무조사를	세무/NNG+조사/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.22.3.1
25일 국세청과 새마을금고중앙회 관계자들의 말을 종합하면, 중부지방국세청은 최근 신 회장이 2004년부터 5년간 춘천 중부새마을금고 이사장으로 재직하면서 사채업자의 자금을 관리하면서 주고받은 돈 수십억원에 대해 세금을 탈루한 정황을 포착한 것으로 알려졌다.

25일	25/SN+일/NNB
국세청과	국세청/NNG+과/JC
새마을금고중앙회	새마을금고중앙회/NNP
관계자들의	관계자/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
중부지방국세청은	중부/NNG+지방/NNG+국세청/NNG+은/JX
최근	최근/MAG
신	신/NNP
회장이	회장/NNG+이/JKS
2004년부터	2004/SN+년/NNB+부터/JX
5년간	5/SN+년/NNB+간/XSN
춘천	춘천/NNP
중부새마을금고	중부/NNG+새마을금고/NNP
이사장으로	이사장/NNG+으로/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
사채업자의	사채업자/NNG+의/JKG
자금을	자금/NNG+을/JKO
관리하면서	관리/NNG+하/XSV+면서/EC
주고받은	주고받/VV+은/ETM
돈	돈/NNG
수십억원에	수십억/NR+원/NNB+에/JKB
대해	대하/VV+아/EC
세금을	세금/NNG+을/JKO
탈루한	탈루/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.22.4.1
국세청은 지난해 불법 사채업을 한 사업자 361명을 적발했으며, 올해 들어서도 최고 연 300%가 넘는 이자를 받으면서 관련 세금은 한 푼도 내지 않은 탈세 혐의자 100여명을 상대로 4월 초부터 전국적으로 대대적인 세무조사를 벌이고 있다.

국세청은	국세청/NNG+은/JX
지난해	지난해/NNG
불법	불법/NNG
사채업을	사채업/NNG+을/JKO
한	한/MMN
사업자	사업자/NNG
361명을	361/SN+명/NNB+을/JKO
적발했으며,	적발/NNG+하/XSV+았/EP+으며/EC+,/SP
올해	올해/NNG
들어서도	들/VV+어서/EC+도/JX
최고	최고/NNG
연	연/NNG
300%가	300/SN+%/SW+가/JKS
넘는	넘/VV+는/ETM
이자를	이자/NNG+를/JKO
받으면서	받/VV+으면서/EC
관련	관련/NNG
세금은	세금/NNG+은/JX
푼도	푼/NNB+도/JX
내지	내/VV+지/EC
않은	않/VX+은/ETM
