# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.205
metadata : {}


# id : NWRW1800000022.205.1.1
[울산]'울산 조선해양의 날' 26~28일 기념행사

[울산]'울산	[/SS+울산/NNP+]/SS+'/SS+울산/NNP
조선해양의	조선/NNG+해양/NNG+의/JKG
날'	날/NNG+'/SS
26~28일	26/SN+~/SO+28/SN+일/NNB
기념행사	기념행사/NNG


# id : NWRW1800000022.205.2.1
울산시는 올해로 3회째를 맞는 '울산 조선해양의 날' 기념행사를 오는 26~28일 갖기로 했다.

울산시는	울산시/NNP+는/JX
올해로	올해/NNG+로/JKB
3회째를	3/SN+회/NNB+째/XSN+를/JKO
맞는	맞/VV+는/ETM
'울산	'/SS+울산/NNP
조선해양의	조선/NNG+해양/NNG+의/JKG
날'	날/NNG+'/SS
기념행사를	기념행사/NNG+를/JKO
오는	오/VV+는/ETM
26~28일	26/SN+~/SO+28/SN+일/NNB
갖기로	갖/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.205.3.1
9일 시에 따르면 26일 오전 동구 현대호텔에서 지역 기관단체장과 조선해양업체 대표, 근로자 등 300여명이 참석한 가운데 기념식을 갖고, 조선해양산업 발전 유공자 표창과 관련 영상물을 상영한다.

9일	9/SN+일/NNB
시에	시/NNG+에/JKB
따르면	따르/VV+면/EC
26일	26/SN+일/NNB
오전	오전/NNG
동구	동구/NNP
현대호텔에서	현대호텔/NNP+에서/JKB
지역	지역/NNG
기관단체장과	기관/NNG+단체장/NNG+과/JC
조선해양업체	조선/NNG+해양/NNG+업체/NNG
대표,	대표/NNG+,/SP
근로자	근로자/NNG
등	등/NNB
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
기념식을	기념식/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
조선해양산업	조선/NNG+해양/NNG+산업/NNG
발전	발전/NNG
유공자	유공자/NNG
표창과	표창/NNG+과/JKB
관련	관련/NNG
영상물을	영상물/NNG+을/JKO
상영한다.	상영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.205.4.1
이어 같은 장소에서 업체와 학계 관계자 100여명이 '울산 조선해양산업 발전을 위한 국제 공동 워크숍'을 개최한다.

이어	이어/MAG
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
업체와	업체/NNG+와/JC
학계	학계/NNG
관계자	관계자/NNG
100여명이	100/SN+여/XSN+명/NNB+이/JKS
'울산	'/SS+울산/NNP
조선해양산업	조선/NNG+해양/NNG+산업/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국제	국제/NNG
공동	공동/NNG
워크숍'을	워크숍/NNG+'/SS+을/JKO
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.205.5.1
또 현대중공업에서 건조 중인 컨테이너선 승선과 아산기념 전시관 견학행사가 마련되고, 조선해양산업 발전 사진전시회, 사생대회 등도 열린다.

또	또/MAG
현대중공업에서	현대중공업/NNP+에서/JKB
건조	건조/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
컨테이너선	컨테이너선/NNG
승선과	승선/NNG+과/JC
아산기념	아산/NNP+기념/NNG
전시관	전시관/NNG
견학행사가	견학/NNG+행사/NNG+가/JKS
마련되고,	마련/NNG+되/XSV+고/EC+,/SP
조선해양산업	조선/NNG+해양/NNG+산업/NNG
발전	발전/NNG
사진전시회,	사진/NNG+전시회/NNG+,/SP
사생대회	사생/NNG+대회/NNG
등도	등/NNB+도/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.205.6.1
울산시는 지난 2007년 기업체와 근로자에게 자긍심을 심어주고 산업수도의 브랜드 가치를 높이기 위해 ▲화학 ▲조선·해양 ▲자동차 등 울산 주력산업의 날을 각각 제정했다.

울산시는	울산시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
기업체와	기업체/NNG+와/JC
근로자에게	근로자/NNG+에게/JKB
자긍심을	자긍심/NNG+을/JKO
심어주고	심/VV+어/EC+주/VX+고/EC
산업수도의	산업/NNG+수도/NNG+의/JKG
브랜드	브랜드/NNG
가치를	가치/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
▲화학	▲/SW+화학/NNG
▲조선·해양	▲/SW+조선/NNG+·/SP+해양/NNG
▲자동차	▲/SW+자동차/NNG
등	등/NNB
울산	울산/NNP
주력산업의	주력/NNG+산업/NNG+의/JKG
날을	날/NNG+을/JKO
각각	각각/MAG
제정했다.	제정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.205.6.2
