# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.197
metadata : {}


# id : NWRW1800000046.197.1.1
족집게 김세진 감독이라면 OK

족집게	족집게/NNG
김세진	김세진/NNP
감독이라면	감독/NNG+이/VCP+라면/EC
OK	OK/SL


# id : NWRW1800000046.197.2.1
고비마다 흐름바꾸는 작전… 현대캐피탈에 역전승

고비마다	고비/NNG+마다/JX
흐름바꾸는	흐름/NNG+바꾸/VV+는/ETM
작전…	작전/NNG+…/SE
현대캐피탈에	현대캐피탈/NNP+에/JKB
역전승	역전승/NNG


# id : NWRW1800000046.197.3.1
프로배구 작전타임 시간을 보면 각 사령탑의 스타일이 그대로 드러난다.

프로배구	프로/NNG+배구/NNG
작전타임	작전/NNG+타임/NNG
시간을	시간/NNG+을/JKO
보면	보/VV+면/EC
각	각/MMD
사령탑의	사령탑/NNG+의/JKG
스타일이	스타일/NNG+이/JKS
그대로	그대로/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.197.3.2
현대캐피탈의 김호철 감독은 마치 랩을 하듯 속사포로 주문 사항을 쏟아낸다.

현대캐피탈의	현대캐피탈/NNP+의/JKG
김호철	김호철/NNP
감독은	감독/NNG+은/JX
마치	마치/MAG
랩을	랩/NNG+을/JKO
하듯	하/VV+듯/EC
속사포로	속사포/NNG+로/JKB
주문	주문/NNG
사항을	사항/NNG+을/JKO
쏟아낸다.	쏟/VV+아/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.197.3.3
삼성화재 신치용 감독은 선수 하나를 찍어 "겉멋이 들어 있다"는 등의 충격 요법을 줄 때가 잦다.

삼성화재	삼성화재/NNP
신치용	신치용/NNP
감독은	감독/NNG+은/JX
선수	선수/NNG
하나를	하나/NR+를/JKO
찍어	찍/VV+어/EC
"겉멋이	"/SS+겉멋/NNG+이/JKS
들어	들/VV+어/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
충격	충격/NNG
요법을	요법/NNG+을/JKO
줄	주/VV+ㄹ/ETM
때가	때/NNG+가/JKS
잦다.	잦/VA+다/EF+./SF


# id : NWRW1800000046.197.4.1
올해로 프로 사령탑 두 번째 시즌을 맞는 김세진 OK저축은행 감독은 좀처럼 언성을 높이는 법이 없는 '대인배' 스타일이다.

올해로	올해/NNG+로/JKB
프로	프로/NNG
사령탑	사령탑/NNG
두	두/MMN
번째	번/NNB+째/XSN
시즌을	시즌/NNG+을/JKO
맞는	맞/VV+는/ETM
김세진	김세진/NNP
OK저축은행	OK저축은행/NNP
감독은	감독/NNG+은/JX
좀처럼	좀처럼/MAG
언성을	언성/NNG+을/JKO
높이는	높이/VV+는/ETM
법이	법/NNB+이/JKS
없는	없/VA+는/ETM
'대인배'	'/SS+대인배/NNG+'/SS
스타일이다.	스타일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.197.4.2
조곤조곤 자상한 목소리로 선수들에게 전달하는 지시 사항엔 날카로운 전략이 숨어 있다.

조곤조곤	조곤조곤/MAG
자상한	자상하/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
선수들에게	선수/NNG+들/XSN+에게/JKB
전달하는	전달/NNG+하/XSV+는/ETM
지시	지시/NNG
사항엔	사항/NNG+에/JKB+ㄴ/JX
날카로운	날카롭/VA+ㄴ/ETM
전략이	전략/NNG+이/JKS
숨어	숨/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.197.5.1
4일 안산상록수체육관에서 열린 프로배구 V리그 남자부 OK저축은행―현대캐피탈전.

4일	4/SN+일/NNB
안산상록수체육관에서	안산상록수체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
프로배구	프로/NNG+배구/NNG
V리그	V/SL+리그/NNG
남자부	남자부/NNG
OK저축은행―현대캐피탈전.	OK저축은행/NNP+―/SS+현대캐피탈전/NNG+./SF


# id : NWRW1800000046.197.5.2
5세트 12―12의 초접전 상황에서 작전타임을 부른 김세진 감독은 자신이 예상한 현대캐피탈의 외국인 선수 케빈의 공격 방향을 선수들에게 확신에 찬 목소리로 알려줬다.

5세트	5/SN+세트/NNG
12―12의	12/SN+―/SS+12/SN+의/JKG
초접전	초/XPN+접전/NNG
상황에서	상황/NNG+에서/JKB
작전타임을	작전/NNG+타임/NNG+을/JKO
부른	부르/VV+ㄴ/ETM
김세진	김세진/NNP
감독은	감독/NNG+은/JX
자신이	자신/NNG+이/JKS
예상한	예상/NNG+하/XSV+ㄴ/ETM
현대캐피탈의	현대캐피탈/NNP+의/JKG
외국인	외국인/NNG
선수	선수/NNG
케빈의	케빈/NNP+의/JKG
공격	공격/NNG
방향을	방향/NNG+을/JKO
선수들에게	선수/NNG+들/XSN+에게/JKB
확신에	확신/NNG+에/JKB
찬	차/VV+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
알려줬다.	알리/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.197.5.3
"케빈은 지금 직선으로 틀어 때릴 자신감이 없어.

"케빈은	"/SS+케빈/NNP+은/JX
지금	지금/MAG
직선으로	직선/NNG+으로/JKB
틀어	틀/VV+어/EC
때릴	때리/VV+ㄹ/ETM
자신감이	자신감/NNG+이/JKS
없어.	없/VA+어/EF+./SF


# id : NWRW1800000046.197.5.4
대각선 방향으로 막으면 돼."

대각선	대각선/NNG
방향으로	방향/NNG+으로/JKB
막으면	막/VV+으면/EC
돼."	되/VV+어/EF+./SF+"/SS


# id : NWRW1800000046.197.6.1
공은 예상대로 케빈을 향했고, 시몬을 비롯한 OK저축은행의 블로커들은 대각선 방향으로 손을 뻗었다.

공은	공/NNG+은/JX
예상대로	예상/NNG+대로/JX
케빈을	케빈/NNP+을/JKO
향했고,	향하/VV+았/EP+고/EC+,/SP
시몬을	시몬/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
OK저축은행의	OK저축은행/NNP+의/JKG
블로커들은	블로커/NNG+들/XSN+은/JX
대각선	대각선/NNG
방향으로	방향/NNG+으로/JKB
손을	손/NNG+을/JKO
뻗었다.	뻗/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.197.6.2
당황한 케빈의 공격은 코트 밖으로 벗어났다.

당황한	당황/NNG+하/XSV+ㄴ/ETM
케빈의	케빈/NNP+의/JKG
공격은	공격/NNG+은/JX
코트	코트/NNG
밖으로	밖/NNG+으로/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.197.6.3
13―12. OK저축은행은 이후에도 케빈을 효과적으로 봉쇄하며 3대2(25―17 23―25 21―25 25―18 16―14)의 짜릿한 승리를 거뒀다.

13―12.	13/SN+―/SS+12/SN+./SF
OK저축은행은	OK저축은행/NNP+은/JX
이후에도	이후/NNG+에/JKB+도/JX
케빈을	케빈/NNP+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
봉쇄하며	봉쇄/NNG+하/XSV+며/EC
3대2(25―17	3/SN+대/NNB+2/SN+(/SS+25/SN+―/SS+17/SN
23―25	23/SN+―/SS+25/SN
21―25	21/SN+―/SS+25/SN
25―18	25/SN+―/SS+18/SN
16―14)의	16/SN+―/SS+14/SN+)/SS+의/JKG
짜릿한	짜릿하/VA+ㄴ/ETM
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.197.6.4
OK저축은행은 승점 37(14승6패)로 2위를 유지했고, 5위 현대캐피탈은 4연패(連敗)에 빠졌다.

OK저축은행은	OK저축은행/NNP+은/JX
승점	승점/NNG
37(14승6패)로	37/SN+(/SS+14/SN+승/NNB+6/SN+패/NNB+)/SS+로/JKB
2위를	2/SN+위/NNB+를/JKO
유지했고,	유지/NNG+하/XSV+았/EP+고/EC+,/SP
5위	5/SN+위/NNB
현대캐피탈은	현대캐피탈/NNP+은/JX
4연패(連敗)에	4/SN+연패/NNG+(/SS+連敗/SH+)/SS+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.197.7.1
31점을 올린 시몬의 변함없는 활약에 세터 곽명우와 레프트 송희채의 분전이 돋보였다.

31점을	31/SN+점/NNB+을/JKO
올린	올리/VV+ㄴ/ETM
시몬의	시몬/NNP+의/JKG
변함없는	변함없/VA+는/ETM
활약에	활약/NNG+에/JKB
세터	세터/NNG
곽명우와	곽명우/NNP+와/JC
레프트	레프트/NNG
송희채의	송희채/NNP+의/JKG
분전이	분전/NNG+이/JKS
돋보였다.	돋보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.197.7.2
김세진 감독은 이날 세트스코어 1―2로 끌려가자 백업 세터인 곽명우를 기용했다.

김세진	김세진/NNP
감독은	감독/NNG+은/JX
이날	이날/NNG
세트스코어	세트/NNG+스코어/NNG
1―2로	1/SN+―/SS+2/SN+로/JKB
끌려가자	끌려가/VV+자/EC
백업	백업/NNG
세터인	세터/NNG+이/VCP+ㄴ/ETM
곽명우를	곽명우/NNP+를/JKO
기용했다.	기용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.197.7.3
교체 작전은 멋지게 들어맞았다.

교체	교체/NNG
작전은	작전/NNG+은/JX
멋지게	멋지/VA+게/EC
들어맞았다.	들어맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.197.7.4
곽명우의 자신감 있는 토스에 OK저축은행의 공격은 불을 뿜었다.

곽명우의	곽명우/NNP+의/JKG
자신감	자신감/NNG
있는	있/VA+는/ETM
토스에	토스/NNG+에/JKB
OK저축은행의	OK저축은행/NNP+의/JKG
공격은	공격/NNG+은/JX
불을	불/NNG+을/JKO
뿜었다.	뿜/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.197.7.5
5세트 13―12로 앞선 상황에서 상대 블로킹이 시몬에 쏠린 사이 강영준에게 내줘 득점을 일궈낸 '배짱 토스'가 명장면이었다.

5세트	5/SN+세트/NNG
13―12로	13/SN+―/SS+12/SN+로/JKB
앞선	앞서/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
상대	상대/NNG
블로킹이	블로킹/NNG+이/JKS
시몬에	시몬/NNP+에/JKB
쏠린	쏠리/VV+ㄴ/ETM
사이	사이/NNG
강영준에게	강영준/NNP+에게/JKB
내줘	내주/VV+어/EC
득점을	득점/NNG+을/JKO
일궈낸	일구/VV+어/EC+내/VX+ㄴ/ETM
'배짱	'/SS+배짱/NNG
토스'가	토스/NNG+'/SS+가/JKS
명장면이었다.	명장면/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.197.8.1
수비형 레프트인 송희채는 이날 공격에서도 활약하며 14점(성공률 68.75%)을 올렸다.

수비형	수비/NNG+형/XSN
레프트인	레프트/NNG+이/VCP+ㄴ/ETM
송희채는	송희채/NNP+는/JX
이날	이날/NNG
공격에서도	공격/NNG+에서/JKB+도/JX
활약하며	활약/NNG+하/XSV+며/EC
14점(성공률	14/SN+점/NNB+(/SS+성공/NNG+률/XSN
68.75%)을	68/SN+./SP+75/SN+%/SW+)/SS+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.197.8.2
고비마다 결정적인 블로킹(3득점)과 디그(9개)를 선보인 송희채는 "감독님이 시몬 뒤로 돌아가는 공격을 많이 주문했는데 오늘 효과를 봤다"고 말했다.

고비마다	고비/NNG+마다/JX
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
블로킹(3득점)과	블로킹/NNG+(/SS+3/SN+득점/NNG+)/SS+과/JC
디그(9개)를	디그/NNG+(/SS+9/SN+개/NNB+)/SS+를/JKO
선보인	선보이/VV+ㄴ/ETM
송희채는	송희채/NNP+는/JX
"감독님이	"/SS+감독/NNG+님/XSN+이/JKS
시몬	시몬/NNP
뒤로	뒤/NNG+로/JKB
돌아가는	돌아가/VV+는/ETM
공격을	공격/NNG+을/JKO
많이	많이/MAG
주문했는데	주문/NNG+하/XSV+았/EP+는데/EC
오늘	오늘/MAG
효과를	효과/NNG+를/JKO
봤다"고	보/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.197.9.1
여자부에선 한국도로공사가 IBK기업은행을 3대0(27―25 25―15 25―19)으로 제압하고 승점 32(11승6패)로 선두로 올라섰다.

여자부에선	여자부/NNG+에서/JKB+ㄴ/JX
한국도로공사가	한국도로공사/NNP+가/JKS
IBK기업은행을	IBK기업은행/NNP+을/JKO
3대0(27―25	3/SN+대/NNB+0/SN+(/SS+27/SN+―/SS+25/SN
25―15	25/SN+―/SS+15/SN
25―19)으로	25/SN+―/SS+19/SN+)/SS+으로/JKB
제압하고	제압/NNG+하/XSV+고/EC
승점	승점/NNG
32(11승6패)로	32/SN+(/SS+11/SN+승/NNB+6/SN+패/NNB+)/SS+로/JKB
선두로	선두/NNG+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


