# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.387
metadata : {}


# id : NWRW1800000026.387.1.1
[한류 중심 고양] 시민 응원 안고 '고향 고양' 알린다;고양 대표팀 KB국민은행축구단·대교 여자축구단

[한류	[/SS+한류/NNG
중심	중심/NNG
고양]	고양/NNP+]/SS
시민	시민/NNG
응원	응원/NNG
안고	안/VV+고/EC
'고향	'/SS+고향/NNG
고양'	고양/NNP+'/SS
알린다;고양	알리/VV+ㄴ다/EF+;/SP+고양/NNP
대표팀	대표/NNG+팀/NNG
KB국민은행축구단·대교	KB국민은행축구단/NNP+·/SP+대교/NNP
여자축구단	여자/NNG+축구단/NNG


# id : NWRW1800000026.387.2.1
2010 광저우 아시안게임에 출전한 우리나라 선수단에는 고양시청 소속 9명도 포함됐다.

2010	2010/SN
광저우	광저우/NNP
아시안게임에	아시안/NNP+게임/NNG+에/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
우리나라	우리나라/NNG
선수단에는	선수단/NNG+에/JKB+는/JX
고양시청	고양시청/NNP
소속	소속/NNG
9명도	9/SN+명/NNB+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.387.2.2
역도의 간판인 장미란 선수는 금메달을 목에 걸어 올림픽, 세계선수권, 아시안게임을 석권하는 그랜드슬램을 달성했다.

역도의	역도/NNG+의/JKG
간판인	간판/NNG+이/VCP+ㄴ/ETM
장미란	장미란/NNP
선수는	선수/NNG+는/JX
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸어	걸/VV+어/EC
올림픽,	올림픽/NNG+,/SP
세계선수권,	세계/NNG+선수/NNG+권/XSN+,/SP
아시안게임을	아시안/NNP+게임/NNG+을/JKO
석권하는	석권/NNG+하/XSV+는/ETM
그랜드슬램을	그랜드슬램/NNG+을/JKO
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.2.3
이호석·조해리 선수가 뛰는 쇼트트랙 등을 포함해 고양시는 9개 종목, 74명으로 구성된 운동부를 운영하고 있다.

이호석·조해리	이호석/NNP+·/SP+조해리/NNP
선수가	선수/NNG+가/JKS
뛰는	뛰/VV+는/ETM
쇼트트랙	쇼트트랙/NNG
등을	등/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
고양시는	고양시/NNP+는/JX
9개	9/SN+개/NNB
종목,	종목/NNG+,/SP
74명으로	74/SN+명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
운동부를	운동부/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.387.2.4
또 실업축구의 강자인 KB국민은행 축구단, 여자축구를 이끄는 대교 여자축구단을 유치했다.

또	또/MAG
실업축구의	실업/NNG+축구/NNG+의/JKG
강자인	강자/NNG+이/VCP+ㄴ/ETM
KB국민은행	KB국민은행/NNP
축구단,	축구단/NNG+,/SP
여자축구를	여자/NNG+축구/NNG+를/JKO
이끄는	이끌/VV+는/ETM
대교	대교/NNP
여자축구단을	여자/NNG+축구단/NNG+을/JKO
유치했다.	유치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.2.5
이들은 연고지인 고양시를 널리 알리는 한편 지역사회 공헌 활동에도 적극적으로 나서고 있다.

이들은	이/NP+들/XSN+은/JX
연고지인	연고지/NNG+이/VCP+ㄴ/ETM
고양시를	고양시/NNP+를/JKO
널리	널리/MAG
알리는	알리/VV+는/ETM
한편	한편/MAG
지역사회	지역/NNG+사회/NNG
공헌	공헌/NNG
활동에도	활동/NNG+에/JKB+도/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.387.3.1
◆KB국민은행 축구단

◆KB국민은행	◆/SW+KB국민은행/NNP
축구단	축구단/NNG


# id : NWRW1800000026.387.4.1
KB국민은행 축구단(감독 이우형)은 1972년에 창단돼 오랜 역사를 자랑한다.

KB국민은행	KB국민은행/NNP
축구단(감독	축구단/NNG+(/SS+감독/NNG
이우형)은	이우형/NNP+)/SS+은/JX
1972년에	1972/SN+년/NNB+에/JKB
창단돼	창단/NNG+되/XSV+어/EC
오랜	오랜/MMA
역사를	역사/NNG+를/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.387.4.2
1997년 IMF사태로 해체되었으나 2000년에 재창단했다.

1997년	1997/SN+년/NNB
IMF사태로	IMF/SL+사태/NNG+로/JKB
해체되었으나	해체/NNG+되/XSV+었/EP+으나/EC
2000년에	2000/SN+년/NNB+에/JKB
재창단했다.	재/XPN+창단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.4.3
특히 내셔널리그 (N-리그)가 출범한 2003년 후반기부터 고양종합운동장을 홈구장으로 쓰고 있다.

특히	특히/MAG
내셔널리그	내셔널리그/NNG
(N-리그)가	(/SS+N/SL+-/SO+리그/NNG+)/SS+가/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
2003년	2003/SN+년/NNB
후반기부터	후반기/NNG+부터/JX
고양종합운동장을	고양종합운동장/NNP+을/JKO
홈구장으로	홈구장/NNG+으로/JKB
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.387.4.4
2003, 2004, 2006년 N-리그 우승을 차지해 명문 구단의 입지를 굳혔다.

2003,	2003/SN+,/SP
2004,	2004/SN+,/SP
2006년	2006/SN+년/NNB
N-리그	N/SL+-/SO+리그/NNG
우승을	우승/NNG+을/JKO
차지해	차지/NNG+하/XSV+아/EC
명문	명문/NNG
구단의	구단/NNG+의/JKG
입지를	입지/NNG+를/JKO
굳혔다.	굳히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.387.4.5
올해도 전ㆍ후기 통합 2위를 차지했다.

올해도	올해/NNG+도/JX
전ㆍ후기	전ㆍ후기/NNG
통합	통합/NNG
2위를	2/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.5.1
KB국민은행은 활발하게 연고지 마케팅을 펼치고 있다.

KB국민은행은	KB국민은행/NNP+은/JX
활발하게	활발하/VA+게/EC
연고지	연고지/NNG
마케팅을	마케팅/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.387.5.2
고양시 28개 KB국민은행 영업점, 각 구청과 주민센터를 통해 경기 일정을 알린다.

고양시	고양시/NNP
28개	28/SN+개/NNB
KB국민은행	KB국민은행/NNP
영업점,	영업점/NNG+,/SP
각	각/MMD
구청과	구청/NNG+과/JC
주민센터를	주민/NNG+센터/NNG+를/JKO
통해	통하/VV+아/EC
경기	경기/NNG
일정을	일정/NNG+을/JKO
알린다.	알리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.387.5.3
홈 경기를 찾은 시민들을 대상으로 풍성한 이벤트도 펼친다.

홈	홈/NNG
경기를	경기/NNG+를/JKO
찾은	찾/VV+은/ETM
시민들을	시민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
풍성한	풍성/NNG+하/XSA+ㄴ/ETM
이벤트도	이벤트/NNG+도/JX
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.387.5.4
지역 어린이들을 위해 지역아동센터에 축구공을 지원하고 있으며, 선수들과 동시에 입장하는 에스코트도 참여해 즐거운 추억을 만들어주고 있다.

지역	지역/NNG
어린이들을	어린이/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
지역아동센터에	지역/NNG+아동/NNG+센터/NNG+에/JKB
축구공을	축구공/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
선수들과	선수/NNG+들/XSN+과/JKB
동시에	동시/NNG+에/JKB
입장하는	입장/NNG+하/XSV+는/ETM
에스코트도	에스코트/NNG+도/JX
참여해	참여/NNG+하/XSV+아/EC
즐거운	즐겁/VA+ㄴ/ETM
추억을	추억/NNG+을/JKO
만들어주고	만들/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.387.6.1
사회공헌 활동도 열심이다.

사회공헌	사회/NNG+공헌/NNG
활동도	활동/NNG+도/JX
열심이다.	열심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.387.6.2
KB국민은행은 고양시 사업복지사업의 활성화를 위하여 복지차량 및 교복을 지원하는 등 2006년부터 꾸준히 후원하고 있다.

KB국민은행은	KB국민은행/NNP+은/JX
고양시	고양시/NNP
사업복지사업의	사업/NNG+복지/NNG+사업/NNG+의/JKG
활성화를	활성/NNG+화/XSN+를/JKO
위하여	위하/VV+아/EC
복지차량	복지/NNG+차량/NNG
및	및/MAG
교복을	교복/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
등	등/NNB
2006년부터	2006/SN+년/NNB+부터/JX
꾸준히	꾸준히/MAG
후원하고	후원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.387.6.3
