# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.4
metadata : {}


# id : NWRW1800000022.4.1.1
한국증시는 지금 '외국인 장세';5일 연속 순매수… 초단기 투자 아닌 중장기 펀드

한국증시는	한국/NNP+증시/NNG+는/JX
지금	지금/MAG
'외국인	'/SS+외국인/NNG
장세';5일	장세/NNG+'/SS+;/SP+5/SN+일/NNB
연속	연속/NNG
순매수…	순/MMA+매수/NNG+…/SE
초단기	초/XPN+단기/NNG
투자	투자/NNG
아닌	아니/VCN+ㄴ/ETM
중장기	중장기/NNG
펀드	펀드/NNG


# id : NWRW1800000022.4.2.1
6일 외국인은 국내증시에서 4000억원 가까이 순매수했다.

6일	6/SN+일/NNB
외국인은	외국인/NNG+은/JX
국내증시에서	국내/NNG+증시/NNG+에서/JKB
4000억원	4000/SN+억/NR+원/NNB
가까이	가까이/MAG
순매수했다.	순/MMA+매수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.4.2.2
작년 12월 29일 이후 5거래일 연속 순매수다.

작년	작년/NNG
12월	12/SN+월/NNB
29일	29/SN+일/NNB
이후	이후/NNG
5거래일	5/SN+거래일/NNG
연속	연속/NNG
순매수다.	순/MMA+매수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.4.2.3
외국인이 5일 연속 순매수를 보인 것은 2007년 4월 이후 처음이다.

외국인이	외국인/NNG+이/JKS
5일	5/SN+일/NNB
연속	연속/NNG
순매수를	순/MMA+매수/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것은	것/NNB+은/JX
2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.4.2.4
이런 외국인 '사자' 세는 작년 11월 말부터 나타나고 있다.

이런	이런/MMD
외국인	외국인/NNG
'사자'	'/SS+사/VV+자/EC+'/SS
세는	세/NNG+는/JX
작년	작년/NNG
11월	11/SN+월/NNB
말부터	말/NNB+부터/JX
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.4.2.5
이에 따라 작년 36조원을 순매도하면서 주가하락을 주도했던 외국인이 본격적으로 매수에 나선 것 아니냐는 희망 섞인 전망도 나오고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
작년	작년/NNG
36조원을	36/SN+조/NR+원/NNB+을/JKO
순매도하면서	순/MMA+매도/NNG+하/XSV+면서/EC
주가하락을	주가/NNG+하락/NNG+을/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
외국인이	외국인/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
매수에	매수/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
희망	희망/NNG
섞인	섞이/VV+ㄴ/ETM
전망도	전망/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.4.3.1
외국인의 최근 변화에 대해 외국계 증권사 및 자산운용사 전문가들은 '각국의 구제금융 확대·원화가치 상승·싸진 주가' 등 투자에 유리한 환경이 조성되면서 외국인들이 들어오고 있는 것으로 분석했다.

외국인의	외국인/NNG+의/JKG
최근	최근/NNG
변화에	변화/NNG+에/JKB
대해	대하/VV+아/EC
외국계	외국/NNG+계/XSN
증권사	증권사/NNG
및	및/MAG
자산운용사	자산/NNG+운용사/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
'각국의	'/SS+각국/NNG+의/JKG
구제금융	구제/NNG+금융/NNG
확대·원화가치	확대/NNG+·/SP+원화/NNG+가치/NNG
상승·싸진	상승/NNG+·/SP+싸/VA+아/EC+지/VX+ㄴ/ETM
주가'	주가/NNG+'/SS
등	등/NNB
투자에	투자/NNG+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
환경이	환경/NNG+이/JKS
조성되면서	조성/NNG+되/XSV+면서/EC
외국인들이	외국인/NNG+들/XSN+이/JKS
들어오고	들어오/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.4.3.2
자금성격도 초단기로 투자하는 헤지펀드가 아니라 중장기적인 뮤추얼펀드라고 밝혔다.

자금성격도	자금/NNG+성격/NNG+도/JX
초단기로	초/XPN+단기/NNG+로/JKB
투자하는	투자/NNG+하/XSV+는/ETM
헤지펀드가	헤지/NNG+펀드/NNG+가/JKC
아니라	아니/VCN+라/EC
중장기적인	중장기/NNG+적/XSN+이/VCP+ㄴ/ETM
뮤추얼펀드라고	뮤추얼/NNG+펀드/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.4.3.3
하지만 금융위기가 아직 끝나지 않았기 때문에 외국인들이 다시 빠져나갈 가능성은 얼마든지 남아 있다고 평가했다.

하지만	하지만/MAJ
금융위기가	금융/NNG+위기/NNG+가/JKS
아직	아직/MAG
끝나지	끝나/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
외국인들이	외국인/NNG+들/XSN+이/JKS
다시	다시/MAG
빠져나갈	빠져나가/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
얼마든지	얼마/NNG+든지/JX
남아	남/VV+아/EC
있다고	있/VX+다고/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.4.4.1
◆어느 종목을 많이 사나?

◆어느	◆/SW+어느/MMD
종목을	종목/NNG+을/JKO
많이	많이/MAG
사나?	살/VV+나/EF+?/SF


# id : NWRW1800000022.4.5.1
