# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.102
metadata : {}


# id : NWRW1800000036.102.1.1
‘반전·복지’ 미 자유주의 정치인의 상징

‘반전·복지’	‘/SS+반전/NNG+·/SP+복지/NNG+’/SS
미	미/NNP
자유주의	자유주의/NNG
정치인의	정치인/NNG+의/JKG
상징	상징/NNG


# id : NWRW1800000036.102.2.1
[한겨레] 조지 맥거번 상원의원 별세

[한겨레]	[/SS+한겨레/NNP+]/SS
조지	조지/NNP
맥거번	맥거번/NNP
상원의원	상원/NNG+의원/NNG
별세	별세/NNG


# id : NWRW1800000036.102.3.1
“미국을 사랑하지 않으면 떠나라고 말하는 이들의 주장을 거부해야 한다.

“미국을	“/SS+미국/NNP+을/JKO
사랑하지	사랑/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
떠나라고	떠나/VV+라고/EC
말하는	말/NNG+하/XSV+는/ETM
이들의	이/NNB+들/XSN+의/JKG
주장을	주장/NNG+을/JKO
거부해야	거부/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.102.3.2
미국을 바꿔서 더 사랑할 수 있게 해야 한다고 응답해야 한다.”

미국을	미국/NNP+을/JKO
바꿔서	바꾸/VV+어서/EC
더	더/MAG
사랑할	사랑/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해야	하/VX+아야/EC
한다고	하/VX+ㄴ다고/EC
응답해야	응답/NNG+하/XSV+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000036.102.4.1
현대 미국 자유주의 정치인의 상징인 조지 맥거번(사진) 전 민주당 대선 후보가 21일(현지시각) 고향인 사우스다코타 수폴스의 자택에서 노환으로 별세했다.

현대	현대/NNG
미국	미국/NNP
자유주의	자유주의/NNG
정치인의	정치인/NNG+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
조지	조지/NNP
맥거번(사진)	맥거번/NNP+(/SS+사진/NNG+)/SS
전	전/MMD
민주당	민주당/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
21일(현지시각)	21/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
고향인	고향/NNG+이/VCP+ㄴ/ETM
사우스다코타	사우스다코타/NNP
수폴스의	수폴스/NNP+의/JKG
자택에서	자택/NNG+에서/JKB
노환으로	노환/NNG+으로/JKB
별세했다.	별세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.102.4.2
향년 90.

향년	향년/NNG
90.	90/SN+./SF


# id : NWRW1800000036.102.5.1
1972년 대선에 출마했던 맥거번은 ‘베트남전 즉각 철군, 전쟁거부자 사면, 징병제 폐지’ ‘모든 미국 시민의 일자리 보장, 빈곤선 이상의 가족수입 보장’ 등 미국의 기존 양대 정당 사상 가장 진보적인 정강을 채택한 대표적 진보 정치인이었다.

1972년	1972/SN+년/NNB
대선에	대선/NNG+에/JKB
출마했던	출마/NNG+하/XSV+았/EP+던/ETM
맥거번은	맥거번/NNP+은/JX
‘베트남전	‘/SS+베트남전/NNG
즉각	즉각/MAG
철군,	철군/NNG+,/SP
전쟁거부자	전쟁/NNG+거부자/NNG
사면,	사면/NNG+,/SP
징병제	징병/NNG+제/XSN
폐지’	폐지/NNG+’/SS
‘모든	‘/SS+모든/MMN
미국	미국/NNP
시민의	시민/NNG+의/JKG
일자리	일자리/NNG
보장,	보장/NNG+,/SP
빈곤선	빈곤선/NNG
이상의	이상/NNG+의/JKG
가족수입	가족/NNG+수입/NNG
보장’	보장/NNG+’/SS
등	등/NNB
미국의	미국/NNP+의/JKG
기존	기존/NNG
양대	양대/MMA
정당	정당/NNG
사상	사상/NNG
가장	가장/MAG
진보적인	진보/NNG+적/XSN+이/VCP+ㄴ/ETM
정강을	정강/NNG+을/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
대표적	대표/NNG+적/XSN
진보	진보/NNG
정치인이었다.	정치인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.102.5.2
하지만 그는 매사추세츠와 워싱턴디시에서만 17명의 선거인단을 얻는 데 그친 반면, 리처드 닉슨 공화당 후보가 나머지 주에서 520명의 선거인단을 확보하면서 미국 대선 사상 최악의 패배를 당했다.

하지만	하지만/MAJ
그는	그/NP+는/JX
매사추세츠와	매사추세츠/NNP+와/JC
워싱턴디시에서만	워싱턴디시/NNP+에서/JKB+만/JX
17명의	17/SN+명/NNB+의/JKG
선거인단을	선거인단/NNG+을/JKO
얻는	얻/VV+는/ETM
데	데/NNB
그친	그치/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
리처드	리처드/NNP
