# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.7
metadata : {}


# id : NWRW1800000046.7.1.1
[깨알지식] 무함마드 그림·동상… 왜 이슬람선 금기일까?

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
무함마드	무함마드/NNP
그림·동상…	그림/NNG+·/SP+동상/NNG+…/SE
왜	왜/MAG
이슬람선	이슬람/NNG+서/JKB+ㄴ/JX
금기일까?	금기/NNG+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000046.7.2.1
이슬람 선지자 무함마드를 등장시킨 유럽의 시사 풍자만화에 이슬람권이 강력하게 반발한 까닭은, 이슬람교가 신이나 선지자를 그림이나 동상 등으로 표현하는 것을 엄격히 금지하고 있기 때문이라는 분석이 있다.

이슬람	이슬람/NNG
선지자	선지자/NNG
무함마드를	무함마드/NNP+를/JKO
등장시킨	등장/NNG+시키/XSV+ㄴ/ETM
유럽의	유럽/NNP+의/JKG
시사	시사/NNG
풍자만화에	풍자만화/NNG+에/JKB
이슬람권이	이슬람/NNG+권/XSN+이/JKS
강력하게	강력/NNG+하/XSA+게/EC
반발한	반발/NNG+하/XSV+ㄴ/ETM
까닭은,	까닭/NNG+은/JX+,/SP
이슬람교가	이슬람교/NNG+가/JKS
신이나	신/NNG+이나/JC
선지자를	선지자/NNG+를/JKO
그림이나	그림/NNG+이나/JC
동상	동상/NNG
등으로	등/NNB+으로/JKB
표현하는	표현/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
엄격히	엄격히/MAG
금지하고	금지/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.7.2.2
실제로 성화나 성상을 활발하게 만드는 천주교, 탱화와 불상이 많은 불교 등과 달리, 이슬람교에선 그림은커녕 동상·조각 등도 좀처럼 볼 수 없다.

실제로	실제로/MAG
성화나	성화/NNG+나/JC
성상을	성상/NNG+을/JKO
활발하게	활발하/VA+게/EC
만드는	만들/VV+는/ETM
천주교,	천주교/NNG+,/SP
탱화와	탱화/NNG+와/JC
불상이	불상/NNG+이/JKS
많은	많/VA+은/ETM
불교	불교/NNG
등과	등/NNB+과/JKB
달리,	달리/MAG+,/SP
이슬람교에선	이슬람교/NNG+에서/JKB+ㄴ/JX
그림은커녕	그림/NNG+은커녕/JX
동상·조각	동상/NNG+·/SP+조각/NNG
등도	등/NNB+도/JX
좀처럼	좀처럼/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.7.2.3
왜 이슬람은 이런 것들을 금기시하는 걸까?

왜	왜/MAG
이슬람은	이슬람/NNG+은/JX
이런	이런/MMD
것들을	것/NNB+들/XSN+을/JKO
금기시하는	금기/NNG+시/XSN+하/XSV+는/ETM
걸까?	거/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000046.7.3.1
이슬람교는 인간의 손으로 신이나 선지자를 그리거나 조각하는 일체의 행위를 중대 죄악인 우상숭배로 간주하기 때문이다.

이슬람교는	이슬람교/NNG+는/JX
인간의	인간/NNG+의/JKG
손으로	손/NNG+으로/JKB
신이나	신/NNG+이나/JC
선지자를	선지자/NNG+를/JKO
그리거나	그리/VV+거나/EC
조각하는	조각/NNG+하/XSV+는/ETM
일체의	일체/NNG+의/JKG
행위를	행위/NNG+를/JKO
중대	중대/NNG
죄악인	죄악/NNG+이/VCP+ㄴ/ETM
우상숭배로	우상/NNG+숭배/NNG+로/JKB
간주하기	간주/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.7.4.1
선지자 무함마드가 유일신 알라의 가르침을 전하던 7세기 무렵 아라비아 반도 일대에는 동상과 그림 등으로 신과 사도를 형상화한 다신교가 많았다.

선지자	선지자/NNG
무함마드가	무함마드/NNP+가/JKS
유일신	유일신/NNG
알라의	알라/NNP+의/JKG
가르침을	가르침/NNG+을/JKO
전하던	전하/VV+던/ETM
7세기	7/SN+세기/NNG
무렵	무렵/NNB
아라비아	아라비아/NNP
반도	반도/NNG
일대에는	일대/NNG+에/JKB+는/JX
동상과	동상/NNG+과/JC
그림	그림/NNG
등으로	등/NNB+으로/JKB
신과	신/NNG+과/JC
사도를	사도/NNG+를/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
다신교가	다신교/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.7.4.2
무함마드는 아무리 신과 선지자에 대한 존경이 담겨 있다고 하더라도, 동상이나 그림을 만드는 행위 자체가 신앙의 대상과는 다른 별도의 인격을 생성시켜 또 다른 숭배 대상을 만드는 것으로 여겨 엄금했다.

무함마드는	무함마드/NNP+는/JX
아무리	아무리/MAG
신과	신/NNG+과/JC
선지자에	선지자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
존경이	존경/NNG+이/JKS
담겨	담기/VV+어/EC
있다고	있/VX+다고/EC
하더라도,	하/VV+더라도/EC+,/SP
