# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.211
metadata : {}


# id : NWRW1800000022.211.1.1
오바마, 구두 밑바닥 드러낸채 통화 구설수 키높이 구두에 발판까지… '사르코지의 굴욕'

오바마,	오바마/NNP+,/SP
구두	구두/NNG
밑바닥	밑바닥/NNG
드러낸채	드러내/VV+ㄴ/ETM+채/NNB
통화	통화/NNG
구설수	구설수/NNG
키높이	키/NNG+높이/NNG
구두에	구두/NNG+에/JKB
발판까지…	발판/NNG+까지/JX+…/SE
'사르코지의	'/SS+사르코지/NNP+의/JKG
굴욕'	굴욕/NNG+'/SS


# id : NWRW1800000022.211.2.1
버락 오바마 미 대통령이 지난 8일 백악관 집무실에서 두 다리를 편하게 책상에 올려놓고 베냐민 네타냐후 이스라엘 총리와 통화하는 사진이 공개된 뒤, 이스라엘에서 반감을 사고 있다.

버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
백악관	백악관/NNP
집무실에서	집무실/NNG+에서/JKB
두	두/MMN
다리를	다리/NNG+를/JKO
편하게	편하/VA+게/EC
책상에	책상/NNG+에/JKB
올려놓고	올려놓/VV+고/EC
베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
이스라엘	이스라엘/NNP
총리와	총리/NNG+와/JKB
통화하는	통화/NNG+하/XSV+는/ETM
사진이	사진/NNG+이/JKS
공개된	공개/NNG+되/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
이스라엘에서	이스라엘/NNP+에서/JKB
반감을	반감/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.211.2.2
이 사진에선 오바마의 구두 밑바닥이 드러나는데, 중동 지역인들은 구두 밑바닥을 상대에게 보이는 것을 모욕이라고 생각한다.

이	이/MMD
사진에선	사진/NNG+에서/JKB+ㄴ/JX
오바마의	오바마/NNP+의/JKG
구두	구두/NNG
밑바닥이	밑바닥/NNG+이/JKS
드러나는데,	드러나/VV+는데/EC+,/SP
중동	중동/NNP
지역인들은	지역인/NNG+들/XSN+은/JX
밑바닥을	밑바닥/NNG+을/JKO
상대에게	상대/NNG+에게/JKB
보이는	보이/VV+는/ETM
것을	것/NNB+을/JKO
모욕이라고	모욕/NNG+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.211.3.1
한편 평소 작은 키를 보완하려고 5㎝가량 굽을 높인 '키 높이' 구두를 신고 다니는 것으로 알려진 프랑스의 사르코지 대통령은 지난 6일 노르망디 상륙작전 65주년 기념식 연단에서 10㎝ 높이의 발판을 딛고 연설하는 모습이 카메라에 잡혔다.

한편	한편/MAG
평소	평소/NNG
작은	작/VA+은/ETM
키를	키/NNG+를/JKO
보완하려고	보완/NNG+하/XSV+려고/EC
5㎝가량	5/SN+㎝/SW+가량/XSN
굽을	굽/NNG+을/JKO
높인	높이/VV+ㄴ/ETM
'키	'/SS+키/NNG
높이'	높이/NNG+'/SS
구두를	구두/NNG+를/JKO
신고	신/VV+고/EC
다니는	다니/VV+는/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
프랑스의	프랑스/NNP+의/JKG
사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
노르망디	노르망디/NNP
상륙작전	상륙/NNG+작전/NNG
65주년	65/SN+주년/NNB
기념식	기념식/NNG
연단에서	연단/NNG+에서/JKB
10㎝	10/SN+㎝/SW
높이의	높이/NNG+의/JKG
발판을	발판/NNG+을/JKO
딛고	딛/VV+고/EC
연설하는	연설/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
카메라에	카메라/NNG+에/JKB
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.211.3.2
일간지 아일리시 인디펜던트는 10일 이 장면을 '사르코지의 굴욕'이라고 소개했다.

일간지	일간지/NNG
아일리시	아일리시/NNP
인디펜던트는	인디펜던트/NNP+는/JX
10일	10/SN+일/NNB
이	이/MMD
장면을	장면/NNG+을/JKO
'사르코지의	'/SS+사르코지/NNP+의/JKG
굴욕'이라고	굴욕/NNG+'/SS+이라고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


