# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.6
metadata : {}


# id : NWRW1800000036.6.1.1
현대오일뱅크, 윤활기유 사업 진출

현대오일뱅크,	현대오일뱅크/NNP+,/SP
윤활기유	윤활기유/NNG
사업	사업/NNG
진출	진출/NNG


# id : NWRW1800000036.6.2.1
[한겨레] 셸과 합작법인 설립키로

[한겨레]	[/SS+한겨레/NNP+]/SS
셸과	셸/NNP+과/JKB
합작법인	합작/NNG+법인/NNG
설립키로	설립/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000036.6.3.1
하루 2만배럴 생산 목표

하루	하루/NNG
2만배럴	2/SN+만/NR+배럴/NNB
생산	생산/NNG
목표	목표/NNG


# id : NWRW1800000036.6.4.1
“종합에너지기업 될 것”

“종합에너지기업	“/SS+종합/NNG+에너지/NNG+기업/NNG
될	되/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000036.6.5.1
현대오일뱅크가 네덜란드의 다국적 정유회사인 셸과 손을 잡고 윤활기유 사업에 진출한다.

현대오일뱅크가	현대오일뱅크/NNP+가/JKS
네덜란드의	네덜란드/NNP+의/JKG
다국적	다국적/NNG
정유회사인	정유/NNG+회사/NNG+이/VCP+ㄴ/ETM
셸과	셸/NNP+과/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
윤활기유	윤활기유/NNG
사업에	사업/NNG+에/JKB
진출한다.	진출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.6.5.2
정유업계 4위로 평가받는 현대오일뱅크가 2010년 현대중공업에 편입된 뒤 도약을 위한 행보를 이어가고 있다.

정유업계	정유업/NNG+계/XSN
4위로	4/SN+위/NNB+로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
현대오일뱅크가	현대오일뱅크/NNP+가/JKS
2010년	2010/SN+년/NNB
현대중공업에	현대중공업/NNP+에/JKB
편입된	편입/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
도약을	도약/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
행보를	행보/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.6.6.1
현대오일뱅크는 7일 싱가포르 샹그릴라호텔에서 권오갑 사장과 마크 게인즈버러 셸이스턴 대표가 윤활기유 합작 사업을 위한 계약을 맺었다고 7일 밝혔다.

현대오일뱅크는	현대오일뱅크/NNP+는/JX
7일	7/SN+일/NNB
싱가포르	싱가포르/NNP
샹그릴라호텔에서	샹그릴라호텔/NNP+에서/JKB
권오갑	권오갑/NNP
사장과	사장/NNG+과/JC
마크	마크/NNP
게인즈버러	게인즈버러/NNP
셸이스턴	셸이스턴/NNP
대표가	대표/NNG+가/JKS
윤활기유	윤활기유/NNG
합작	합작/NNG
사업을	사업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
계약을	계약/NNG+을/JKO
맺었다고	맺/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.6.6.2
두 회사는 3월 ‘현대쉘베이스오일㈜’(가칭)이란 합작법인을 설립하고, 10월부터 충남 서산시 대산공장 3만3000㎡ 부지에 윤활기유 공장을 건설할 계획이다.

두	두/MMN
회사는	회사/NNG+는/JX
3월	3/SN+월/NNB
‘현대쉘베이스오일㈜’(가칭)이란	‘/SS+현대쉘베이스오일/NNP+㈜/SW+’/SS+(/SS+가칭/NNG+)/SS+이/VCP+란/ETM
합작법인을	합작/NNG+법인/NNG+을/JKO
설립하고,	설립/NNG+하/XSV+고/EC+,/SP
10월부터	10/SN+월/NNB+부터/JX
충남	충남/NNP
서산시	서산시/NNP
대산공장	대산/NNP+공장/NNG
3만3000㎡	3/SN+만/NR+3000/SN+㎡/SW
부지에	부지/NNG+에/JKB
윤활기유	윤활기유/NNG
공장을	공장/NNG+을/JKO
건설할	건설/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.6.6.3
2014년 11월부터 상업가동을 시작해 하루 2만배럴 생산을 목표로 하고 있다.

2014년	2014/SN+년/NNB
11월부터	11/SN+월/NNB+부터/JX
상업가동을	상업/NNG+가동/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
하루	하루/NNG
2만배럴	2/SN+만/NR+배럴/NNB
생산을	생산/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.6.6.4
합작법인은 현대오일뱅크와 셸이 6 대 4 비율로 출자해 경영권은 현대오일뱅크가 갖는다.

합작법인은	합작/NNG+법인/NNG+은/JX
현대오일뱅크와	현대오일뱅크/NNP+와/JC
셸이	셸/NNP+이/JKS
6	6/SN
대	대/NNB
4	4/SN
비율로	비율/NNG+로/JKB
출자해	출자/NNG+하/XSV+아/EC
경영권은	경영/NNG+권/XSN+은/JX
현대오일뱅크가	현대오일뱅크/NNP+가/JKS
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000036.6.6.5
현대오일뱅크 관계자는 “생산된 윤활기유 대부분을 최대 소비국인 중국 등 아시아 지역에 수출해 2015년에 7000억원 이상의 매출과 800억원 이상의 수익을 거둘 수 있을 것으로 기대한다”고 밝혔다.

현대오일뱅크	현대오일뱅크/NNP
관계자는	관계자/NNG+는/JX
“생산된	“/SS+생산/NNG+되/XSV+ㄴ/ETM
윤활기유	윤활기유/NNG
대부분을	대/XPN+부분/NNG+을/JKO
최대	최대/NNG
소비국인	소비국/NNG+이/VCP+ㄴ/ETM
중국	중국/NNP
등	등/NNB
아시아	아시아/NNP
지역에	지역/NNG+에/JKB
수출해	수출/NNG+하/XSV+아/EC
2015년에	2015/SN+년/NNB+에/JKB
7000억원	7000/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
매출과	매출/NNG+과/JC
800억원	800/SN+억/NR+원/NNB
수익을	수익/NNG+을/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.6.7.1
