# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.224
metadata : {}


# id : NWRW1800000046.224.1.1
인생도 야구도 이호준처럼

인생도	인생/NNG+도/JX
야구도	야구/NNG+도/JX
이호준처럼	이호준/NNP+처럼/JKB


# id : NWRW1800000046.224.2.1
과거 FA 대박에 美人 아내 올시즌 불혹 앞두고 타점 1위… NC 벼랑끝 탈출 이끌어

과거	과거/NNG
FA	FA/SL
대박에	대/XPN+박/NNG+에/JKB
美人	美人/SH
아내	아내/NNG
올시즌	올/NNG+시즌/NNG
불혹	불혹/NNG
앞두고	앞두/VV+고/EC
타점	타점/NNG
1위…	1/SN+위/NNB+…/SE
NC	NC/SL
벼랑끝	벼랑/NNG+끝/NNG
탈출	탈출/NNG
이끌어	이끌/VV+어/EF


# id : NWRW1800000046.224.3.1
5월 KBO 리그에 새로운 바람을 일으킨 팀은 NC 다이노스다.

5월	5/SN+월/NNB
KBO	KBO/SL
리그에	리그/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
바람을	바람/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
팀은	팀/NNG+은/JX
NC	NC/SL
다이노스다.	다이노스/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000046.224.3.2
4월만 하더라도 10승14패로 10개 팀 중 9위로 처져 있던 NC는 이달 들어 15승4패1무로 상승 기류를 타면서 3위로 치솟았다.

4월만	4/SN+월/NNB+만/JX
하더라도	하/VV+더라도/EC
10승14패로	10/SN+승/NNB+14/SN+패/NNB+로/JKB
10개	10/SN+개/NNB
팀	팀/NNG
중	중/NNB
9위로	9/SN+위/NNB+로/JKB
처져	처지/VV+어/EC
있던	있/VX+던/ETM
NC는	NC/SL+는/JX
이달	이달/NNG
들어	들/VV+어/EC
15승4패1무로	15/SN+승/NNB+4/SN+패/NNB+1/SN+무/NNB+로/JKB
상승	상승/NNG
기류를	기류/NNG+를/JKO
타면서	타/VV+면서/EC
3위로	3/SN+위/NNB+로/JKB
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.224.3.3
시즌 전체 성적이 25승18패1무, 승률 0.581로 1위 두산(25승16패·승률 0.610)과 2위 삼성(27승18패·승률 0.600)에 불과 1게임 뒤져 있다.

시즌	시즌/NNG
전체	전체/NNG
성적이	성적/NNG+이/JKS
25승18패1무,	25/SN+승/NNB+18/SN+패/NNB+1/SN+무/NNB+,/SP
승률	승률/NNG
0.581로	0/SN+./SP+581/SN+로/JKB
1위	1/SN+위/NNB
두산(25승16패·승률	두산/NNP+(/SS+25/SN+승/NNB+16/SN+패/NNB+·/SP+승률/NNG
0.610)과	0/SN+./SP+610/SN+)/SS+과/JC
2위	2/SN+위/NNB
삼성(27승18패·승률	삼성/NNP+(/SS+27/SN+승/NNB+18/SN+패/NNB+·/SP+승률/NNG
0.600)에	0/SN+./SP+600/SN+)/SS+에/JKB
불과	불과/MAG
1게임	1/SN+게임/NNG
뒤져	뒤지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.224.3.4
NC의 상승세 뒤에는 나이를 잊은 듯 불방망이를 과시 중인 베테랑 이호준(39)이 자리 잡고 있다.

NC의	NC/SL+의/JKG
상승세	상승세/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
나이를	나이/NNG+를/JKO
잊은	잊/VV+은/ETM
듯	듯/NNB
불방망이를	불방망이/NNG+를/JKO
과시	과시/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
베테랑	베테랑/NNG
이호준(39)이	이호준/NNP+(/SS+39/SN+)/SS+이/JKS
자리	자리/NNG
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.224.4.1
이호준은 팀 44경기 중 42경기에 출장해 타율 0.329(155타수 51안타), 13홈런, 52타점, 18득점을 기록했다.

이호준은	이호준/NNP+은/JX
팀	팀/NNG
44경기	44/SN+경기/NNG
중	중/NNB
42경기에	42/SN+경기/NNG+에/JKB
출장해	출장/NNG+하/XSV+아/EC
타율	타율/NNG
0.329(155타수	0/SN+./SP+329/SN+(/SS+155/SN+타수/NNG
51안타),	51/SN+안타/NNG+)/SS+,/SP
13홈런,	13/SN+홈런/NNG+,/SP
52타점,	52/SN+타점/NNG+,/SP
18득점을	18/SN+득점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.224.4.2
타점은 2위인 팀 동료 에릭 테임즈(44개)보다 8점이나 많은 52타점으로 당당히 리그 선두에 올라 있다.

타점은	타점/NNG+은/JX
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
팀	팀/NNG
동료	동료/NNG
에릭	에릭/NNP
테임즈(44개)보다	테임즈/NNP+(/SS+44/SN+개/NNB+)/SS+보다/JKB
8점이나	8/SN+점/NNB+이나/JX
많은	많/VA+은/ETM
52타점으로	52/SN+타점/NNG+으로/JKB
당당히	당당히/MAG
리그	리그/NNG
선두에	선두/NNG+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.224.5.1
이호준은 NC가 최근 5연승을 달린 기간에는 18타수 7안타(0.389) 3홈런 10타점으로 공격을 진두지휘했다.

이호준은	이호준/NNP+은/JX
NC가	NC/SL+가/JKS
최근	최근/MAG
5연승을	5/SN+연승/NNG+을/JKO
달린	달리/VV+ㄴ/ETM
기간에는	기간/NNG+에/JKB+는/JX
18타수	18/SN+타수/NNG
7안타(0.389)	7/SN+안타/NNG+(/SS+0/SN+./SP+389/SN+)/SS
3홈런	3/SN+홈런/NNG
10타점으로	10/SN+타점/NNG+으로/JKB
공격을	공격/NNG+을/JKO
진두지휘했다.	진두지휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.224.5.2
24일 넥센과의 목동 원정경기에서는 5―7로 뒤진 7회초 무사 1·3루에서 역전 3점포를 터뜨리면서 분위기를 반전시켰다.

24일	24/SN+일/NNB
넥센과의	넥센/NNP+과/JKB+의/JKG
목동	목동/NNP
원정경기에서는	원정/NNG+경기/NNG+에서/JKB+는/JX
5―7로	5/SN+―/SS+7/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
7회초	7/SN+회/NNB+초/NNB
무사	무사/NNG
1·3루에서	1/SN+·/SP+3루/NNG+에서/JKB
역전	역전/NNG
3점포를	3/SN+점/NNB+포/NNG+를/JKO
터뜨리면서	터뜨리/VV+면서/EC
분위기를	분위기/NNG+를/JKO
반전시켰다.	반전/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.224.5.3
NC는 난타전 끝에 12대11로 승리했다.

NC는	NC/SL+는/JX
난타전	난타전/NNG
끝에	끝/NNG+에/JKB
12대11로	12/SN+대/NNB+11/SN+로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.224.6.1
이호준은 만 39세의 나이로 개인 한 시즌 최고 기록에 도전하고 있다.

이호준은	이호준/NNP+은/JX
만	만/MMA
39세의	39/SN+세/NNB+의/JKG
나이로	나이/NNG+로/JKB
개인	개인/NNG
한	한/MMN
시즌	시즌/NNG
최고	최고/NNG
기록에	기록/NNG+에/JKB
도전하고	도전/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.224.6.2
이호준이 현재 페이스를 유지하면서 남은 100경기를 모두 소화한다고 가정할 때 예상 기록은 43~44홈런, 175~176타점이다.

이호준이	이호준/NNP+이/JKS
현재	현재/MAG
페이스를	페이스/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
남은	남/VV+은/ETM
100경기를	100/SN+경기/NNG+를/JKO
모두	모두/MAG
소화한다고	소화/NNG+하/XSV+ㄴ다고/EC
가정할	가정/NNG+하/XSV+ㄹ/ETM
때	때/NNG
예상	예상/NNG
기록은	기록/NNG+은/JX
43~44홈런,	43/SN+~/SO+44/SN+홈런/NNG+,/SP
175~176타점이다.	175/SN+~/SO+176/SN+타점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.224.6.3
이호준의 한 시즌 최다 홈런은 36개(2003년 SK), 타점은 112개(2004년 SK)였다.

이호준의	이호준/NNP+의/JKG
한	한/MMN
