# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.400
metadata : {}


# id : NWRW1800000038.400.1.1
[朴정부 2기 청와대 출범] 외교관 출신 정무수석 파격… 與 "대체 누구야?"

[朴정부	[/SS+朴/SH+정부/NNG
2기	2/SN+기/NNG
청와대	청와대/NNP
출범]	출범/NNG+]/SS
외교관	외교관/NNG
출신	출신/NNG
정무수석	정무/NNG+수석/NNG
파격…	파격/NNG+…/SE
與	與/SH
"대체	"/SS+대체/MAG
누구야?"	누구/NP+이/VCP+야/EF+?/SF+"/SS


# id : NWRW1800000038.400.2.1
박준우 신임 정무수석… 靑 "당파적 시각서 자유로워", 野 "능력과 자질 우려스럽다"

박준우	박준우/NNP
신임	신임/NNG
정무수석…	정무/NNG+수석/NNG+…/SE
靑	靑/SH
"당파적	"/SS+당파/NNG+적/XSN
시각서	시각/NNG+서/JKB
자유로워",	자유/NNG+롭/XSA+어/EF+"/SS+,/SP
野	野/SH
"능력과	"/SS+능력/NNG+과/JC
자질	자질/NNG
우려스럽다"	우려/NNG+스럽/XSA+다/EF+"/SS


# id : NWRW1800000038.400.3.1
최경환 새누리당 원내대표와 윤상현 원내수석부대표, 김태흠 원내대변인 등 새누리당 지도부는 5일 오전 청와대 개편 발표를 국회 원내대표실에서 지켜봤다.

최경환	최경환/NNP
새누리당	새누리당/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
윤상현	윤상현/NNP
원내수석부대표,	원내/NNG+수석/NNG+부대표/NNG+,/SP
김태흠	김태흠/NNP
원내대변인	원내/NNG+대변인/NNG
등	등/NNB
지도부는	지도부/NNG+는/JX
5일	5/SN+일/NNB
오전	오전/NNG
청와대	청와대/NNP
개편	개편/NNG
발표를	발표/NNG+를/JKO
국회	국회/NNG
원내대표실에서	원내/NNG+대표실/NNG+에서/JKB
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.400.3.2
이들은 한결같이 "근데 박준우사진>가 도대체 누구야"라고 서로에게 물었다.

이들은	이/NP+들/XSN+은/JX
한결같이	한결같이/MAG
"근데	"/SS+근데/MAJ
박준우사진>가	박준우/NNP+사진/NNG+>/SS+가/JKS
도대체	도대체/MAG
누구야"라고	누구/NP+이/VCP+야/EF+"/SS+라고/JKQ
서로에게	서로/NNG+에게/JKB
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.400.3.3
박근혜 정권 실세이자 정무수석과 긴밀히 업무를 조율해야 할 이들조차 박준우 신임 정무수석 기용은 의외였다.

박근혜	박근혜/NNP
정권	정권/NNG
실세이자	실세/NNG+이/VCP+자/EC
정무수석과	정무/NNG+수석/NNG+과/JKB
긴밀히	긴밀히/MAG
업무를	업무/NNG+를/JKO
조율해야	조율/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
이들조차	이/NP+들/XSN+조차/JX
박준우	박준우/NNP
신임	신임/NNG
정무수석	정무/NNG+수석/NNG
기용은	기용/NNG+은/JX
의외였다.	의외/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.400.4.1
박 수석은 1978년부터 외교관으로 일했다.

박	박/NNP
수석은	수석/NNG+은/JX
1978년부터	1978/SN+년/NNB+부터/JX
외교관으로	외교관/NNG+으로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.400.4.2
정치 쪽에는 발을 들여놓은 적도 없다.

정치	정치/NNG
쪽에는	쪽/NNB+에/JKB+는/JX
발을	발/NNG+을/JKO
들여놓은	들여놓/VV+은/ETM
적도	적/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.400.4.3
이정현 홍보수석은 "뛰어난 협상력과 정무적 판단력을 갖춘 분으로 평가돼왔고, 대사 재직 시에는 탁월한 외교 역량을 보여줬다"면서 "정무수석으로서 새로운 시각과 역할을 보여줄 것으로 기대한다"고 했다.

이정현	이정현/NNP
홍보수석은	홍보/NNG+수석/NNG+은/JX
"뛰어난	"/SS+뛰어나/VA+ㄴ/ETM
협상력과	협상력/NNG+과/JC
정무적	정무/NNG+적/XSN
판단력을	판단력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
분으로	분/NNB+으로/JKB
평가돼왔고,	평가/NNG+되/XSV+어/EC+오/VX+았/EP+고/EC+,/SP
대사	대사/NNG
재직	재직/NNG
시에는	시/NNB+에/JKB+는/JX
탁월한	탁월하/VA+ㄴ/ETM
외교	외교/NNG
역량을	역량/NNG+을/JKO
보여줬다"면서	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS+면서/EC
