# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.141
metadata : {}


# id : NWRW1800000049.141.1.1
어린이책 불황 속에서도 “잘나가네”

어린이책	어린이/NNG+책/NNG
불황	불황/NNG
속에서도	속/NNG+에서/JKB+도/JX
“잘나가네”	“/SS+잘나가/VV+네/EF+”/SS


# id : NWRW1800000049.141.2.1
100쇄 돌파 ‘돼지책’, 26만권 판매 ‘13층 나무집’ 시리즈

100쇄	100/SN+쇄/NNG
돌파	돌파/NNG
‘돼지책’,	‘/SS+돼지책/NNP+’/SS+,/SP
26만권	26/SN+만/NR+권/NNB
판매	판매/NNG
‘13층	‘/SS+13/SN+층/NNG
나무집’	나무/NNG+집/NNG+’/SS
시리즈	시리즈/NNG


# id : NWRW1800000049.141.3.1
도서정가제 실시에 불황까지 맞물리면서 어린이 책 시장이 위축된 가운데서도 선전하는 책들이 눈길을 끈다.

도서정가제	도서/NNG+정가/NNG+제/XSN
실시에	실시/NNG+에/JKB
불황까지	불황/NNG+까지/JX
맞물리면서	맞물리/VV+면서/EC
어린이	어린이/NNG
책	책/NNG
시장이	시장/NNG+이/JKS
위축된	위축/NNG+되/XSV+ㄴ/ETM
가운데서도	가운데/NNG+서/JKB+도/JX
선전하는	선전/NNG+하/XSV+는/ETM
책들이	책/NNG+들/XSN+이/JKS
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.141.4.1
영국의 유명 그림책 작가인 앤서니 브라운의 ‘돼지책’(웅진주니어)은 얼마 전 100쇄를 돌파해 지난달 100쇄 기념 한정판을 제작했다.

영국의	영국/NNP+의/JKG
유명	유명/NNG
그림책	그림책/NNG
작가인	작가/NNG+이/VCP+ㄴ/ETM
앤서니	앤서니/NNP
브라운의	브라운/NNP+의/JKG
‘돼지책’(웅진주니어)은	‘/SS+돼지책/NNP+’/SS+(/SS+웅진주니어/NNP+)/SS+은/JX
얼마	얼마/NNG
전	전/NNG
100쇄를	100/SN+쇄/NNG+를/JKO
돌파해	돌파/NNG+하/XSV+아/EC
지난달	지난달/NNG
100쇄	100/SN+쇄/NNG
기념	기념/NNG
한정판을	한정판/NNG+을/JKO
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.141.4.2
2001년 출간된 이 책은 15년간 모두 75만 권 넘게 판매됐다.

2001년	2001/SN+년/NNB
출간된	출간/NNG+되/XSV+ㄴ/ETM
이	이/MMD
책은	책/NNG+은/JX
15년간	15/SN+년/NNB+간/XSN
모두	모두/MAG
75만	75/SN+만/NR
권	권/NNB
넘게	넘/VV+게/EC
판매됐다.	판매/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.141.5.1
권정생 작가의 ‘강아지똥’ ‘몽실언니’, 황선미 작가의 ‘마당을 나온 암탉’ ‘나쁜 어린이표’, 김중미 작가의 ‘괭이부리말 아이들’ 등 동화책이 100쇄를 넘은 경우는 상당수지만 그림책이 100쇄를 넘은 경우는 이례적이다.

권정생	권정생/NNP
작가의	작가/NNG+의/JKG
‘강아지똥’	‘/SS+강아지똥/NNP+’/SS
‘몽실언니’,	‘/SS+몽실언니/NNP+’/SS+,/SP
황선미	황선미/NNP
‘마당을	‘/SS+마당/NNG+을/JKO
나온	나오/VV+ㄴ/ETM
암탉’	암탉/NNG+’/SS
‘나쁜	‘/SS+나쁘/VA+ㄴ/ETM
어린이표’,	어린이/NNG+표/NNG+’/SS+,/SP
김중미	김중미/NNP
‘괭이부리말	‘/SS+괭이부리말/NNP
아이들’	아이/NNG+들/XSN+’/SS
등	등/NNB
동화책이	동화책/NNG+이/JKS
100쇄를	100/SN+쇄/NNG+를/JKO
넘은	넘/VV+은/ETM
경우는	경우/NNG+는/JX
상당수지만	상당수/NNG+이/VCP+지만/EC
그림책이	그림책/NNG+이/JKS
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.141.6.1
표지 바탕을 새로 디자인하고 작가의 사인을 넣은 ‘돼지책’ 한정판은 2만 권 찍었는데 지금까지 5000권 넘게 나갔다.

표지	표지/NNG
바탕을	바탕/NNG+을/JKO
새로	새로/MAG
디자인하고	디자인/NNG+하/XSV+고/EC
작가의	작가/NNG+의/JKG
사인을	사인/NNG+을/JKO
넣은	넣/VV+은/ETM
‘돼지책’	‘/SS+돼지책/NNP+’/SS
한정판은	한정판/NNG+은/JX
2만	2/SN+만/NR
권	권/NNB
찍었는데	찍/VV+었/EP+는데/EC
지금까지	지금/NNG+까지/JX
5000권	5000/SN+권/NNB
넘게	넘/VV+게/EC
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.141.6.2
이 작품은 네 식구 중 엄마 홀로 가사 노동을 짊어져야 하는 문제를 유머러스하게 표현했다.

이	이/MMD
작품은	작품/NNG+은/JX
네	네/MMN
식구	식구/NNG
중	중/NNB
엄마	엄마/NNG
홀로	홀로/MAG
가사	가사/NNG
노동을	노동/NNG+을/JKO
짊어져야	짊어지/VV+어야/EC
하는	하/VX+는/ETM
문제를	문제/NNG+를/JKO
유머러스하게	유머러스/NNG+하/XSA+게/EC
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.141.6.3
아이들도 좋아하지만 특히 엄마들에게서 뜨거운 반응을 얻고 있다.

아이들도	아이/NNG+들/XSN+도/JX
좋아하지만	좋아하/VV+지만/EC
특히	특히/MAG
엄마들에게서	엄마/NNG+들/XSN+에게서/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.141.7.1
‘종이 오락기’라는 별명을 가진 ‘13층 나무집’(시공주니어) 시리즈의 돌풍도 거세다.

‘종이	‘/SS+종이/NNG
오락기’라는	오락기/NNG+’/SS+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
‘13층	‘/SS+13/SN+층/NNG
나무집’(시공주니어)	나무/NNG+집/NNG+’/SS+(/SS+시공주니어/NNP+)/SS
시리즈의	시리즈/NNG+의/JKG
돌풍도	돌풍/NNG+도/JX
거세다.	거세/VA+다/EF+./SF


# id : NWRW1800000049.141.7.2
호주 작가인 앤디 그리피스와 테리 덴턴이 만화와 동화의 경계를 허물어 버린 이 책은 색칠하기, 점 잇기, 미로 찾기 등 각종 놀이를 할 수 있는 게 특징이다.

호주	호주/NNP
작가인	작가/NNG+이/VCP+ㄴ/ETM
앤디	앤디/NNP
그리피스와	그리피스/NNP+와/JC
테리	테리/NNP
덴턴이	덴턴/NNP+이/JKS
만화와	만화/NNG+와/JC
동화의	동화/NNG+의/JKG
경계를	경계/NNG+를/JKO
허물어	허물/VV+어/EC
버린	버리/VX+ㄴ/ETM
이	이/MMD
책은	책/NNG+은/JX
색칠하기,	색칠/NNG+하/XSV+기/ETN+,/SP
점	점/NNG
잇기,	잇/VV+기/ETN+,/SP
미로	미로/NNG
찾기	찾/VV+기/ETN
등	등/NNB
각종	각종/NNG
놀이를	놀이/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.141.8.1
나무집은 13층씩 올라간다.

나무집은	나무/NNG+집/NNG+은/JX
13층씩	13/SN+층/NNG+씩/XSN
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.141.8.2
지난해 국내에 출간한 ‘13층 나무집’은 7만 권이 판매됐고, 이후 나온 26층, 39층, 52층, 65층 나무집은 모두 합쳐 19만 권이 나갔다.

지난해	지난해/NNG
국내에	국내/NNG+에/JKB
출간한	출간/NNG+하/XSV+ㄴ/ETM
‘13층	‘/SS+13/SN+층/NNG
나무집’은	나무/NNG+집/NNG+’/SS+은/JX
7만	7/SN+만/NR
권이	권/NNB+이/JKS
판매됐고,	판매/NNG+되/XSV+었/EP+고/EC+,/SP
이후	이후/NNG
나온	나오/VV+ㄴ/ETM
26층,	26/SN+층/NNG+,/SP
39층,	39/SN+층/NNG+,/SP
52층,	52/SN+층/NNG+,/SP
65층	65/SN+층/NNG
나무집은	나무/NNG+집/NNG+은/JX
모두	모두/MAG
합쳐	합치/VV+어/EC
19만	19/SN+만/NR
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.141.8.3
‘13층 나무집’은 248쪽이지만 층이 높아질수록 페이지 수가 늘어나 ‘65층 나무집’은 388쪽에 이른다.

‘13층	‘/SS+13/SN+층/NNG
나무집’은	나무/NNG+집/NNG+’/SS+은/JX
248쪽이지만	248/SN+쪽/NNG+이/VCP+지만/EC
층이	층/NNG+이/JKS
높아질수록	높아지/VV+ㄹ수록/EC
페이지	페이지/NNG
수가	수/NNG+가/JKS
늘어나	늘어나/VV+아/EC
‘65층	‘/SS+65/SN+층/NNG
388쪽에	388/SN+쪽/NNG+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.141.8.4
이 두꺼운 책을 초등학교 저학년 학생들도 집중력을 보이며 독파할 정도라고 한다.

이	이/MMD
두꺼운	두껍/VA+ㄴ/ETM
책을	책/NNG+을/JKO
초등학교	초등학교/NNG
저학년	저/XPN+학년/NNG
학생들도	학생/NNG+들/XSN+도/JX
집중력을	집중력/NNG+을/JKO
보이며	보이/VV+며/EC
독파할	독파/NNG+하/XSV+ㄹ/ETM
정도라고	정도/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.141.8.5
역시 각종 놀이가 가능한 ‘나무집 펀 북’은 지난달 말 내놓은 초판 5000권이 모두 소진돼 5000권을 더 찍는 중이다.

역시	역시/MAG
각종	각종/NNG
놀이가	놀이/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
‘나무집	‘/SS+나무/NNG+집/NNG
펀	펀/NA
북’은	북/NNG+’/SS+은/JX
지난달	지난달/NNG
말	말/NNB
내놓은	내놓/VV+은/ETM
초판	초판/NNG
5000권이	5000/SN+권/NNB+이/JKS
모두	모두/MAG
소진돼	소진/NNG+되/XSV+어/EC
5000권을	5000/SN+권/NNB+을/JKO
더	더/MAG
찍는	찍/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.141.9.1
박진희 시공주니어 아동청소년팀장은 “‘13층 나무집’ 시리즈는 쉴 새 없이 모험과 상상이 이어져 아이들이 정신없이 빠져든다는 반응이 많다”며 “다음 책이 언제 나오는지 궁금해 하는 학부모의 문의가 이어지고 있다”고 말했다.

박진희	박진희/NNP
시공주니어	시공주니어/NNP
아동청소년팀장은	아동/NNG+청소년/NNG+팀장/NNG+은/JX
“‘13층	“/SS+‘/SS+13/SN+층/NNG
나무집’	나무/NNG+집/NNG+’/SS
시리즈는	시리즈/NNG+는/JX
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
모험과	모험/NNG+과/JC
상상이	상상/NNG+이/JKS
이어져	이어지/VV+어/EC
아이들이	아이/NNG+들/XSN+이/JKS
정신없이	정신없이/MAG
빠져든다는	빠져들/VV+ㄴ다는/ETM
반응이	반응/NNG+이/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“다음	“/SS+다음/NNG
책이	책/NNG+이/JKS
언제	언제/MAG
나오는지	나오/VV+는지/EC
