# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.394
metadata : {}


# id : NWRW1800000033.394.1.1
[수도권]서울시, 어린이 치과주치의제 도입

[수도권]서울시,	[/SS+수도/NNG+권/XSN+]/SS+서울시/NNP+,/SP
어린이	어린이/NNG
치과주치의제	치과/NNG+주치의/NNG+제/XSN
도입	도입/NNG


# id : NWRW1800000033.394.2.1
저소득층 등 3만명 대상 검진-예방진료 무료로

저소득층	저/XPN+소득/NNG+층/XSN
등	등/NNB
3만명	3/SN+만/NR+명/NNB
대상	대상/NNG
검진-예방진료	검진/NNG+-/SO+예방/NNG+진료/NNG
무료로	무료/NNG+로/JKB


# id : NWRW1800000033.394.3.1
영국에서는 18세까지 치과 의료서비스가 무상으로 보장된다.

영국에서는	영국/NNP+에서/JKB+는/JX
18세까지	18/SN+세/NNB+까지/JX
치과	치과/NNG
의료서비스가	의료/NNG+서비스/NNG+가/JKS
무상으로	무상/NNG+으로/JKB
보장된다.	보장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.394.3.2
독일은 한술 더 떠서 18세까지 진료비 무료에 치열 교정을 보장해 준다.

독일은	독일/NNP+은/JX
한술	한술/NNG
더	더/MAG
떠서	뜨/VV+어서/EC
18세까지	18/SN+세/NNB+까지/JX
진료비	진료비/NNG
무료에	무료/NNG+에/JKB
치열	치열/NNG
교정을	교정/NNG+을/JKO
보장해	보장/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.394.3.3
앞으로 서울에 사는 아동 및 청소년들은 이와 비슷한 혜택을 받게 될지 모른다.

앞으로	앞/NNG+으로/JKB
서울에	서울/NNP+에/JKB
사는	살/VV+는/ETM
아동	아동/NNG
및	및/MAG
청소년들은	청소년/NNG+들/XSN+은/JX
이와	이/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
받게	받/VV+게/EC
될지	되/VV+ㄹ지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.394.3.4
서울시는 전국 최초로 학생 및 저소득층 아동을 대상으로 치과주치의제를 도입한다고 1일 밝혔다.

서울시는	서울시/NNP+는/JX
전국	전국/NNG
최초로	최초/NNG+로/JKB
학생	학생/NNG
및	및/MAG
저소득층	저/XPN+소득/NNG+층/XSN
아동을	아동/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
치과주치의제를	치과/NNG+주치의/NNG+제/XSN+를/JKO
도입한다고	도입/NNG+하/XSV+ㄴ다고/EC
1일	1/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.394.4.1
시는 올해 시범 자치구로 선정된 성동 광진 강북 노원 서대문 강동구의 초등학교 4학년 2만 명과 서울시 지역아동센터를 이용하는 저소득층 아이들 1만 명 등 총 3만 명을 대상으로 치과 주치의 사업을 시작한다.

시는	시/NNG+는/JX
올해	올해/NNG
시범	시범/NNG
자치구로	자치구/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
성동	성동/NNP
광진	광진/NNP
강북	강북/NNP
노원	노원/NNP
서대문	서대문/NNP
강동구의	강동구/NNP+의/JKG
초등학교	초등학교/NNG
4학년	4/SN+학년/NNG
2만	2/SN+만/NR
명과	명/NNB+과/JC
서울시	서울시/NNP
지역아동센터를	지역/NNG+아동/NNG+센터/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
저소득층	저/XPN+소득/NNG+층/XSN
아이들	아이/NNG+들/XSN
1만	1/SN+만/NR
명	명/NNB
등	등/NNB
총	총/MMA
3만	3/SN+만/NR
명을	명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
치과	치과/NNG
주치의	주치의/NNG
사업을	사업/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.394.4.2
이들은 치과 주치의로 선정된 지역 치과의원에서 구강 건강 검진, 건강 상담 및 예방 교육 등을 무료로 받을 수 있고 개인 구강 건강 상태에 따라 치석 제거 등 예방 진료를 받을 수 있다.

이들은	이/NP+들/XSN+은/JX
치과	치과/NNG
주치의로	주치의/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
지역	지역/NNG
치과의원에서	치과/NNG+의원/NNG+에서/JKB
구강	구강/NNG
건강	건강/NNG
검진,	검진/NNG+,/SP
상담	상담/NNG
및	및/MAG
예방	예방/NNG
교육	교육/NNG
등을	등/NNB+을/JKO
무료로	무료/NNG+로/JKB
받을	받/VV+을/ETM
수	수/NNB
있고	있/VA+고/EC
개인	개인/NNG
상태에	상태/NNG+에/JKB
따라	따르/VV+아/EC
치석	치석/NNG
제거	제거/NNG
등	등/NNB
진료를	진료/NNG+를/JKO
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.394.4.3
다만 충치 치료 등은 자비를 부담해야 한다.

다만	다만/MAG
충치	충치/NNG
치료	치료/NNG
등은	등/NNB+은/JX
자비를	자비/NNG+를/JKO
부담해야	부담/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.394.4.4
저소득층은 보건소 내 치과에서 진료받을 수 있다.

저소득층은	저/XPN+소득/NNG+층/XSN+은/JX
보건소	보건소/NNG
내	내/NNB
치과에서	치과/NNG+에서/JKB
진료받을	진료/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.394.4.5
시는 올해 8억 원의 예산을 들여 이 사업을 지원하기로 했다.

시는	시/NNG+는/JX
올해	올해/NNG
8억	8/SN+억/NR
원의	원/NNB+의/JKG
예산을	예산/NNG+을/JKO
들여	들이/VV+어/EC
이	이/MMD
사업을	사업/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.394.5.1
발달장애아동을 위한 의료지원 사업은 기존 송파 양천 노원 동작구에 이어 동대문 중구에서도 추가로 실시된다.

발달장애아동을	발달/NNG+장애/NNG+아동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
의료지원	의료/NNG+지원/NNG
사업은	사업/NNG+은/JX
기존	기존/NNG
송파	송파/NNP
양천	양천/NNP
노원	노원/NNP
동작구에	동작구/NNP+에/JKB
이어	잇/VV+어/EC
동대문	동대문/NNP
중구에서도	중구/NNP+에서/JKB+도/JX
추가로	추가/NNG+로/JKB
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.394.5.2
자세한 내용은 시 보건정책과(02-3707-9282)로 전화하거나 홈페이지(blutouch.net)를 통해 확인할 수 있다.

자세한	자세하/VA+ㄴ/ETM
내용은	내용/NNG+은/JX
시	시/NNG
보건정책과(02-3707-9282)로	보건/NNG+정책과/NNG+(/SS+02/SN+-/SO+3707/SN+-/SO+9282/SN+)/SS+로/JKB
전화하거나	전화/NNG+하/XSV+거나/EC
홈페이지(blutouch.net)를	홈페이지/NNG+(/SS+blutouch/SL+./SP+net/SL+)/SS+를/JKO
통해	통하/VV+아/EC
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


