# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.117
metadata : {}


# id : NWRW1800000052.117.1.1
영혼 뒤바뀐 두 여자의 뜨거운 연대

영혼	영혼/NNG
뒤바뀐	뒤바뀌/VV+ㄴ/ETM
두	두/MMN
여자의	여자/NNG+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
연대	연대/NNG


# id : NWRW1800000052.117.2.1
[리뷰] 창작뮤지컬 ‘스페셜 딜리버리’

[리뷰]	[/SS+리뷰/NNG+]/SS
창작뮤지컬	창작/NNG+뮤지컬/NNG
‘스페셜	‘/SS+스페셜/NNG
딜리버리’	딜리버리/NNG+’/SS


# id : NWRW1800000052.117.3.1
40대 여가수와 10대 가출소녀

40대	40/SN+대/NNB
여가수와	여가수/NNG+와/JC
10대	10/SN+대/NNB
가출소녀	가출/NNG+소녀/NNG


# id : NWRW1800000052.117.4.1
상대 통해 삶의 의미 깨달아

상대	상대/NNG
통해	통하/VV+아/EC
삶의	삶/NNG+의/JKG
의미	의미/NNG
깨달아	깨닫/VV+아/EF


# id : NWRW1800000052.117.5.1
서울 대학로 무대의 뮤지컬은 ‘멋진 남자 배우 - 젊은 여성 관객’의 공식이 지배적이다.

서울	서울/NNP
대학로	대학로/NNP
무대의	무대/NNG+의/JKG
뮤지컬은	뮤지컬/NNG+은/JX
‘멋진	‘/SS+멋지/VA+ㄴ/ETM
남자	남자/NNG
배우	배우/NNG
-	-/SO
젊은	젊/VA+은/ETM
여성	여성/NNG
관객’의	관객/NNG+’/SS+의/JKG
공식이	공식/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000052.117.5.2
심지어 남자 배우 둘만 나오는 뮤지컬도 여럿이다.

심지어	심지어/MAG
남자	남자/NNG
배우	배우/NNG
둘만	둘/NR+만/JX
나오는	나오/VV+는/ETM
뮤지컬도	뮤지컬/NNG+도/JX
여럿이다.	여럿/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.117.5.3
그런데, 여자 배우가 ‘여자 이야기’를 갖고 무대에 올랐다.

그런데,	그런데/MAJ+,/SP
여자	여자/NNG
배우가	배우/NNG+가/JKS
‘여자	‘/SS+여자/NNG
이야기’를	이야기/NNG+’/SS+를/JKO
갖고	갖/VV+고/EC
무대에	무대/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.117.5.4
지난해 한국문화예술위원회(문예위)의 창작공연지원사업(창작산실)에서 대본 공모에 당선돼 처음으로 무대에 올려진 뮤지컬 <스페셜 딜리버리>(작·연출 오미영)이다.

지난해	지난해/NNG
한국문화예술위원회(문예위)의	한국문화예술위원회/NNP+(/SS+문예위/NNP+)/SS+의/JKG
창작공연지원사업(창작산실)에서	창작/NNG+공연/NNG+지원/NNG+사업/NNG+(/SS+창작/NNG+산실/NNG+)/SS+에서/JKB
대본	대본/NNG
공모에	공모/NNG+에/JKB
당선돼	당선/NNG+되/XSV+어/EC
처음으로	처음/NNG+으로/JKB
무대에	무대/NNG+에/JKB
올려진	올리/VV+어/EC+지/VX+ㄴ/ETM
뮤지컬	뮤지컬/NNG
<스페셜	</SS+스페셜/NNP
딜리버리>(작·연출	딜리버리/NNP+>/SS+(/SS+작/NNG+·/SP+연출/NNG
오미영)이다.	오미영/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000052.117.6.1
젊은 시절 가요계를 주름 잡았지만 지금은 마흔두 살의 한물 간 여가수 ‘정사랑’(구옥본)은 어느날 산부인과 화장실에서 열여덟 살의 가출 소녀 ‘강하리’(최보영)를 우연히 만난다.

젊은	젊/VA+은/ETM
시절	시절/NNG
가요계를	가요/NNG+계/XSN+를/JKO
주름	주름/NNG
잡았지만	잡/VV+았/EP+지만/EC
지금은	지금/NNG+은/JX
마흔두	마흔두/MMN
살의	살/NNB+의/JKG
한물	한물/NNG
간	가/VV+ㄴ/ETM
여가수	여가수/NNG
‘정사랑’(구옥본)은	‘/SS+정사랑/NNP+’/SS+(/SS+구옥본/NNP+)/SS+은/JX
어느날	어느/MMD+날/NNG
산부인과	산부인과/NNG
화장실에서	화장실/NNG+에서/JKB
열여덟	열여덟/NR
가출	가출/NNG
소녀	소녀/NNG
‘강하리’(최보영)를	‘/SS+강하리/NNP+’/SS+(/SS+최보영/NNP+)/SS+를/JKO
우연히	우연히/MAG
만난다.	만나/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.117.6.2
그런데 아프리카 신을 내려받은 무당 ‘도라도라’(김성현)가 두 사람의 영혼을 맞바꿔버린다.

그런데	그런데/MAJ
아프리카	아프리카/NNP
신을	신/NNG+을/JKO
내려받은	내려받/VV+은/ETM
무당	무당/NNG
‘도라도라’(김성현)가	‘/SS+도라도라/NNP+’/SS+(/SS+김성현/NNP+)/SS+가/JKS
두	두/MMN
사람의	사람/NNG+의/JKG
영혼을	영혼/NNG+을/JKO
맞바꿔버린다.	맞바꾸/VV+어/EC+버리/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.117.6.3
폐경을 앞두고 엄마가 되고 싶은 정사랑과, 조건만남을 통해 생겨난 아이를 지우고 싶어하는 강하리는 상대편의 몸으로 살면서 새로운 체험을 하게 된다.

폐경을	폐경/NNG+을/JKO
앞두고	앞두/VV+고/EC
엄마가	엄마/NNG+가/JKC
되고	되/VV+고/EC
싶은	싶/VX+은/ETM
정사랑과,	정사랑/NNP+과/JC+,/SP
조건만남을	조건/NNG+만남/NNG+을/JKO
통해	통하/VV+아/EC
생겨난	생겨나/VV+ㄴ/ETM
아이를	아이/NNG+를/JKO
지우고	지우/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
강하리는	강하리/NNP+는/JX
상대편의	상대편/NNG+의/JKG
몸으로	몸/NNG+으로/JKB
살면서	살/VV+면서/EC
새로운	새롭/VA+ㄴ/ETM
체험을	체험/NNG+을/JKO
하게	하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.117.6.4
5개월 된 아이는 어떻게 될까.

5개월	5/SN+개월/NNB
된	되/VV+ㄴ/ETM
아이는	아이/NNG+는/JX
어떻게	어떻/VA+게/EC
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000052.117.6.5
참고로, 제목의 딜리버리는 ‘배달’이 아니라 ‘출산’을 뜻한다.

참고로,	참고/NNG+로/JKB+,/SP
제목의	제목/NNG+의/JKG
딜리버리는	딜리버리/NNG+는/JX
‘배달’이	‘/SS+배달/NNG+’/SS+이/JKC
아니라	아니/VCN+라/EC
‘출산’을	‘/SS+출산/NNG+’/SS+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.117.7.1
사실 ‘영혼 뒤바뀜’이라는 소재는 이제 영화와 드라마에서 흔하다.

사실	사실/MAG
‘영혼	‘/SS+영혼/NNG
뒤바뀜’이라는	뒤바뀌/VV+ㅁ/ETN+’/SS+이/VCP+라는/ETM
소재는	소재/NNG+는/JX
이제	이제/MAG
영화와	영화/NNG+와/JC
드라마에서	드라마/NNG+에서/JKB
흔하다.	흔하/VA+다/EF+./SF


