# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.371
metadata : {}


# id : NWRW1800000052.371.1.1
법원 “김무성 전 대표, 콜트악기 노조에 공개 사과해라”

법원	법원/NNG
“김무성	“/SS+김무성/NNP
전	전/MMD
대표,	대표/NNG+,/SP
콜트악기	콜트악기/NNP
노조에	노조/NNG+에/JKB
공개	공개/NNG
사과해라”	사과/NNG+하/XSV+아라/EF+”/SS


# id : NWRW1800000052.371.2.1
“강성노조 때문에 회사 망했다” 발언…김 전 대표 이달말쯤 사과 기자회견할 듯

“강성노조	“/SS+강성/NNG+노조/NNG
때문에	때문/NNB+에/JKB
회사	회사/NNG
망했다”	망하/VV+았/EP+다/EF+”/SS
발언…김	발언/NNG+…/SE+김/NNP
전	전/MMD
대표	대표/NNG
이달말쯤	이달/NNG+말/NNB+쯤/XSN
사과	사과/NNG
기자회견할	기자/NNG+회견/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000052.371.3.1
김무성 전 새누리당 대표가 “강성노조 때문에 기타 제조업체 콜트악기가 망가졌다'’고 발언한 데 대해 해당 노조에게 공개 사과하라고 법원이 결정했다.

김무성	김무성/NNP
전	전/MMD
새누리당	새누리당/NNP
대표가	대표/NNG+가/JKS
“강성노조	“/SS+강성/NNG+노조/NNG
때문에	때문/NNB+에/JKB
기타	기타/NNG
제조업체	제조업체/NNG
콜트악기가	콜트악기/NNP+가/JKS
망가졌다'’고	망가지/VV+었/EP+다/EF+'/SS+’/SS+고/JKQ
발언한	발언/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
해당	해당/NNG
노조에게	노조/NNG+에게/JKB
공개	공개/NNG
사과하라고	사과/NNG+하/XSV+라고/EC
법원이	법원/NNG+이/JKS
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.371.4.1
서울남부지법 3조정센터(상임조정위원 최재석)는 김 전 대표가 합의된 일시, 공개 장소에서 콜트악기 노조에 유감(사과)을 표명하기로 한다는 강제조정 결정을 지난달 내렸다고 16일 밝혔다.

서울남부지법	서울남부지법/NNP
3조정센터(상임조정위원	3/SN+조정/NNG+센터/NNG+(/SS+상임/NNG+조정/NNG+위원/NNG
최재석)는	최재석/NNP+)/SS+는/JX
김	김/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
합의된	합의/NNG+되/XSV+ㄴ/ETM
일시,	일시/NNG+,/SP
공개	공개/NNG
장소에서	장소/NNG+에서/JKB
콜트악기	콜트악기/NNP
노조에	노조/NNG+에/JKB
유감(사과)을	유감/NNG+(/SS+사과/NNG+)/SS+을/JKO
표명하기로	표명/NNG+하/XSV+기/ETN+로/JKB
한다는	하/VV+ㄴ다는/ETM
강제조정	강제/NNG+조정/NNG
결정을	결정/NNG+을/JKO
지난달	지난달/NNG
내렸다고	내리/VV+었/EP+다고/EC
16일	16/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.371.4.2
김 전 대표는 이에 따라 이달 말쯤 국회에서 사과 기자회견을 할 것으로 전해졌다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
이달	이달/NNG
말쯤	말/NNB+쯤/XSN
국회에서	국회/NNG+에서/JKB
사과	사과/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.371.5.1
김 전 대표는 지난해 9월3일 당 최고위원회의에서 “기업이 어려울 때 고통을 분담하기는커녕 강경 노조가 제 밥그릇 불리기에만 몰두한 결과 건실한 회사가 아예 문을 닫은 사례가 많다”며 콜트악기와 자회사 콜텍의 노조를 비판했다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
지난해	지난해/NNG
9월3일	9/SN+월/NNB+3/SN+일/NNB
당	당/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“기업이	“/SS+기업/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
때	때/NNG
고통을	고통/NNG+을/JKO
분담하기는커녕	분담/NNG+하/XSV+기/ETN+는커녕/JX
강경	강경/NNG
노조가	노조/NNG+가/JKS
제	저/NP+의/JKG
밥그릇	밥그릇/NNG
불리기에만	불리/VV+기/ETN+에/JKB+만/JX
몰두한	몰두/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
건실한	건실하/VA+ㄴ/ETM
회사가	회사/NNG+가/JKS
아예	아예/MAG
문을	문/NNG+을/JKO
닫은	닫/VV+은/ETM
사례가	사례/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
콜트악기와	콜트악기/NNP+와/JC
자회사	자회사/NNG
콜텍의	콜텍/NNP+의/JKG
노조를	노조/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.371.5.2
노조는 이에 “노조 파업 때문이 아니라 생산기지 해외 이전 등 복합적 원인이 작용해 부평공장이 문을 닫았다”라는 대법원 판단을 인용해 지난해 11월 김 전 대표를 상대로 3000만원을 배상하라며 손해배상 청구 소송을 낸 바 있다.

노조는	노조/NNG+는/JX
이에	이/NP+에/JKB
“노조	“/SS+노조/NNG
파업	파업/NNG
때문이	때문/NNB+이/JKC
아니라	아니/VCN+라/EC
생산기지	생산/NNG+기지/NNG
해외	해외/NNG
이전	이전/NNG
등	등/NNB
복합적	복합/NNG+적/XSN
원인이	원인/NNG+이/JKS
작용해	작용/NNG+하/XSV+아/EC
부평공장이	부평/NNP+공장/NNG+이/JKS
문을	문/NNG+을/JKO
닫았다”라는	닫/VV+았/EP+다/EF+”/SS+라는/ETM
대법원	대/XPN+법원/NNG
판단을	판단/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
지난해	지난해/NNG
11월	11/SN+월/NNB
김	김/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
상대로	상대/NNG+로/JKB
3000만원을	3000/SN+만/NR+원/NNB+을/JKO
배상하라며	배상/NNG+하/XSV+라며/EC
손해배상	손해/NNG+배상/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.371.5.3
올해로 10년째 복직투쟁을 벌이고 있는 콜트악기·콜텍 해고 노동자들은 지난해 10월부터 김 전 대표의 사과를 요구하며 여의도 새누리당 당사 앞에서 15일 기준 316일째 농성을 벌이고 있다.

올해로	올해/NNG+로/JKB
10년째	10/SN+년/NNB+째/XSN
복직투쟁을	복직/NNG+투쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
콜트악기·콜텍	콜트악기/NNP+·/SP+콜텍/NNP
해고	해고/NNG
노동자들은	노동자/NNG+들/XSN+은/JX
지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
김	김/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
사과를	사과/NNG+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
여의도	여의도/NNP
