# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.321
metadata : {}


# id : NWRW1800000046.321.1.1
"박상옥(대법관 후보자) 청문회 빨리 열어달라"

"박상옥(대법관	"/SS+박상옥/NNP+(/SS+대/XPN+법관/NNG
후보자)	후보자/NNG+)/SS
청문회	청문회/NNG
빨리	빨리/MAG
열어달라"	열/VV+어/EC+달/VX+라/EF+"/SS


# id : NWRW1800000046.321.2.1
대법원장, 국회의장에 친서

대법원장,	대법원장/NNG+,/SP
국회의장에	국회/NNG+의장/NNG+에/JKB
친서	친서/NNG


# id : NWRW1800000046.321.3.1
양승태〈사진〉 대법원장이 3일 정의화 국회의장에게 친서(親書)를 보내 "박상옥(59) 대법관 후보자에 대한 국회의 인사청문회가 조속히 개최될 수 있도록 도와달라"고 요청했다.

양승태〈사진〉	양승태/NNP+〈/SS+사진/NNG+〉/SS
대법원장이	대법원장/NNG+이/JKS
3일	3/SN+일/NNB
정의화	정의화/NNP
국회의장에게	국회/NNG+의장/NNG+에게/JKB
친서(親書)를	친서/NNG+(/SS+親書/SH+)/SS+를/JKO
보내	보내/VV+어/EC
"박상옥(59)	"/SS+박상옥/NNP+(/SS+59/SN+)/SS
대법관	대/XPN+법관/NNG
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국회의	국회/NNG+의/JKG
인사청문회가	인사/NNG+청문회/NNG+가/JKS
조속히	조속히/MAG
개최될	개최/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와달라"고	돕/VV+아/EC+달/VX+라/EF+"/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.321.4.1
박병대(58) 법원행정처장은 이날 오후 국회를 방문해 양 대법원장의 친서를 정 국회의장에게 전달했다.

박병대(58)	박병대/NNP+(/SS+58/SN+)/SS
법원행정처장은	법원/NNG+행정처장/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
국회를	국회/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
양	양/MMN
대법원장의	대법원장/NNG+의/JKG
친서를	친서/NNG+를/JKO
정	정/NNP
국회의장에게	국회/NNG+의장/NNG+에게/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.321.4.2
양 대법원장은 친서에서 "대법원에는 연간 3만8000여건에 달하는 많은 사건이 접수되고 있고, 대법관 전원의 합의를 요하는 중요 사건들도 산적해 있어 단 한 명의 대법관이라도 결원되면 대법원 기능에 심각한 장애가 발생한다"며 이로 인한 피해는 국민에게 돌아갈 것이라고 우려했다.

양	양/NNP
대법원장은	대법원장/NNG+은/JX
친서에서	친서/NNG+에서/JKB
"대법원에는	"/SS+대/XPN+법원/NNG+에/JKB+는/JX
연간	연간/NNG
3만8000여건에	3/SN+만/NR+8000/SN+여/XSN+건/NNB+에/JKB
달하는	달하/VV+는/ETM
많은	많/VA+은/ETM
사건이	사건/NNG+이/JKS
접수되고	접수/NNG+되/XSV+고/EC
있고,	있/VX+고/EC+,/SP
대법관	대/XPN+법관/NNG
전원의	전원/NNG+의/JKG
합의를	합의/NNG+를/JKO
요하는	요하/VV+는/ETM
중요	중요/NNG
사건들도	사건/NNG+들/XSN+도/JX
산적해	산적/NNG+하/XSV+아/EC
있어	있/VX+어/EC
단	단/MMA
한	한/MMN
명의	명/NNB+의/JKG
대법관이라도	대/XPN+법관/NNG+이/VCP+라도/EC
결원되면	결원/NNG+되/XSV+면/EC
대법원	대/XPN+법원/NNG
기능에	기능/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
장애가	장애/NNG+가/JKS
발생한다"며	발생/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
피해는	피해/NNG+는/JX
국민에게	국민/NNG+에게/JKB
돌아갈	돌아가/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.321.4.3
양 대법원장은 이어 "헌법은 '대법관은 대법원장의 제청으로 국회 동의를 받아 대통령이 임명하도록 한다'고 정하고 있다"며 "각 헌법 기관은 각자 맡은 절차를 조속히 처리함으로써 국민의 재판받을 권리가 보장되도록 최선을 다할 헌법적 책무가 있다고 믿는다"고 강조했다.

양	양/NNP
대법원장은	대법원장/NNG+은/JX
이어	이어/MAG
"헌법은	"/SS+헌법/NNG+은/JX
'대법관은	'/SS+대/XPN+법관/NNG+은/JX
대법원장의	대법원장/NNG+의/JKG
제청으로	제청/NNG+으로/JKB
국회	국회/NNG
동의를	동의/NNG+를/JKO
받아	받/VV+아/EC
대통령이	대통령/NNG+이/JKS
임명하도록	임명/NNG+하/XSV+도록/EC
한다'고	하/VX+ㄴ다/EF+'/SS+고/JKQ
정하고	정하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"각	"/SS+각/MMD
헌법	헌법/NNG
기관은	기관/NNG+은/JX
각자	각자/MAG
맡은	맡/VV+은/ETM
절차를	절차/NNG+를/JKO
조속히	조속히/MAG
처리함으로써	처리/NNG+하/XSV+ㅁ/ETN+으로써/JKB
국민의	국민/NNG+의/JKG
재판받을	재판/NNG+받/XSV+을/ETM
권리가	권리/NNG+가/JKS
보장되도록	보장/NNG+되/XSV+도록/EC
최선을	최선/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
헌법적	헌법/NNG+적/XSN
책무가	책무/NNG+가/JKS
있다고	있/VA+다고/EC
믿는다"고	믿/VV+는다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.321.4.4
또 "대법관 공백 없이 사법부의 사명을 다할 수 있도록 대법관 임명 동의 절차를 조속히 진행해 주시길 요청한다"고 호소했다.

또	또/MAG
"대법관	"/SS+대/XPN+법관/NNG
공백	공백/NNG
없이	없이/MAG
사법부의	사법부/NNG+의/JKG
사명을	사명/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
대법관	대/XPN+법관/NNG
임명	임명/NNG
동의	동의/NNG
절차를	절차/NNG+를/JKO
조속히	조속히/MAG
진행해	진행/NNG+하/XSV+아/EC
주시길	주/VX+시/EP+기/ETN+ㄹ/JKO
요청한다"고	요청/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.321.5.1
이에 대해 정 의장은 박병대 처장에게 "사법부에서 청문회를 요청했는데, 국회가 청문회를 해서 결과를 통보하는 것이 예의를 갖추는 것"이라며 "가능하면 3월 초 '원포인트' 본회의를 해서 의결하고, 최악의 경우에는 4월 첫주쯤 마무리하는 게 예의"라고 대답했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
정	정/NNP
의장은	의장/NNG+은/JX
박병대	박병대/NNP
처장에게	처장/NNG+에게/JKB
