# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.91
metadata : {}


# id : NWRW1800000030.91.1.1
'천사 청년' 하늘에서 졸업장 받다

'천사	'/SS+천사/NNG
청년'	청년/NNG+'/SS
하늘에서	하늘/NNG+에서/JKB
졸업장	졸업장/NNG
받다	받/VV+다/EF


# id : NWRW1800000030.91.2.1
•서울대, 탄자니아 봉사 갔다 숨진 이용준씨에게 명예졸업장

•서울대,	•/SW+서울대/NNP+,/SP
탄자니아	탄자니아/NNP
봉사	봉사/NNG
갔다	가/VV+았/EP+다/EC
숨진	숨지/VV+ㄴ/ETM
이용준씨에게	이용준/NNP+씨/NNB+에게/JKB
명예졸업장	명예/NNG+졸업장/NNG


# id : NWRW1800000030.91.3.1
아프리카 마사이족 아이들을 위한 학교를 설계하기 위해 지난해 탄자니아에 갔다가 안타깝게 숨진 고(故) 이용준(당시 24세·서울대 건축학과 5년)씨〈본지 2010년 9월 16일자 A13면〉에게 서울대가 명예졸업장을 주기로 했다.

아프리카	아프리카/NNP
마사이족	마사이족/NNG
아이들을	아이/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
학교를	학교/NNG+를/JKO
설계하기	설계/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난해	지난해/NNG
탄자니아에	탄자니아/NNP+에/JKB
갔다가	가/VV+았/EP+다가/EC
안타깝게	안타깝/VA+게/EC
숨진	숨지/VV+ㄴ/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
이용준(당시	이용준/NNP+(/SS+당시/NNG
24세·서울대	24/SN+세/NNB+·/SP+서울대/NNP
건축학과	건축학과/NNG
5년)씨〈본지	5/SN+년/NNB+)/SS+씨/NNB+〈/SS+본지/NNG
2010년	2010/SN+년/NNB
9월	9/SN+월/NNB
16일자	16/SN+일/NNB+자/NNG
A13면〉에게	A/SL+13/SN+면/NNG+〉/SS+에게/JKB
서울대가	서울대/NNP+가/JKS
명예졸업장을	명예/NNG+졸업장/NNG+을/JKO
주기로	주/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.91.4.1
이씨는 지난해 7월 탄자니아 킬리만자로 지역 보마 응옴베(Boma Ngombe)마을에 학교를 설계하려고 출국했다가 탄자니아 북동부 탕가 지역 바닷가에서 심장마비로 숨졌다.

이씨는	이/NNP+씨/NNB+는/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
탄자니아	탄자니아/NNP
킬리만자로	킬리만자로/NNP
지역	지역/NNG
보마	보마/NNP
응옴베(Boma	응옴베/NNP+(/SS+Boma/SL
Ngombe)마을에	Ngombe/SL+)/SS+마을/NNG+에/JKB
학교를	학교/NNG+를/JKO
설계하려고	설계/NNG+하/XSV+려고/EC
출국했다가	출국/NNG+하/XSV+았/EP+다가/EC
북동부	북동부/NNG
탕가	탕가/NNP
바닷가에서	바닷가/NNG+에서/JKB
심장마비로	심장/NNG+마비/NNG+로/JKB
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.91.4.2
당시 이씨는 학생 600여 명이 공부할 교실 15개와 책 1만5000권을 소장할 수 있는 도서관을 갖춘 중·고등학교 조감도를 만들고 있었다.

당시	당시/NNG
이씨는	이/NNP+씨/NNB+는/JX
학생	학생/NNG
600여	600/SN+여/XSN
명이	명/NNB+이/JKS
공부할	공부/NNG+하/XSV+ㄹ/ETM
교실	교실/NNG
15개와	15/SN+개/NNB+와/JKB
책	책/NNG
1만5000권을	1/SN+만/NR+5000/SN+권/NNB+을/JKO
소장할	소장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
도서관을	도서관/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
중·고등학교	중·고등학교/NNG
조감도를	조감도/NNG+를/JKO
만들고	만들/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.91.5.1
이씨는 대학 1학년이던 2006년 여름방학 때 탄자니아에 간 뒤 네 차례나 가서 우물 파기, 태양광발전판 설치, 유치원생 교육 같은 봉사활동을 했다.

이씨는	이/NNP+씨/NNB+는/JX
대학	대학/NNG
1학년이던	1/SN+학년/NNG+이/VCP+던/ETM
2006년	2006/SN+년/NNB
여름방학	여름/NNG+방학/NNG
때	때/NNG
탄자니아에	탄자니아/NNP+에/JKB
간	가/VV+ㄴ/ETM
뒤	뒤/NNG
네	네/MMN
차례나	차례/NNG+나/JX
가서	가/VV+아서/EC
우물	우물/NNG
파기,	파/VV+기/ETN+,/SP
태양광발전판	태양광/NNG+발전/NNG+판/NNG
설치,	설치/NNG+,/SP
유치원생	유치원/NNG+생/XSN
교육	교육/NNG
같은	같/VA+은/ETM
봉사활동을	봉사/NNG+활동/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.91.5.2
이씨를 가족처럼 여겼던 현지인들은 "(사망한 이씨를) 자주 봐야 한다"며 유치원과 병원 예정지 사이에 그를 묻고, 그가 설계해 만든 초등학교 식당에서 이씨 가족과 장례를 치렀다.

이씨를	이/NNP+씨/NNB+를/JKO
가족처럼	가족/NNG+처럼/JKB
여겼던	여기/VV+었/EP+던/ETM
현지인들은	현지인/NNG+들/XSN+은/JX
