# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.355
metadata : {}


# id : NWRW1800000028.355.1.1
재벌총수 지분율 떨어져도 /계열사 장악력은 그대로

재벌총수	재벌/NNG+총수/NNG
지분율	지분/NNG+율/XSN
떨어져도	떨어지/VV+어도/EC
/계열사	//SP+계열사/NNG
장악력은	장악력/NNG+은/JX
그대로	그대로/MAG


# id : NWRW1800000028.355.2.1
재벌 총수가 보유한 개인지분율은 2%대이지만 계열사간 순환출자 등을 통해 지배권을 행사하는 내부지분율은 50%를 웃도는 등 국내 대기업집단의 소유-지배간 괴리현상이 여전한 것으로 나타났다.

재벌	재벌/NNG
총수가	총수/NNG+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
개인지분율은	개인/NNG+지분/NNG+율/XSN+은/JX
2%대이지만	2/SN+%/SW+대/XSN+이/VCP+지만/EC
계열사간	계열사/NNG+간/NNB
순환출자	순환/NNG+출자/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
지배권을	지배/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
내부지분율은	내부/NNG+지분/NNG+율/XSN+은/JX
50%를	50/SN+%/SW+를/JKO
웃도는	웃돌/VV+는/ETM
등	등/NNB
국내	국내/NNG
대기업집단의	대/XPN+기업/NNG+집단/NNG+의/JKG
소유-지배간	소유/NNG+-/SO+지배/NNG+간/XSN
괴리현상이	괴리/NNG+현상/NNG+이/JKS
여전한	여전하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.355.2.2
또 이른바 ‘대기업 물량 몰아주기’의 혜택을 누릴 가능성이 높은 총수일가 100% 소유의 계열사 수도 지난해보다 늘었다.

또	또/MAG
이른바	이른바/MAG
‘대기업	‘/SS+대/XPN+기업/NNG
물량	물량/NNG
몰아주기’의	몰아주기/NNG+’/SS+의/JKG
혜택을	혜택/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
총수일가	총수/NNG+일가/NNG
100%	100/SN+%/SW
소유의	소유/NNG+의/JKG
계열사	계열사/NNG
수도	수/NNG+도/JX
지난해보다	지난해/NNG+보다/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.355.3.1
11일 공정거래위원회가 발표한 ‘2010년 대기업집단 주식소유현황’을 보면, 올해 4월1일 기준으로 총수가 있는 2년 연속 상호출자제한기업집단 31개 그룹의 총수 개인과 그 일가의 지분율은 각각 지난해보다 0.02%포인트와 0.19%포인트 감소한 2.01%와 4.34%였다.

11일	11/SN+일/NNB
공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘2010년	‘/SS+2010/SN+년/NNB
대기업집단	대/XPN+기업/NNG+집단/NNG
주식소유현황’을	주식/NNG+소유/NNG+현황/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
올해	올해/NNG
4월1일	4/SN+월/NNB+1/SN+일/NNB
기준으로	기준/NNG+으로/JKB
총수가	총수/NNG+가/JKS
있는	있/VA+는/ETM
2년	2/SN+년/NNB
연속	연속/NNG
상호출자제한기업집단	상호/NNG+출자/NNG+제한/NNG+기업/NNG+집단/NNG
31개	31/SN+개/NNB
그룹의	그룹/NNG+의/JKG
총수	총수/NNG
개인과	개인/NNG+과/JC
그	그/MMD
일가의	일가/NNG+의/JKG
지분율은	지분/NNG+율/XSN+은/JX
각각	각각/MAG
지난해보다	지난해/NNG+보다/JKB
