# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.387
metadata : {}


# id : NWRW1800000044.387.1.1
진보당 정당해산 심판 다시 관심 고조

진보당	진보당/NNP
정당해산	정당/NNG+해산/NNG
심판	심판/NNG
다시	다시/MAG
관심	관심/NNG
고조	고조/NNG


# id : NWRW1800000044.387.2.1
[한겨레] 국감서 “연내 하겠다는 거냐” 질문에

[한겨레]	[/SS+한겨레/NNP+]/SS
국감서	국감/NNG+서/JKB
“연내	“/SS+연내/NNG
하겠다는	하/VV+겠/EP+다는/ETM
거냐”	거/NNB+이/VCP+냐/EF+”/SS
질문에	질문/NNG+에/JKB


# id : NWRW1800000044.387.3.1
헌재소장 “최대한 빨리 하겠다는 뜻”

헌재소장	헌재/NNG+소장/NNG
“최대한	“/SS+최대한/MAG
빨리	빨리/MAG
하겠다는	하/VV+겠/EP+다는/ETM
뜻”	뜻/NNG+”/SS


# id : NWRW1800000044.387.4.1
내년초 결정 나올 가능성

내년초	내년/NNG+초/NNB
결정	결정/NNG
나올	나오/VV+ㄹ/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000044.387.5.1
# 1. 17일 국회 법제사법위원회가 헌법재판소 국정감사를 했다.

#	#/SW
1.	1/SN+./SP
17일	17/SN+일/NNB
국회	국회/NNG
법제사법위원회가	법제/NNG+사법/NNG+위원회/NNG+가/JKS
헌법재판소	헌법/NNG+재판소/NNG
국정감사를	국정/NNG+감사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.387.5.2
점심식사 시간에 박한철 헌법재판소장이 건배사를 하며 통합진보당 정당해산 심의를 신속히 하겠다고 했다.

점심식사	점심/NNG+식사/NNG
시간에	시간/NNG+에/JKB
박한철	박한철/NNP
헌법재판소장이	헌법재판소장/NNG+이/JKS
건배사를	건배사/NNG+를/JKO
하며	하/VV+며/EC
통합진보당	통합진보당/NNP
정당해산	정당/NNG+해산/NNG
심의를	심의/NNG+를/JKO
신속히	신속히/MAG
하겠다고	하/VV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.387.5.3
‘확정적으로 말할 수는 없지만 연내에 선고가 이뤄지지 않겠느냐’는 말도 했다.

‘확정적으로	‘/SS+확정/NNG+적/XSN+으로/JKB
말할	말/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
연내에	연내/NNG+에/JKB
선고가	선고/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않겠느냐’는	않/VX+겠/EP+느냐/EF+’/SS+는/ETM
말도	말/NNG+도/JX
