# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.30
metadata : {}


# id : NWRW1800000049.30.1.1
수출첫걸음 종합대전, 현장계약만 20건 성과

수출첫걸음	수출/NNG+첫걸음/NNG
종합대전,	종합/NNG+대전/NNG+,/SP
현장계약만	현장/NNG+계약/NNG+만/JX
20건	20/SN+건/NNB
성과	성과/NNG


# id : NWRW1800000049.30.2.1
해외 50개국 바이어 찾아 1500건 상담

해외	해외/NNG
50개국	50/SN+개국/NNB
바이어	바이어/NNG
찾아	찾/VV+아/EC
1500건	1500/SN+건/NNB
상담	상담/NNG


# id : NWRW1800000049.30.3.1
씨감자, 파프리카 등의 모종산업 원천기술을 확보한 ‘마고플랜츠’.

씨감자,	씨감자/NNG+,/SP
파프리카	파프리카/NNG
등의	등/NNB+의/JKG
모종산업	모종/NNG+산업/NNG
원천기술을	원천/NNG+기술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
‘마고플랜츠’.	‘/SS+마고플랜츠/NNP+’/SS+./SF


# id : NWRW1800000049.30.3.2
1998년 설립 후 지금까지는 내수기업에 머물렀지만 올해 들어 수출기업으로 변모했다.

1998년	1998/SN+년/NNB
설립	설립/NNG
후	후/NNG
지금까지는	지금/NNG+까지/JX+는/JX
내수기업에	내수/NNG+기업/NNG+에/JKB
머물렀지만	머무르/VV+었/EP+지만/EC
올해	올해/NNG
들어	들/VV+어/EC
수출기업으로	수출/NNG+기업/NNG+으로/JKB
변모했다.	변모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.30.4.1
30일 산업통상자원부와 KOTRA가 서울 강남구 코엑스에서 개최한 ‘2016 수출 첫걸음 종합대전’ 행사에서 마고플랜츠는 러시아 사업자와 씨감자 생산 및 기술 수출 합작사인 ‘마고플랜츠-보스톡’의 설립 계약을 체결했다.

30일	30/SN+일/NNB
산업통상자원부와	산업/NNG+통상/NNG+자원부/NNG+와/JC
KOTRA가	KOTRA/SL+가/JKS
서울	서울/NNP
강남구	강남구/NNP
코엑스에서	코엑스/NNP+에서/JKB
개최한	개최/NNG+하/XSV+ㄴ/ETM
‘2016	‘/SS+2016/SN
수출	수출/NNG
첫걸음	첫걸음/NNG
종합대전’	종합/NNG+대전/NNG+’/SS
행사에서	행사/NNG+에서/JKB
마고플랜츠는	마고플랜츠/NNP+는/JX
러시아	러시아/NNP
사업자와	사업자/NNG+와/JKB
씨감자	씨감자/NNG
생산	생산/NNG
및	및/MAG
기술	기술/NNG
합작사인	합작사/NNG+이/VCP+ㄴ/ETM
‘마고플랜츠-보스톡’의	‘/SS+마고플랜츠/NNP+-/SO+보스톡/NNP+’/SS+의/JKG
설립	설립/NNG
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.30.4.2
마고플랜츠는 기술이전료 300만 달러, 합작사 지분 30%를 취득하게 된다.

마고플랜츠는	마고플랜츠/NNP+는/JX
기술이전료	기술/NNG+이전료/NNG
300만	300/SN+만/NR
달러,	달러/NNB+,/SP
합작사	합작사/NNG
지분	지분/NNG
30%를	30/SN+%/SW+를/JKO
취득하게	취득/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.30.5.1
이 회사는 2019년 서울시 면적(약 605km²)보다 더 넓은 800km²의 경작지에서 연간 30만 t의 씨감자를 생산할 예정이다.

이	이/MMD
회사는	회사/NNG+는/JX
2019년	2019/SN+년/NNB
서울시	서울시/NNP
면적(약	면적/NNG+(/SS+약/MMA
605km²)보다	605/SN+km²/SW+)/SS+보다/JKB
더	더/MAG
넓은	넓/VA+은/ETM
800km²의	800/SN+km²/SW+의/JKG
경작지에서	경작지/NNG+에서/JKB
연간	연간/NNG
30만	30/SN+만/NR
t의	t/SW+의/JKG
씨감자를	씨감자/NNG+를/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.30.5.2
민준기 마고플랜츠 대표이사는 “KOTRA 수출전문위원의 자문으로 계약을 순조롭게 마쳤다”며 “앞으로 중국, 필리핀 등에도 진출할 것”이라고 밝혔다.

민준기	민준기/NNP
마고플랜츠	마고플랜츠/NNP
대표이사는	대표/NNG+이사/NNG+는/JX
“KOTRA	“/SS+KOTRA/SL
수출전문위원의	수출/NNG+전문/NNG+위원/NNG+의/JKG
자문으로	자문/NNG+으로/JKB
계약을	계약/NNG+을/JKO
순조롭게	순조/NNG+롭/XSA+게/EC
마쳤다”며	마치/VV+었/EP+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
중국,	중국/NNP+,/SP
필리핀	필리핀/NNP
등에도	등/NNB+에/JKB+도/JX
진출할	진출/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.30.5.3
이날 총 20개사가 수출계약 및 양해각서(MOU)를 체결했다.

이날	이날/NNG
총	총/MMA
20개사가	20/SN+개사/NNB+가/JKS
수출계약	수출/NNG+계약/NNG
및	및/MAG
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.30.6.1
