# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.147
metadata : {}


# id : NWRW1800000041.147.1.1
중국내 한국영화 불법 이용률 41%… 태국선 무려 95% 달해

중국내	중국/NNP+내/NNB
한국영화	한국/NNP+영화/NNG
불법	불법/NNG
이용률	이용/NNG+률/XSN
41%…	41/SN+%/SW+…/SE
태국선	태국/NNP+서/JKB+ㄴ/JX
무려	무려/MAG
95%	95/SN+%/SW
달해	달하/VV+아/EF


# id : NWRW1800000041.147.2.1
해외서 줄줄 새는 ‘한류’

해외서	해외/NNG+서/JKB
줄줄	줄줄/MAG
새는	새/VV+는/ETM
‘한류’	‘/SS+한류/NNG+’/SS


# id : NWRW1800000041.147.3.1
21세기 폭스, 워너브러더스 등 미국 주요 영화와 드라마 제작사들이 최근 국내의 미드(미국 드라마) 자막 제작자를 집단 고소했다.

21세기	21/SN+세기/NNG
폭스,	폭스/NNP+,/SP
워너브러더스	워너브러더스/NNP
등	등/NNB
미국	미국/NNP
주요	주요/NNG
영화와	영화/NNG+와/JC
드라마	드라마/NNG
제작사들이	제작사/NNG+들/XSN+이/JKS
최근	최근/MAG
국내의	국내/NNG+의/JKG
미드(미국	미드/NNG+(/SS+미국/NNP
드라마)	드라마/NNG+)/SS
자막	자막/NNG
제작자를	제작자/NNG+를/JKO
집단	집단/NNG
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.147.3.2
동의 없이 자막을 만들고 공유해 저작권을 침해했다는 이유에서다.

동의	동의/NNG
없이	없이/MAG
자막을	자막/NNG+을/JKO
만들고	만들/VV+고/EC
공유해	공유/NNG+하/XSV+아/EC
저작권을	저작/NNG+권/XSN+을/JKO
침해했다는	침해/NNG+하/XSV+았/EP+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000041.147.3.3
일본 정부도 자국의 대형 출판사 30곳과 공동으로 한국 중국 스페인 등 전 세계 약 300개 사이트에 불법 유통된 일본만화를 삭제해달라고 요청했다.

일본	일본/NNP
정부도	정부/NNG+도/JX
자국의	자국/NNG+의/JKG
대형	대형/NNG
출판사	출판사/NNG
30곳과	30/SN+곳/NNG+과/JKB
공동으로	공동/NNG+으로/JKB
한국	한국/NNP
중국	중국/NNP
스페인	스페인/NNP
등	등/NNB
전	전/MMN
세계	세계/NNG
약	약/MMA
300개	300/SN+개/NNB
사이트에	사이트/NNG+에/JKB
불법	불법/NNG
유통된	유통/NNG+되/XSV+ㄴ/ETM
일본만화를	일본/NNP+만화/NNG+를/JKO
삭제해달라고	삭제/NNG+하/XSV+아/EC+달/VX+라고/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.147.4.1
한국도 케이팝 등 한류 콘텐츠가 큰 인기를 끌면서 세계 곳곳에서 불법 유통의 피해를 입고 있다.

한국도	한국/NNP+도/JX
케이팝	케이팝/NNG
등	등/NNB
한류	한류/NNG
콘텐츠가	콘텐츠/NNG+가/JKS
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌면서	끌/VV+면서/EC
세계	세계/NNG
곳곳에서	곳곳/NNG+에서/JKB
불법	불법/NNG
유통의	유통/NNG+의/JKG
피해를	피해/NNG+를/JKO
입고	입/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.147.4.2
올 2월 드라마 ‘동이’를 비롯한 62편의 한국 드라마가 중국 내 동영상 사이트에 불법 방영되자 한국 정부가 삭제 요청서를 보내 70∼80%가 삭제됐다.

올	올/NNG
2월	2/SN+월/NNB
드라마	드라마/NNG
‘동이’를	‘/SS+동이/NNP+’/SS+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
62편의	62/SN+편/NNB+의/JKG
한국	한국/NNP
드라마가	드라마/NNG+가/JKS
중국	중국/NNP
내	내/NNB
동영상	동영상/NNG
사이트에	사이트/NNG+에/JKB
불법	불법/NNG
방영되자	방영/NNG+되/XSV+자/EC
정부가	정부/NNG+가/JKS
삭제	삭제/NNG
요청서를	요청서/NNG+를/JKO
보내	보내/VV+어/EC
70∼80%가	70/SN+∼/SO+80/SN+%/SW+가/JKS
삭제됐다.	삭제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.147.4.3
같은 시기 ‘늑대소년’ 등 한국 영화 10여 편도 중국 콘텐츠 사이트에서 불법 유통됐다.

같은	같/VA+은/ETM
시기	시기/NNG
‘늑대소년’	‘/SS+늑대소년/NNP+’/SS
등	등/NNB
한국	한국/NNP
영화	영화/NNG
10여	10/SN+여/XSN
편도	편/NNB+도/JX
중국	중국/NNP
콘텐츠	콘텐츠/NNG
사이트에서	사이트/NNG+에서/JKB
불법	불법/NNG
유통됐다.	유통/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.147.5.1
한국저작권위원회가 2012, 2013년 한류 인기 국가의 콘텐츠 이용실태를 조사한 결과 중국 내 온라인에서 한국 영화의 불법이용 비율은 41%나 됐다.

한국저작권위원회가	한국저작권위원회/NNP+가/JKS
2012,	2012/SN+,/SP
2013년	2013/SN+년/NNB
