# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.354
metadata : {}


# id : NWRW1800000045.354.1.1
6일 60주년 현충일, 1초만이라도… 그분들을 생각해주세요

6일	6/SN+일/NNB
60주년	60/SN+주년/NNB
현충일,	현충일/NNG+,/SP
1초만이라도…	1/SN+초/NNB+만/NNB+이/VCP+라도/EC+…/SE
그분들을	그분/NP+들/XSN+을/JKO
생각해주세요	생각/NNG+하/XSV+아/EC+주/VX+시/EP+어요/EF


# id : NWRW1800000045.354.2.1
연평해전 참전 권기형씨의 소망

연평해전	연평/NNP+해전/NNG
참전	참전/NNG
권기형씨의	권기형/NNP+씨/NNB+의/JKG
소망	소망/NNG


# id : NWRW1800000045.354.3.1
빗발치는 총탄, 속절없이 쓰러지는 전우들의 비명과 고함….

빗발치는	빗발치/VV+는/ETM
총탄,	총탄/NNG+,/SP
속절없이	속절없이/MAG
쓰러지는	쓰러지/VV+는/ETM
전우들의	전우/NNG+들/XSN+의/JKG
비명과	비명/NNG+과/JC
고함….	고함/NNG+…/SE+./SF


# id : NWRW1800000045.354.3.2
생지옥이 따로 없었다.

생지옥이	생/XPN+지옥/NNG+이/JKS
따로	따로/MAG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.354.3.3
30분의 교전이 끝난 참수리 357호는 참혹했다.

30분의	30/SN+분/NNB+의/JKG
교전이	교전/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
참수리	참수리/NNG
357호는	357/SN+호/NNB+는/JX
참혹했다.	참혹/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.354.3.4
피 흘리며 신음하는 전우들을 챙기느라 내 몸에 박힌 파편의 고통조차 느낄 수 없었다.

피	피/NNG
흘리며	흘리/VV+며/EC
신음하는	신음/NNG+하/XSV+는/ETM
전우들을	전우/NNG+들/XSN+을/JKO
챙기느라	챙기/VV+느라/EC
내	나/NP+의/JKG
몸에	몸/NNG+에/JKB
박힌	박히/VV+ㄴ/ETM
파편의	파편/NNG+의/JKG
고통조차	고통/NNG+조차/JX
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.354.4.1
2002년 6월 29일 연평도 북방한계선에서 발생한 제2연평해전 참전 용사인 권기형 씨(34·사진)에게 연평해전은 13년이 지났지만 아직도 현재 진행형이다.

2002년	2002/SN+년/NNB
6월	6/SN+월/NNB
29일	29/SN+일/NNB
연평도	연평도/NNP
북방한계선에서	북방/NNG+한계선/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
제2연평해전	제/XPN+2/SN+연평/NNP+해전/NNG
참전	참전/NNG
용사인	용사/NNG+이/VCP+ㄴ/ETM
권기형	권기형/NNP
씨(34·사진)에게	씨/NNB+(/SS+34/SN+·/SP+사진/NNG+)/SS+에게/JKB
연평해전은	연평/NNP+해전/NNG+은/JX
13년이	13/SN+년/NNB+이/JKS
지났지만	지나/VV+았/EP+지만/EC
