# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.200
metadata : {}


# id : NWRW1800000038.200.1.1
또 등장한 竹棒(죽봉)… '폭력버스' 시위꾼에 습격당한 울산 현대車

또	또/MAG
등장한	등장/NNG+하/XSV+ㄴ/ETM
竹棒(죽봉)…	竹棒/SH+(/SS+죽봉/NNG+)/SS+…/SE
'폭력버스'	'/SS+폭력/NNG+버스/NNG+'/SS
시위꾼에	시위/NNG+꾼/XSN+에/JKB
습격당한	습격/NNG+당하/XSV+ㄴ/ETM
울산	울산/NNP
현대車	현대/NNP+車/SH


# id : NWRW1800000038.200.2.1
버스시위대, 지난 주말 공장 진입하다 회사측·경찰과 충돌

버스시위대,	버스/NNG+시위대/NNG+,/SP
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
공장	공장/NNG
진입하다	진입/NNG+하/XSV+다/EC
회사측·경찰과	회사/NNG+측/NNB+·/SP+경찰/NNG+과/JKB
충돌	충돌/NNG


# id : NWRW1800000038.200.3.1
지난 20일 열린 울산 현대차 버스시위대(일명 '현대차 비정규직 희망버스') 집회가 노사 간 충돌로 100여명이 넘게 다치는 폭력 사태로 번졌다.

지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
열린	열리/VV+ㄴ/ETM
울산	울산/NNP
현대차	현대차/NNP
버스시위대(일명	버스/NNG+시위대/NNG+(/SS+일명/NNG
'현대차	'/SS+현대차/NNP
비정규직	비/XPN+정규직/NNG
희망버스')	희망/NNG+버스/NNG+'/SS+)/SS
집회가	집회/NNG+가/JKS
노사	노사/NNG
간	간/NNB
충돌로	충돌/NNG+로/JKB
100여명이	100/SN+여/XSN+명/NNB+이/JKS
넘게	넘/VV+게/EC
다치는	다치/VV+는/ETM
폭력	폭력/NNG
사태로	사태/NNG+로/JKB
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.200.4.1
