# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.273
metadata : {}


# id : NWRW1800000022.273.1.1
포스코, 멕시코에 '철강의 꽃' 피운다;해외 첫 車강판 공장 준공… "북중미 시장 공략"

포스코,	포스코/NNP+,/SP
멕시코에	멕시코/NNP+에/JKB
'철강의	'/SS+철강/NNG+의/JKG
꽃'	꽃/NNG+'/SS
피운다;해외	피우/VV+ㄴ다/EF+;/SP+해외/NNG
첫	첫/MMN
車강판	車/SH+강판/NNG
공장	공장/NNG
준공…	준공/NNG+…/SE
"북중미	"/SS+북중미/NNP
시장	시장/NNG
공략"	공략/NNG+"/SS


# id : NWRW1800000022.273.2.1
포스코가 세계 최대의 자동차시장이자 자동차업체들의 최고 격전지인 북중미 지역에 자동차강판 생산 공장을 건설했다.

포스코가	포스코/NNP+가/JKS
세계	세계/NNG
최대의	최대/NNG+의/JKG
자동차시장이자	자동차/NNG+시장/NNG+이/VCP+자/EC
자동차업체들의	자동차/NNG+업체/NNG+들/XSN+의/JKG
최고	최고/NNG
격전지인	격전지/NNG+이/VCP+ㄴ/ETM
북중미	북중미/NNP
지역에	지역/NNG+에/JKB
자동차강판	자동차/NNG+강판/NNG
생산	생산/NNG
공장을	공장/NNG+을/JKO
건설했다.	건설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.2.2
이로써 포스코는 기존의 가공·판매센터까지 합쳐 북중미 지역에 자동차강판 일관공급 체제를 완성했다.

이로써	이/NP+로써/JKB
포스코는	포스코/NNP+는/JX
기존의	기존/NNG+의/JKG
가공·판매센터까지	가공/NNG+·/SP+판매/NNG+센터/NNG+까지/JX
합쳐	합치/VV+어/EC
북중미	북중미/NNP
지역에	지역/NNG+에/JKB
자동차강판	자동차/NNG+강판/NNG
일관공급	일관/NNG+공급/NNG
체제를	체제/NNG+를/JKO
완성했다.	완성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.3.1
포스코는 7일(현지시각 6일) 멕시코 동부의 알타미라시 인근에 펠리페 칼데론 멕시코 대통령과 에르난데스 플로레스 타마울리파스 주지사 등 멕시코 정부 인사와 정준양 회장 등 포스코 관계자 300여명이 참석한 가운데 자동차용 고급강판 소재인 CGL(연속용융아연 도금강판) 공장 준공식을 가졌다.

포스코는	포스코/NNP+는/JX
7일(현지시각	7/SN+일/NNB+(/SS+현지/NNG+시각/NNG
6일)	6/SN+일/NNB+)/SS
멕시코	멕시코/NNP
동부의	동부/NNG+의/JKG
알타미라시	알타미라시/NNP
인근에	인근/NNG+에/JKB
펠리페	펠리페/NNP
칼데론	칼데론/NNP
대통령과	대통령/NNG+과/JC
