# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.161
metadata : {}


# id : NWRW1800000026.161.1.1
[수도권] 뇌성마비 시인들, 세상 창문을 열다;詩로 노래가사 만들어 음반 발표 전문 작곡가·가수가 도와

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
뇌성마비	뇌성/NNG+마비/NNG
시인들,	시인/NNG+들/XSN+,/SP
세상	세상/NNG
창문을	창문/NNG+을/JKO
열다;詩로	열/VV+다/EF+;/SP+詩/SH+로/JKB
노래가사	노래/NNG+가사/NNG
만들어	만들/VV+어/EC
음반	음반/NNG
발표	발표/NNG
전문	전문/NNG
작곡가·가수가	작곡가/NNG+·/SP+가수/NNG+가/JKS
도와	돕/VV+아/EF


# id : NWRW1800000026.161.2.1
비오는 날 아침/ 창문 열어/ 부는 바람을 맞으니/ 미소 속의 그 말씀을 묻는 이가 있다면/ 비소리에 잦지 않는 바람소리같다 하리~

비오는	비/NNG+오/VV+는/ETM
날	날/NNG
아침/	아침/NNG+//SP
창문	창문/NNG
열어/	열/VV+어/EC+//SP
부는	불/VV+는/ETM
바람을	바람/NNG+을/JKO
맞으니/	맞/VV+으니/EC+//SP
미소	미소/NNG
속의	속/NNG+의/JKG
그	그/MMD
말씀을	말씀/NNG+을/JKO
묻는	묻/VV+는/ETM
이가	이/NNB+가/JKS
있다면/	있/VA+다면/EC+//SP
비소리에	비소리/NNG+에/JKB
잦지	잦/VA+지/EC
않는	않/VX+는/ETM
바람소리같다	바람/NNG+소리/NNG+같/VA+다/EF
하리~	하/VV+리/EF+~/SO


# id : NWRW1800000026.161.3.1
아름다운 가사를 더욱 돋보이게 한 것은 노래 한 소절 한 소절을 힘겹게 따라 부르는 사람들의 흡족한 미소였다.

아름다운	아름답/VA+ㄴ/ETM
가사를	가사/NNG+를/JKO
더욱	더욱/MAG
돋보이게	돋보이/VV+게/EC
한	한/MMN
것은	것/NNB+은/JX
노래	노래/NNG
소절	소절/NNG
소절을	소절/NNG+을/JKO
힘겹게	힘겹/VA+게/EC
따라	따르/VV+아/EC
부르는	부르/VV+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
흡족한	흡족/NNG+하/XSA+ㄴ/ETM
미소였다.	미소/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.161.3.2
지난달 18일 오후 4시 용산구 동부이촌동 '서울스투디오'.

지난달	지난달/NNG
18일	18/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
용산구	용산구/NNP
동부이촌동	동부이촌동/NNP
'서울스투디오'.	'/SS+서울스투디오/NNP+'/SS+./SF


# id : NWRW1800000026.161.3.3
가수 최현아씨가 노래 녹음을 마치자, 33㎡(10평) 남짓한 음반 녹음실 조정실에서 귀를 쫑긋 세우고 있던 최명숙(49)·이경남(52)·홍현승(19)씨가 모여들었다.

가수	가수/NNG
최현아씨가	최현아/NNP+씨/NNB+가/JKS
노래	노래/NNG
녹음을	녹음/NNG+을/JKO
마치자,	마치/VV+자/EC+,/SP
33㎡(10평)	33/SN+㎡/SW+(/SS+10/SN+평/NNB+)/SS
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
음반	음반/NNG
녹음실	녹음실/NNG
조정실에서	조정실/NNG+에서/JKB
귀를	귀/NNG+를/JKO
쫑긋	쫑긋/MAG
세우고	세우/VV+고/EC
있던	있/VX+던/ETM
최명숙(49)·이경남(52)·홍현승(19)씨가	최명숙/NNP+(/SS+49/SN+)/SS+·/SP+이경남/NNP+(/SS+52/SN+)/SS+·/SP+홍현승/NNP+(/SS+19/SN+)/SS+씨/NNB+가/JKS
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.161.4.1
"우리가 가사를 만들었으니, 한번 함께 불러볼래요?"

"우리가	"/SS+우리/NP+가/JKS
가사를	가사/NNG+를/JKO
만들었으니,	만들/VV+었/EP+으니/EC+,/SP
한번	한번/MAG
함께	함께/MAG
불러볼래요?"	부르/VV+어/EC+보/VX+ㄹ래요/EF+?/SF+"/SS


# id : NWRW1800000026.161.5.1
이들은 가수의 노래를 따라부르려 안간힘을 썼다.

이들은	이/NP+들/XSN+은/JX
가수의	가수/NNG+의/JKG
노래를	노래/NNG+를/JKO
따라부르려	따르/VV+아/EC+부르/VV+려/EC
안간힘을	안간힘/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.161.5.2
박자도 틀리고 발음도 안 맞았지만 화음만큼은 아름다웠다.

박자도	박자/NNG+도/JX
틀리고	틀리/VV+고/EC
발음도	발음/NNG+도/JX
안	안/MAG
맞았지만	맞/VV+았/EP+지만/EC
화음만큼은	화음/NNG+만큼/JKB+은/JX
아름다웠다.	아름답/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.161.5.3
이번 음반 작업에 자신들의 시(詩)로 노래 가사를 쓴 뇌성마비 장애인들이다.

이번	이번/NNG
음반	음반/NNG
작업에	작업/NNG+에/JKB
자신들의	자신/NNG+들/XSN+의/JKG
시(詩)로	시/NNG+(/SS+詩/SH+)/SS+로/JKB
노래	노래/NNG
가사를	가사/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
뇌성마비	뇌성/NNG+마비/NNG
장애인들이다.	장애인/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.161.5.4
이들의 시는 아름다운 노래로 다시 태어났다.

이들의	이/NP+들/XSN+의/JKG
시는	시/NNG+는/JX
아름다운	아름답/VA+ㄴ/ETM
노래로	노래/NNG+로/JKB
다시	다시/MAG
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.161.6.1
◆장애인 작가들의 시로 노래 만들어

◆장애인	◆/SW+장애인/NNG
작가들의	작가/NNG+들/XSN+의/JKG
시로	시/NNG+로/JKB
노래	노래/NNG
만들어	만들/VV+어/EF


# id : NWRW1800000026.161.7.1
이날 노래를 따라 부른 이들 뇌성마비 장애인들은 모두 어엿한 시인이다.

이날	이날/NNG
노래를	노래/NNG+를/JKO
따라	따르/VV+아/EC
부른	부르/VV+ㄴ/ETM
이들	이/NP+들/XSN
뇌성마비	뇌성/NNG+마비/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
모두	모두/MAG
어엿한	어엿하/VA+ㄴ/ETM
시인이다.	시인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.161.7.2
한국장애인문인협회 회원인 최씨는 이날 음반 작업을 한 '비오는 날 아침 창문을 여니'란 시를 쓴 주인공이다.

한국장애인문인협회	한국장애인문인협회/NNP
회원인	회원/NNG+이/VCP+ㄴ/ETM
최씨는	최/NNP+씨/NNB+는/JX
이날	이날/NNG
음반	음반/NNG
작업을	작업/NNG+을/JKO
한	하/VV+ㄴ/ETM
'비오는	'/SS+비/NNG+오/VV+는/ETM
날	날/NNG
아침	아침/NNG
창문을	창문/NNG+을/JKO
여니'란	열/VV+니/EC+'/SS+이/VCP+란/ETM
시를	시/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
주인공이다.	주인공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.161.7.3
1988년 첫 시집 '풀잎 뒤에 맺힌 이슬' 출간 이후 '버리지 않아도 소유한 것은 절로 떠난다' '키스하고 싶은 여자' 등 4권의 시집을 냈다.

1988년	1988/SN+년/NNB
첫	첫/MMN
시집	시집/NNG
'풀잎	'/SS+풀잎/NNG
뒤에	뒤/NNG+에/JKB
맺힌	맺히/VV+ㄴ/ETM
이슬'	이슬/NNG+'/SS
출간	출간/NNG
이후	이후/NNG
'버리지	'/SS+버리/VV+지/EC
않아도	않/VX+아도/EC
소유한	소유/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
절로	절로/MAG
떠난다'	떠나/VV+ㄴ다/EF+'/SS
'키스하고	'/SS+키스/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
여자'	여자/NNG+'/SS
등	등/NNB
4권의	4/SN+권/NNB+의/JKG
시집을	시집/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.161.7.4
홍현승군은 자운고등학교 3학년 학생으로, 전국의 각종 글짓기 대회에서 충남도지사상·불교방송사장상 등 최우수상을 휩쓴 아마추어 시인이다.

