# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.275
metadata : {}


# id : NWRW1800000049.275.1.1
[정성희의 사회탐구]굿 보스, 배드 보스

[정성희의	[/SS+정성희/NNP+의/JKG
사회탐구]굿	사회/NNG+탐구/NNG+]/SS+굿/NNG
보스,	보스/NNG+,/SP
배드	배드/NNG
보스	보스/NNG


# id : NWRW1800000049.275.2.1
제너럴 다이내믹스라는 회사에서 여성 최초로 회장이 된 린다 허드슨은 정장 몇 벌을 사면서 백화점 직원의 추천으로 스카프도 구매했다.

제너럴	제너럴/NNP
다이내믹스라는	다이내믹스/NNP+이/VCP+라는/ETM
회사에서	회사/NNG+에서/JKB
여성	여성/NNG
최초로	최초/NNG+로/JKB
회장이	회장/NNG+이/JKC
된	되/VV+ㄴ/ETM
린다	린다/NNP
허드슨은	허드슨/NNP+은/JX
정장	정장/NNG
몇	몇/NR
벌을	벌/NNB+을/JKO
사면서	사/VV+면서/EC
백화점	백화점/NNG
직원의	직원/NNG+의/JKG
추천으로	추천/NNG+으로/JKB
스카프도	스카프/NNG+도/JX
구매했다.	구매/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.275.2.2
놀라운 건 그 스카프를 매고 출근한 다음 날이었다.

놀라운	놀랍/VA+ㄴ/ETM
건	거/NNB+ㄴ/JX
그	그/MMD
스카프를	스카프/NNG+를/JKO
매고	매/VV+고/EC
출근한	출근/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.275.2.3
“열 명이 넘는 직원이 똑같은 스카프를 매고 있었다”고 그는 말한다.

“열	“/SS+열/NR
명이	명/NNB+이/JKS
넘는	넘/VV+는/ETM
직원이	직원/NNG+이/JKS
똑같은	똑같/VA+은/ETM
스카프를	스카프/NNG+를/JKO
매고	매/VV+고/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
그는	그/NP+는/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.275.2.4
이는 조직을 이끌고 있는 리더의 일거수일투족이 구성원들에게 미치는 영향이 엄청나다는 걸 보여준다.

이는	이/NP+는/JX
조직을	조직/NNG+을/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
리더의	리더/NNG+의/JKG
일거수일투족이	일거수일투족/NNG+이/JKS
구성원들에게	구성원/NNG+들/XSN+에게/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
엄청나다는	엄청나/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.275.2.5
옷차림도 이럴진대 리더의 품성이야 말할 필요조차 없다.

옷차림도	옷차림/NNG+도/JX
이럴진대	이렇/VA+ㄹ진대/EC
리더의	리더/NNG+의/JKG
품성이야	품성/NNG+이야/JX
말할	말/NNG+하/XSV+ㄹ/ETM
필요조차	필요/NNG+조차/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.275.3.1
검찰 조직에 ‘또라이’가 있어서야

검찰	검찰/NNG
조직에	조직/NNG+에/JKB
‘또라이’가	‘/SS+또라이/NNG+’/SS+가/JKS
있어서야	있/VA+어서/EC+야/JX


# id : NWRW1800000049.275.4.1
조직이론 전문가 로버트 서턴 스탠퍼드대 교수가 쓴 ‘굿 보스 배드 보스’를 보면 좋은 보스와 함께 일하는 부하들은 좋은 기회를 얻고 높은 동기가 생기며 업무 성과가 높아지고 병도 잘 안 걸린다.

조직이론	조직/NNG+이론/NNG
전문가	전문가/NNG
로버트	로버트/NNP
서턴	서턴/NNP
스탠퍼드대	스탠퍼드대/NNP
교수가	교수/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
‘굿	‘/SS+굿/NNP
보스	보스/NNP
배드	배드/NNP
보스’를	보스/NNP+’/SS+를/JKO
보면	보/VV+면/EC
좋은	좋/VA+은/ETM
보스와	보스/NNG+와/JKB
함께	함께/MAG
일하는	일/NNG+하/XSV+는/ETM
부하들은	부하/NNG+들/XSN+은/JX
기회를	기회/NNG+를/JKO
얻고	얻/VV+고/EC
높은	높/VA+은/ETM
동기가	동기/NNG+가/JKS
생기며	생기/VV+며/EC
업무	업무/NNG
성과가	성과/NNG+가/JKS
높아지고	높아지/VV+고/EC
병도	병/NNG+도/JX
잘	잘/MAG
안	안/MAG
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.275.4.2
스웨덴 남성 3122명을 상대로 10년간 추적한 결과 훌륭한 상사 밑에서 일하면 심장발작에 걸릴 확률이 20% 줄어들었다.

스웨덴	스웨덴/NNP
남성	남성/NNG
3122명을	3122/SN+명/NNB+을/JKO
상대로	상대/NNG+로/JKB
10년간	10/SN+년/NNB+간/XSN
추적한	추적/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
훌륭한	훌륭하/VA+ㄴ/ETM
상사	상사/NNG
밑에서	밑/NNG+에서/JKB
일하면	일/NNG+하/XSV+면/EC
심장발작에	심장/NNG+발작/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
20%	20/SN+%/SW
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.275.4.3
상사만 잘 만나도 인생이 활짝 필 수 있단 얘기다.

상사만	상사/NNG+만/JX
잘	잘/MAG
만나도	만나/VV+아도/EC
인생이	인생/NNG+이/JKS
활짝	활짝/MAG
필	피/VV+ㄹ/ETM
수	수/NNB
있단	있/VA+단/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.275.4.4
그러니 좋은 상사를 만나는 건 좋은 배우자를 만나는 것만큼 중요하다.

그러니	그러니/MAJ
좋은	좋/VA+은/ETM
상사를	상사/NNG+를/JKO
만나는	만나/VV+는/ETM
건	거/NNB+ㄴ/JX
배우자를	배우자/NNG+를/JKO
것만큼	것/NNB+만큼/JKB
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.275.4.5
마음 안 맞는 배우자와는 이혼이라도 할 수 있지만 상사는 그럴 수 없다는 게 비극이다.

마음	마음/NNG
안	안/MAG
맞는	맞/VV+는/ETM
배우자와는	배우자/NNG+와/JKB+는/JX
이혼이라도	이혼/NNG+이라도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
상사는	상사/NNG+는/JX
그럴	그러/VV+ㄹ/ETM
없다는	없/VA+다는/ETM
게	거/NNB+이/JKS
비극이다.	비극/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.275.5.1
새내기 검사를 향한 부장검사의 폭언과 폭행의 적나라한 실상이 드러났다.

새내기	새내기/NNG
검사를	검사/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
부장검사의	부장/NNG+검사/NNG+의/JKG
폭언과	폭언/NNG+과/JC
폭행의	폭행/NNG+의/JKG
적나라한	적나라하/VA+ㄴ/ETM
실상이	실상/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.275.5.2
김모 부장검사는 부하직원들에게 인신 모욕적인 막말을 퍼붓고 마음에 들지 않는 보고서를 구겨서 내던지며 종종 폭력도 행사했다고 한다.

김모	김/NNP+모/NP
부장검사는	부장/NNG+검사/NNG+는/JX
부하직원들에게	부하/NNG+직원/NNG+들/XSN+에게/JKB
인신	인신/NNG
모욕적인	모욕/NNG+적/XSN+이/VCP+ㄴ/ETM
막말을	막말/NNG+을/JKO
퍼붓고	퍼붓/VV+고/EC
