# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.382
metadata : {}


# id : NWRW1800000022.382.1.1
[부산·경남] 월드비즈니스센터도 주거시설 신청

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
월드비즈니스센터도	월드비즈니스센터/NNP+도/JX
주거시설	주거/NNG+시설/NNG
신청	신청/NNG


# id : NWRW1800000022.382.2.1
부산에 건설될 예정인 100층 이상 초고층 건물의 주거시설 설치 설계변경 추진이 잇따르고 있는 가운데 해운대 센텀시티에 111층 건축을 추진 중인 솔로몬그룹이 월드비즈니스센터 사업계획 변경을 신청했다.

부산에	부산/NNP+에/JKB
건설될	건설/NNG+되/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
100층	100/SN+층/NNG
이상	이상/NNG
초고층	초/XPN+고층/NNG
건물의	건물/NNG+의/JKG
주거시설	주거/NNG+시설/NNG
설치	설치/NNG
설계변경	설계/NNG+변경/NNG
추진이	추진/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
해운대	해운대/NNP
센텀시티에	센텀시티/NNP+에/JKB
111층	111/SN+층/NNG
건축을	건축/NNG+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
솔로몬그룹이	솔로몬그룹/NNP+이/JKS
월드비즈니스센터	월드비즈니스센터/NNP
사업계획	사업/NNG+계획/NNG
변경을	변경/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.382.3.1
1일 부산시와 솔로몬그룹 등에 따르면 솔로몬그룹은 지난 30일 부산시에 주거시설을 추가해 달라는 내용의 지구단위계획 변경 신청서를 제출했다.

1일	1/SN+일/NNB
부산시와	부산시/NNP+와/JC
솔로몬그룹	솔로몬그룹/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
솔로몬그룹은	솔로몬그룹/NNP+은/JX
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
부산시에	부산시/NNP+에/JKB
주거시설을	주거/NNG+시설/NNG+을/JKO
추가해	추가/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
내용의	내용/NNG+의/JKG
지구단위계획	지구/NNG+단위/NNG+계획/NNG
변경	변경/NNG
신청서를	신청서/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.382.3.2
현재 센텀시티 지구단위계획상 월드비즈니스센터부지에는 주거시설이 들어설 수 없다.

현재	현재/MAG
센텀시티	센텀시티/NNP
지구단위계획상	지구/NNG+단위/NNG+계획/NNG+상/XSN
월드비즈니스센터부지에는	월드비즈니스센터/NNP+부지/NNG+에/JKB+는/JX
주거시설이	주거/NNG+시설/NNG+이/JKS
들어설	들어서/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.382.4.1
솔로몬그룹이 제출한 신청서에는 전체면적 중 45%(500가구)를 최고급 주거시설을 지을 수 있도록 해 달라는 내용이 포함된 것으로 알려졌다.

솔로몬그룹이	솔로몬그룹/NNP+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
신청서에는	신청서/NNG+에/JKB+는/JX
전체면적	전체/NNG+면적/NNG
중	중/NNB
45%(500가구)를	45/SN+%/SW+(/SS+500/SN+가구/NNG+)/SS+를/JKO
최고급	최/XPN+고급/NNG
주거시설을	주거/NNG+시설/NNG+을/JKO
지을	짓/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VV+아/EC
달라는	달/VX+라는/ETM
내용이	내용/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.382.5.1
앞서 해운대해수욕장 인근에 추진 중인 해운대 관광리조트(118층)도 최근 해운대구청에 해운대 관광리조트 전체 건물의 45% 이하를 주거시설로 전환하는 사업계획변경 신청서를 제출했고, 중앙동에 건립 중인 부산 롯데타운(130층 이상)도 지난 5월 호텔 및 비즈니스 시설인 타워동에 고급 주거시설을 설치하기 위해 국토해양부에 공유수면 매립목적 변경을 신청한 상태다.

앞서	앞서/MAG
해운대해수욕장	해운대해수욕장/NNP
인근에	인근/NNG+에/JKB
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
해운대	해운대/NNP
관광리조트(118층)도	관광/NNG+리조트/NNG+(/SS+118/SN+층/NNG+)/SS+도/JX
최근	최근/MAG
해운대구청에	해운대구청/NNP+에/JKB
관광리조트	관광/NNG+리조트/NNG
전체	전체/NNG
건물의	건물/NNG+의/JKG
45%	45/SN+%/SW
이하를	이하/NNG+를/JKO
주거시설로	주거/NNG+시설/NNG+로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
사업계획변경	사업/NNG+계획/NNG+변경/NNG
신청서를	신청서/NNG+를/JKO
제출했고,	제출/NNG+하/XSV+았/EP+고/EC+,/SP
중앙동에	중앙동/NNP+에/JKB
건립	건립/NNG
부산	부산/NNP
롯데타운(130층	롯데타운/NNP+(/SS+130/SN+층/NNG
이상)도	이상/NNG+)/SS+도/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
호텔	호텔/NNG
및	및/MAG
비즈니스	비즈니스/NNG
시설인	시설/NNG+이/VCP+ㄴ/ETM
타워동에	타워/NNG+동/NNG+에/JKB
고급	고급/NNG
주거시설을	주거/NNG+시설/NNG+을/JKO
설치하기	설치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
국토해양부에	국토/NNG+해양부/NNG+에/JKB
공유수면	공유/NNG+수면/NNG
매립목적	매립/NNG+목적/NNG
변경을	변경/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


