# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.189
metadata : {}


# id : NWRW1800000053.189.1.1
[단독]중앙지검 ‘면세점 비리’ 수사, 특수1부에서 2부로 넘겨

[단독]중앙지검	[/SS+단독/NNG+]/SS+중앙지검/NNP
‘면세점	‘/SS+면세점/NNG
비리’	비리/NNG+’/SS
수사,	수사/NNG+,/SP
특수1부에서	특수/NNG+1/SN+부/NNG+에서/JKB
2부로	2/SN+부/NNG+로/JKB
넘겨	넘기/VV+어/EF


# id : NWRW1800000053.189.2.1
1부는 ‘靑 캐비닛 문건’ 수사 전담

1부는	1/SN+부/NNG+는/JX
‘靑	‘/SS+靑/SH
캐비닛	캐비닛/NNG
문건’	문건/NNG+’/SS
수사	수사/NNG
전담	전담/NNG


# id : NWRW1800000053.189.3.1
국정 농단 사건 추가 수사의 실마리가 될 가능성이 큰 박근혜 정부의 면세점 사업자 선정 비리 의혹 사건을 서울중앙지검 특수2부(부장 송경호)가 맡는다.

국정	국정/NNG
농단	농단/NNG
사건	사건/NNG
추가	추가/NNG
수사의	수사/NNG+의/JKG
실마리가	실마리/NNG+가/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
면세점	면세점/NNG
사업자	사업자/NNG
선정	선정/NNG
비리	비리/NNG
의혹	의혹/NNG
사건을	사건/NNG+을/JKO
서울중앙지검	서울중앙지검/NNP
특수2부(부장	특수/NNG+2/SN+부/NNG+(/SS+부장/NNG
송경호)가	송경호/NNP+)/SS+가/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000053.189.4.1
27일 검찰에 따르면 서울중앙지검은 감사원이 지난달 11일 “2015년 관세청의 서울시내 면세점 1, 2차 선정 때 점수 조작이 있었다”며 수사 의뢰를 해온 이 사건을 최근 특수1부(부장 신자용)에서 특수2부로 넘겼다.

27일	27/SN+일/NNB
검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
서울중앙지검은	서울중앙지검/NNP+은/JX
감사원이	감사원/NNG+이/JKS
지난달	지난달/NNG
11일	11/SN+일/NNB
“2015년	“/SS+2015/SN+년/NNB
관세청의	관세청/NNG+의/JKG
서울시내	서울/NNP+시내/NNG
면세점	면세점/NNG
1,	1/SN+,/SP
2차	2/SN+차/NNB
선정	선정/NNG
때	때/NNG
점수	점수/NNG
조작이	조작/NNG+이/JKS
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
수사	수사/NNG
의뢰를	의뢰/NNG+를/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
이	이/MMD
사건을	사건/NNG+을/JKO
최근	최근/MAG
특수1부(부장	특수/NNG+1/SN+부/NNG+(/SS+부장/NNG
신자용)에서	신자용/NNP+)/SS+에서/JKB
특수2부로	특수/NNG+2/SN+부/NNG+로/JKB
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.189.5.1
