# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.393
metadata : {}


# id : NWRW1800000036.393.1.1
이석기·김재연 의원 자격심사 합의

이석기·김재연	이석기/NNP+·/SP+김재연/NNP
의원	의원/NNG
자격심사	자격/NNG+심사/NNG
합의	합의/NNG


# id : NWRW1800000036.393.2.1
[한겨레] 새누리·민주, 공동 발의키로…김재철 MBC사장 8월 교체 의견접근

[한겨레]	[/SS+한겨레/NNP+]/SS
새누리·민주,	새누리/NNP+·/SP+민주/NNP+,/SP
공동	공동/NNG
발의키로…김재철	발의/NNG+하/XSV+기/ETN+로/JKB+…/SE+김재철/NNP
MBC사장	MBC/SL+사장/NNG
8월	8/SN+월/NNB
교체	교체/NNG
의견접근	의견/NNG+접근/NNG


# id : NWRW1800000036.393.3.1
여야가 29일 통합진보당 비례대표 부정경선 논란과 관련해 이석기, 김재연 의원에 대한 자격 심사에 들어가기로 합의했다.

여야가	여야/NNG+가/JKS
29일	29/SN+일/NNB
통합진보당	통합진보당/NNP
비례대표	비례/NNG+대표/NNG
부정경선	부정/NNG+경선/NNG
논란과	논란/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
이석기,	이석기/NNP+,/SP
김재연	김재연/NNP
의원에	의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자격	자격/NNG
심사에	심사/NNG+에/JKB
들어가기로	들어가/VV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.393.3.2
또 <문화방송> 파업 사태와 관련해선 8월 이후 합리적으로 처리한다는 데 의견을 모아, 김재철 사장의 교체 가능성을 열어놓았다.

또	또/MAG
<문화방송>	</SS+문화방송/NNP+>/SS
파업	파업/NNG
사태와	사태/NNG+와/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
8월	8/SN+월/NNB
이후	이후/NNG
합리적으로	합리/NNG+적/XSN+으로/JKB
처리한다는	처리/NNG+하/XSV+ㄴ다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
모아,	모으/VV+아/EC+,/SP
김재철	김재철/NNP
사장의	사장/NNG+의/JKG
교체	교체/NNG
가능성을	가능/NNG+성/XSN+을/JKO
열어놓았다.	열/VV+어/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.393.4.1
이한구 새누리당 원내대표와 박지원 민주통합당 원내대표는 이날 국회에서 회담을 열어 “비례대표 부정경선과 관련한 이석기, 김재연 의원 자격심사안을 양 교섭단체별로 15인씩 공동 발의해 본회의에서 조속히 처리한다”고 합의했다.

이한구	이한구/NNP
새누리당	새누리당/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
박지원	박지원/NNP
민주통합당	민주통합당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
회담을	회담/NNG+을/JKO
열어	열/VV+어/EC
“비례대표	“/SS+비례/NNG+대표/NNG
부정경선과	부정/NNG+경선/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
이석기,	이석기/NNP+,/SP
김재연	김재연/NNP
의원	의원/NNG
자격심사안을	자격/NNG+심사/NNG+안/NNG+을/JKO
양	양/MMN
교섭단체별로	교섭/NNG+단체/NNG+별/XSN+로/JKB
15인씩	15/SN+인/NNG+씩/XSN
공동	공동/NNG
발의해	발의/NNG+하/XSV+아/EC
본회의에서	본회의/NNG+에서/JKB
조속히	조속히/MAG
처리한다”고	처리/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.393.4.2
두 당은 자격 심사의 대상을 국가관이나 ‘종북’ 문제가 아니라 비례대표 경선 과정의 문제로 국한했지만 자격 심사가 제명의 전 단계라는 점에서 논란이 예상된다.

두	두/MMN
당은	당/NNG+은/JX
자격	자격/NNG
심사의	심사/NNG+의/JKG
대상을	대상/NNG+을/JKO
국가관이나	국가관/NNG+이나/JC
‘종북’	‘/SS+종북/NNG+’/SS
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
비례대표	비례/NNG+대표/NNG
경선	경선/NNG
과정의	과정/NNG+의/JKG
문제로	문제/NNG+로/JKB
국한했지만	국한/NNG+하/XSV+았/EP+지만/EC
심사가	심사/NNG+가/JKS
제명의	제명/NNG+의/JKG
전	전/MMD
단계라는	단계/NNG+이/VCP+라는/ETM
