# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.256
metadata : {}


# id : NWRW1800000054.256.1.1
10000대 1 '오디션(세계 축구 유망주 7만5000명 경쟁한 '더 찬스') 기적'… K리그가 그리웠다

10000대	10000/SN+대/NNB
1	1/SN
'오디션(세계	'/SS+오디션/NNG+(/SS+세계/NNG
축구	축구/NNG
유망주	유망주/NNG
7만5000명	7/SN+만/NR+5000/SN+명/NNB
경쟁한	경쟁/NNG+하/XSV+ㄴ/ETM
'더	'/SS+더/NNG
찬스')	찬스/NNG+'/SS+)/SS
기적'…	기적/NNG+'/SS+…/SE
K리그가	K/SL+리그/NNG+가/JKS
그리웠다	그립/VA+었/EP+다/EF


# id : NWRW1800000054.256.2.1
올 데뷔 인천 문선민, 수원戰 2골 넣으며 '깜짝 스타'

올	올/NNG
데뷔	데뷔/NNG
인천	인천/NNP
문선민,	문선민/NNP+,/SP
수원戰	수원/NNP+戰/SH
2골	2/SN+골/NNG
넣으며	넣/VV+으며/EC
'깜짝	'/SS+깜짝/MAG
스타'	스타/NNG+'/SS


# id : NWRW1800000054.256.3.1
'오디션'이란 가수·배우·탤런트 등 연예인을 뽑기 위한 실기 시험이나 심사다.

'오디션'이란	'/SS+오디션/NNG+'/SS+이란/JX
가수·배우·탤런트	가수/NNG+·/SP+배우/NNG+·/SP+탤런트/NNG
등	등/NNB
연예인을	연예인/NNG+을/JKO
뽑기	뽑/VV+기/ETN
위한	위하/VV+ㄴ/ETM
실기	실기/NNG
시험이나	시험/NNG+이나/JC
심사다.	심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.256.3.2
수천·수만 명의 아마추어 지원자들 사이에서 뽑힌 '기적의 주인공'이 써 나간 성장 스토리는 대중에게 감동을 줬다.

수천·수만	수천/NR+·/SP+수만/NR
명의	명/NNB+의/JKG
아마추어	아마추어/NNG
지원자들	지원자/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
뽑힌	뽑히/VV+ㄴ/ETM
'기적의	'/SS+기적/NNG+의/JKG
주인공'이	주인공/NNG+'/SS+이/JKS
써	쓰/VV+어/EC
나간	나가/VX+ㄴ/ETM
성장	성장/NNG
스토리는	스토리/NNG+는/JX
대중에게	대중/NNG+에게/JKB
감동을	감동/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.256.3.3
올 시즌 프로축구 K리그에도 축구판 오디션에 합격하며 '기적'을 거머쥐었던 선수가 등장했다.

올	올/NNG
시즌	시즌/NNG
프로축구	프로/NNG+축구/NNG
K리그에도	K/SL+리그/NNG+에/JKB+도/JX
축구판	축구/NNG+판/NNG
오디션에	오디션/NNG+에/JKB
합격하며	합격/NNG+하/XSV+며/EC
'기적'을	'/SS+기적/NNG+'/SS+을/JKO
거머쥐었던	거머쥐/VV+었/EP+던/ETM
선수가	선수/NNG+가/JKS
