# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.401
metadata : {}


# id : NWRW1800000049.401.1.1
서울~원주 54분… 동해안 가까워진다

서울~원주	서울/NNP+~/SO+원주/NNP
54분…	54/SN+분/NNB+…/SE
동해안	동해안/NNP
가까워진다	가깝/VA+어/EC+지/VX+ㄴ다/EF


# id : NWRW1800000049.401.2.1
제2영동고속道 공정 90%… 11월 개통 경기 광주~원주 연결… 23분 단축… 평창올림픽 경기장 가는 길 빨라져

제2영동고속道	제2영동고속道/NNP
공정	공정/NNG
90%…	90/SN+%/SW+…/SE
11월	11/SN+월/NNB
개통	개통/NNG
경기	경기/NNP
광주~원주	광주/NNP+~/SO+원주/NNP
연결…	연결/NNG+…/SE
23분	23/SN+분/NNB
단축…	단축/NNG+…/SE
평창올림픽	평창/NNP+올림픽/NNG
경기장	경기장/NNG
가는	가/VV+는/ETM
길	길/NNG
빨라져	빠르/VA+아/EC+지/VX+어/EF


# id : NWRW1800000049.401.3.1
경기 광주와 강원 원주를 연결하는 제2영동고속도로가 11월 11일 개통된다.

경기	경기/NNP
광주와	광주/NNP+와/JC
강원	강원/NNP
원주를	원주/NNP+를/JKO
연결하는	연결/NNG+하/XSV+는/ETM
제2영동고속도로가	제2영동고속도로/NNP+가/JKS
11월	11/SN+월/NNB
11일	11/SN+일/NNB
개통된다.	개통/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.401.3.2
제2영동고속도로가 개통되면 서울에서 원주까지 통행 거리가 101km에서 86km로 15km 줄고, 77분 걸리던 운행 시간이 54분으로 23분이 단축돼 수도권에서 강원으로 가는 길이 빨라질 것으로 전망된다.

제2영동고속도로가	제2영동고속도로/NNP+가/JKS
개통되면	개통/NNG+되/XSV+면/EC
서울에서	서울/NNP+에서/JKB
원주까지	원주/NNP+까지/JX
통행	통행/NNG
거리가	거리/NNG+가/JKS
101km에서	101/SN+km/SW+에서/JKB
86km로	86/SN+km/SW+로/JKB
15km	15/SN+km/SW
줄고,	줄/VV+고/EC+,/SP
77분	77/SN+분/NNB
걸리던	걸리/VV+던/ETM
운행	운행/NNG
시간이	시간/NNG+이/JKS
54분으로	54/SN+분/NNB+으로/JKB
23분이	23/SN+분/NNB+이/JKS
단축돼	단축/NNG+되/XSV+어/EC
수도권에서	수도/NNG+권/XSN+에서/JKB
강원으로	강원/NNP+으로/JKB
가는	가/VV+는/ETM
길이	길/NNG+이/JKS
빨라질	빠르/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.401.4.1
제2영동고속도로는 중부고속도로의 경기 광주 분기점에서 영동고속도로의 원주 분기점까지 총 56.95km로 왕복 4차로이다.

제2영동고속도로는	제2영동고속도로/NNP+는/JX
중부고속도로의	중부고속도로/NNP+의/JKG
경기	경기/NNP
광주	광주/NNP
분기점에서	분기점/NNG+에서/JKB
영동고속도로의	영동고속도로/NNP+의/JKG
원주	원주/NNP
분기점까지	분기점/NNG+까지/JX
총	총/MMA
56.95km로	56/SN+./SP+95/SN+km/SW+로/JKB
왕복	왕복/NNG
4차로이다.	4/SN+차로/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.401.4.2
행정구역상으로는 경기 광주와 여주, 양평을 거쳐 강원 원주에 이른다.

행정구역상으로는	행정/NNG+구역/NNG+상/XSN+으로/JKB+는/JX
경기	경기/NNP
광주와	광주/NNP+와/JC
여주,	여주/NNP+,/SP
양평을	양평/NNP+을/JKO
거쳐	거치/VV+어/EC
강원	강원/NNP
원주에	원주/NNP+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.401.4.3
전 구간 가운데 50km가량이 경기도에 있어 사실상 ‘수도권 고속도로’라고 할 수 있다.

전	전/MMN
구간	구간/NNG
가운데	가운데/NNG
50km가량이	50/SN+km/SW+가량/XSN+이/JKS
경기도에	경기도/NNP+에/JKB
있어	있/VA+어/EC
사실상	사실상/MAG
‘수도권	‘/SS+수도/NNG+권/XSN
고속도로’라고	고속/NNG+도로/NNG+’/SS+라고/JKQ
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.401.4.4
현재 제2영동고속도로 공정은 90%로 노면 공사가 대부분 완료됐고 전광판 및 가드레일, 조경 등 마무리 작업이 한창이다.

현재	현재/MAG
제2영동고속도로	제2영동고속도로/NNP
공정은	공정/NNG+은/JX
90%로	90/SN+%/SW+로/JKB
노면	노면/NNG
공사가	공사/NNG+가/JKS
