# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.49
metadata : {}


# id : NWRW1800000021.49.1.1
[수도권]압구정동 재건축 “80층” vs “50층”

[수도권]압구정동	[/SS+수도/NNG+권/XSN+]/SS+압구정동/NNP
재건축	재/XPN+건축/NNG
“80층”	“/SS+80/SN+층/NNG+”/SS
vs	vs/SL
“50층”	“/SS+50/SN+층/NNG+”/SS


# id : NWRW1800000021.49.2.1
지난달 서울시의 한강변 초고층 아파트 허용 발표 이후 관심을 끌었던 강남구 압구정동 아파트의 재건축이 초반부터 삐걱거리고 있다.

지난달	지난달/NNG
서울시의	서울시/NNP+의/JKG
한강변	한강/NNP+변/NNG
초고층	초/XPN+고층/NNG
아파트	아파트/NNG
허용	허용/NNG
발표	발표/NNG
이후	이후/NNG
관심을	관심/NNG+을/JKO
끌었던	끌/VV+었/EP+던/ETM
강남구	강남구/NNP
압구정동	압구정동/NNP
아파트의	아파트/NNG+의/JKG
재건축이	재/XPN+건축/NNG+이/JKS
초반부터	초반/NNG+부터/JX
삐걱거리고	삐걱거리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.49.3.1
강남구는 11일 압구정1동 주민센터(옛 동사무소)에서 재건축과 관련한 주민설명회를 열고 “용적률 300% 내외를 적용해 80층 높이의 아파트를 짓고 공공기여 비율은 6∼8%로 정한다”고 밝혔다.

강남구는	강남구/NNP+는/JX
11일	11/SN+일/NNB
압구정1동	압구정/NNP+1/SN+동/NNG
주민센터(옛	주민/NNG+센터/NNG+(/SS+옛/MMA
동사무소)에서	동사무소/NNG+)/SS+에서/JKB
재건축과	재/XPN+건축/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
주민설명회를	주민/NNG+설명회/NNG+를/JKO
열고	열/VV+고/EC
“용적률	“/SS+용적/NNG+률/XSN
300%	300/SN+%/SW
내외를	내외/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
80층	80/SN+층/NNG
높이의	높이/NNG+의/JKG
아파트를	아파트/NNG+를/JKO
짓고	짓/VV+고/EC
공공기여	공공/NNG+기여/NNG
비율은	비율/NNG+은/JX
6∼8%로	6/SN+∼/SO+8/SN+%/SW+로/JKB
정한다”고	정하/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.49.4.1
이에 서울시는 12일 이 내용이 ‘한강 공공성 회복선언’에 배치된다며 즉각 반대 의견을 내놨다.

이에	이에/MAG
서울시는	서울시/NNP+는/JX
12일	12/SN+일/NNB
이	이/MMD
내용이	내용/NNG+이/JKS
‘한강	‘/SS+한강/NNP
공공성	공공/NNG+성/XSN
회복선언’에	회복/NNG+선언/NNG+’/SS+에/JKB
배치된다며	배치/NNG+되/XSV+ㄴ다며/EC
즉각	즉각/MAG
반대	반대/NNG
의견을	의견/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.49.5.1
시는 이날 “한강 공공성 회복선언에 따라 전략정비구역에 속하는 압구정지구는 최고 50층, 평균 40층 높이를 허용하고 기부 비율을 25∼30%로 할 것”이라고 밝혔다.

시는	시/NNG+는/JX
이날	이날/NNG
“한강	“/SS+한강/NNP
공공성	공공/NNG+성/XSN
회복선언에	회복/NNG+선언/NNG+에/JKB
따라	따르/VV+아/EC
전략정비구역에	전략/NNG+정비/NNG+구역/NNG+에/JKB
속하는	속하/VV+는/ETM
압구정지구는	압구정지구/NNP+는/JX
최고	최고/NNG
50층,	50/SN+층/NNG+,/SP
평균	평균/NNG
40층	40/SN+층/NNG
높이를	높이/NNG+를/JKO
허용하고	허용/NNG+하/XSV+고/EC
기부	기부/NNG
비율을	비율/NNG+을/JKO
25∼30%로	25/SN+∼/SO+30/SN+%/SW+로/JKB
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


