# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.409
metadata : {}


# id : NWRW1800000030.409.1.1
[충청] [모네에서 워홀까지] 뜨거운 막판 열기… "거장 만날 드문 기회"

[충청]	[/SS+충청/NNP+]/SS
[모네에서	[/SS+모네/NNP+에서/JKB
워홀까지]	워홀/NNP+까지/JX+]/SS
뜨거운	뜨겁/VA+ㄴ/ETM
막판	막판/NNG
열기…	열기/NNG+…/SE
"거장	"/SS+거장/NNG
만날	만나/VV+ㄹ/ETM
드문	드물/VA+ㄴ/ETM
기회"	기회/NNG+"/SS


# id : NWRW1800000030.409.2.1
•누적 관람객 10만명 돌파, 폐막 2주 앞두고 전국서 인파 몰려와 전시장 북적

•누적	•/SW+누적/NNG
관람객	관람객/NNG
10만명	10/SN+만/NR+명/NNB
돌파,	돌파/NNG+,/SP
폐막	폐막/NNG
2주	2/SN+주/NNB
앞두고	앞두/VV+고/EC
전국서	전국/NNG+서/JKB
인파	인파/NNG
몰려와	몰려오/VV+아/EC
전시장	전시장/NNG
북적	북적/MAG


# id : NWRW1800000030.409.3.1
지난 13일 오후 '모네에서 워홀까지' 특별전이 열리고 있는 대전시립미술관.

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
오후	오후/NNG
'모네에서	'/SS+모네/NNP+에서/JKB
워홀까지'	워홀/NNP+까지/JX+'/SS
특별전이	특별전/NNG+이/JKS
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
대전시립미술관.	대전시립미술관/NNP+./SF


# id : NWRW1800000030.409.3.2
북적이는 입구를 지나 전시실에 들어서자 한쪽에서 쉴 새 없이 초롱초롱한 눈망울을 굴리며 수첩에 열심히 메모하는 아이들의 손길이 분주했다.

북적이는	북적이/VV+는/ETM
입구를	입구/NNG+를/JKO
지나	지나/VV+아/EC
전시실에	전시실/NNG+에/JKB
들어서자	들어서/VV+자/EC
한쪽에서	한쪽/NNG+에서/JKB
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
초롱초롱한	초롱초롱/MAG+하/XSA+ㄴ/ETM
눈망울을	눈망울/NNG+을/JKO
굴리며	굴리/VV+며/EC
수첩에	수첩/NNG+에/JKB
열심히	열심히/MAG
메모하는	메모/NNG+하/XSV+는/ETM
아이들의	아이/NNG+들/XSN+의/JKG
손길이	손길/NNG+이/JKS
분주했다.	분주/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.409.3.3
전시 팸플릿을 들고 아이들에게 진지한 표정으로 작품을 설명해 주는 부모들의 모습도 곳곳에서 눈에 들어왔다.

전시	전시/NNG
팸플릿을	팸플릿/NNG+을/JKO
들고	들/VV+고/EC
아이들에게	아이/NNG+들/XSN+에게/JKB
진지한	진지하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
작품을	작품/NNG+을/JKO
설명해	설명/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
부모들의	부모/NNG+들/XSN+의/JKG
모습도	모습/NNG+도/JX
곳곳에서	곳곳/NNG+에서/JKB
눈에	눈/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.409.4.1
전주에서 왔다는 주부 김미란(42)씨는 "초등생 두 딸, 남편과 함께 세기의 명작을 감상하러 왔는데 정말 오길 잘했다"며 즐거워했다.

전주에서	전주/NNP+에서/JKB
왔다는	오/VV+았/EP+다는/ETM
주부	주부/NNG
김미란(42)씨는	김미란/NNP+(/SS+42/SN+)/SS+씨/NNB+는/JX
"초등생	"/SS+초등/NNG+생/XSN
두	두/MMN
딸,	딸/NNG+,/SP
남편과	남편/NNG+과/JKB
함께	함께/MAG
세기의	세기/NNG+의/JKG
명작을	명작/NNG+을/JKO
감상하러	감상/NNG+하/XSV+러/EC
왔는데	오/VV+았/EP+는데/EC
정말	정말/MAG
오길	오/VV+기/ETN+ㄹ/JKO
잘했다"며	잘/MAG+하/XSV+았/EP+다/EF+"/SS+며/EC
즐거워했다.	즐거워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.409.5.1
근현대 서양미술 명작 114점을 한자리에서 볼 수 있는 '모네에서 워홀까지' 특별전이 관람객 10만명을 돌파했다.

근현대	근현대/NNG
서양미술	서양/NNG+미술/NNG
명작	명작/NNG
114점을	114/SN+점/NNB+을/JKO
한자리에서	한자리/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'모네에서	'/SS+모네/NNP+에서/JKB
워홀까지'	워홀/NNP+까지/JX+'/SS
특별전이	특별전/NNG+이/JKS
관람객	관람객/NNG
10만명을	10/SN+만/NR+명/NNB+을/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.409.5.2
지난 5월 25일부터 시작된 대장정의 마감이 2주 앞으로 다가오면서 전국 각지에서 관람객 발길이 줄을 잇고 있다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
25일부터	25/SN+일/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
대장정의	대/XPN+장정/NNG+의/JKG
마감이	마감/NNG+이/JKS
2주	2/SN+주/NNB
앞으로	앞/NNG+으로/JKB
다가오면서	다가오/VV+면서/EC
전국	전국/NNG
각지에서	각지/NNG+에서/JKB
관람객	관람객/NNG
발길이	발길/NNG+이/JKS
줄을	줄/NNG+을/JKO
잇고	잇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.409.5.3
13일 10만번째 관람객 주인공이 된 홍종두(42·대전시 중구 문화동)·이경란씨(40) 가족은 이종협 시립미술관장으로부터 10만원짜리 백화점상품권을 축하선물로 받는 행운을 안았다.

13일	13/SN+일/NNB
10만번째	10/SN+만/NR+번/NNB+째/XSN
관람객	관람객/NNG
주인공이	주인공/NNG+이/JKC
된	되/VV+ㄴ/ETM
홍종두(42·대전시	홍종두/NNP+(/SS+42/SN+·/SP+대전시/NNP
중구	중구/NNP
문화동)·이경란씨(40)	문화동/NNP+)/SS+·/SP+이경란/NNP+씨/NNB+(/SS+40/SN+)/SS
가족은	가족/NNG+은/JX
이종협	이종협/NNP
시립미술관장으로부터	시립/NNG+미술관장/NNG+으로부터/JKB
10만원짜리	10/SN+만/NR+원/NNB+짜리/XSN
백화점상품권을	백화점/NNG+상품/NNG+권/XSN+을/JKO
축하선물로	축하/NNG+선물/NNG+로/JKB
받는	받/VV+는/ETM
행운을	행운/NNG+을/JKO
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.409.6.1
대전시립미술관에 따르면 총관람객은 14일까지 10만3478명.

대전시립미술관에	대전시립미술관/NNP+에/JKB
따르면	따르/VV+면/EC
총관람객은	총/MMA+관람객/NNG+은/JX
14일까지	14/SN+일/NNB+까지/JX
10만3478명.	10/SN+만/NR+3478/SN+명/NNB+./SF


# id : NWRW1800000030.409.6.2
최근 하루 평균 평일 1200명, 주말 2000명 정도로 관람객이 부쩍 늘었다.

최근	최근/NNG
하루	하루/NNG
평균	평균/NNG
평일	평일/NNG
1200명,	1200/SN+명/NNB+,/SP
주말	주말/NNG
2000명	2000/SN+명/NNB
정도로	정도/NNG+로/JKB
관람객이	관람객/NNG+이/JKS
부쩍	부쩍/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.409.6.3
특히 학생들의 방학이 막바지에 접어들면서 가족 단위 관람객이 많아졌다.

특히	특히/MAG
학생들의	학생/NNG+들/XSN+의/JKG
방학이	방학/NNG+이/JKS
막바지에	막바지/NNG+에/JKB
접어들면서	접어들/VV+면서/EC
가족	가족/NNG
단위	단위/NNG
관람객이	관람객/NNG+이/JKS
많아졌다.	많아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.409.6.4
'보기 드문 전시'라는 소문이 나면서 단체관람 예약도 전국 각지에서 하루 10여건씩 밀려들고 있다.

'보기	'/SS+보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
전시'라는	전시/NNG+'/SS+이/VCP+라는/ETM
소문이	소문/NNG+이/JKS
나면서	나/VV+면서/EC
단체관람	단체/NNG+관람/NNG
예약도	예약/NNG+도/JX
전국	전국/NNG
각지에서	각지/NNG+에서/JKB
하루	하루/NNG
10여건씩	10/SN+여/XSN+건/NNB+씩/XSN
밀려들고	밀려들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.409.6.5
이같은 관람 열기는 지금까지 대전에서 열린 전시회 가운데 가장 뜨거운 수준이다.

이같은	이/NP+같/VA+은/ETM
관람	관람/NNG
열기는	열기/NNG+는/JX
지금까지	지금/NNG+까지/JX
대전에서	대전/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
전시회	전시회/NNG
가운데	가운데/NNG
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.409.7.1
미술관에 전시된 명작에 대해 알기 쉽게 설명해주는 도슨트(docent) 봉사자 20여명과 학예연구사들까지 총동원돼 작품설명에 나서지만 관람객 수요를 다 따라가기 버거울 정도다.

미술관에	미술관/NNG+에/JKB
전시된	전시/NNG+되/XSV+ㄴ/ETM
명작에	명작/NNG+에/JKB
대해	대하/VV+아/EC
알기	알/VV+기/ETN
쉽게	쉽/VA+게/EC
설명해주는	설명/NNG+하/XSV+아/EC+주/VX+는/ETM
도슨트(docent)	도슨트/NNG+(/SS+docent/SL+)/SS
봉사자	봉사자/NNG
20여명과	20/SN+여/XSN+명/NNB+과/JC
학예연구사들까지	학예/NNG+연구사/NNG+들/XSN+까지/JX
총동원돼	총동원/NNG+되/XSV+어/EC
작품설명에	작품/NNG+설명/NNG+에/JKB
나서지만	나서/VV+지만/EC
관람객	관람객/NNG
수요를	수요/NNG+를/JKO
다	다/MAG
따라가기	따라가/VV+기/ETN
버거울	버겁/VA+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.409.7.2
이번 특별전은 서양미술 명작들을 감상하는 감동과 함께 현대미술을 보는 새로운 시각까지 덤으로 얻을 수 있다.

이번	이번/NNG
특별전은	특별전/NNG+은/JX
서양미술	서양/NNG+미술/NNG
명작들을	명작/NNG+들/XSN+을/JKO
감상하는	감상/NNG+하/XSV+는/ETM
감동과	감동/NNG+과/JKB
함께	함께/MAG
현대미술을	현대/NNG+미술/NNG+을/JKO
보는	보/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
시각까지	시각/NNG+까지/JX
덤으로	덤/NNG+으로/JKB
얻을	얻/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.409.7.3
자세한 해설을 들으며 품격 높은 근현대 서양미술사 여행을 떠날 수 있기 때문이다.

자세한	자세하/VA+ㄴ/ETM
해설을	해설/NNG+을/JKO
들으며	듣/VV+으며/EC
품격	품격/NNG
높은	높/VA+은/ETM
근현대	근현대/NNG
서양미술사	서양/NNG+미술사/NNG
여행을	여행/NNG+을/JKO
떠날	떠나/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF

