# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.28
metadata : {}


# id : NWRW1800000046.28.1.1
美 치과의사, 짐바브웨 명물 사자 '잔혹한 사냥'

美	美/SH
치과의사,	치과/NNG+의사/NNG+,/SP
짐바브웨	짐바브웨/NNP
명물	명물/NNG
사자	사자/NNG
'잔혹한	'/SS+잔혹/NNG+하/XSA+ㄴ/ETM
사냥'	사냥/NNG+'/SS


# id : NWRW1800000046.28.2.1
사자를 죽인 사람… 미네소타서 온 사냥광 팔머 사자 40시간 괴롭히다 총살

사자를	사자/NNG+를/JKO
죽인	죽이/VV+ㄴ/ETM
사람…	사람/NNG+…/SE
미네소타서	미네소타/NNP+서/JKB
온	오/VV+ㄴ/ETM
사냥광	사냥/NNG+광/XSN
팔머	팔머/NNP
사자	사자/NNG
40시간	40/SN+시간/NNB
괴롭히다	괴롭히/VV+다/EC
총살	총살/NNG


# id : NWRW1800000046.28.3.1
아프리카 짐바브웨에서 일어난 '사자 살해 사건'이 국제적 이슈로 번지고 있다.

아프리카	아프리카/NNP
짐바브웨에서	짐바브웨/NNP+에서/JKB
일어난	일어나/VV+ㄴ/ETM
'사자	'/SS+사자/NNG
살해	살해/NNG
사건'이	사건/NNG+'/SS+이/JKS
국제적	국제/NNG+적/XSN
이슈로	이슈/NNG+로/JKB
번지고	번지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.28.3.2
CNN 등 외신에 따르면, 이달 초 짐바브웨의 황게 국립공원 외곽에서 열세 살 난 '세실〈사진〉'이라는 수사자가 사체로 발견됐다.

CNN	CNN/SL
등	등/NNB
외신에	외신/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
이달	이달/NNG
초	초/NNB
짐바브웨의	짐바브웨/NNP+의/JKG
황게	황게/NNP
국립공원	국립/NNG+공원/NNG
외곽에서	외곽/NNG+에서/JKB
열세	열세/MMN
살	살/NNB
난	나/VV+ㄴ/ETM
'세실〈사진〉'이라는	'/SS+세실/NNP+〈/SS+사진/NNG+〉/SS+'/SS+이/VCP+라는/ETM
수사자가	수사자/NNG+가/JKS
사체로	사체/NNG+로/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.28.3.3
장식용으로 쓰려고 떼어간 듯 머리가 잘리고 피부도 벗겨진 채였다.

장식용으로	장식/NNG+용/XSN+으로/JKB
쓰려고	쓰/VV+려고/EC
떼어간	떼/VV+어/EC+가/VV+ㄴ/ETM
듯	듯/NNB
머리가	머리/NNG+가/JKS
잘리고	잘리/VV+고/EC
피부도	피부/NNG+도/JX
벗겨진	벗겨지/VV+ㄴ/ETM
채였다.	채/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.28.3.4
당국의 조사 끝에 28일 세실을 도살한 사냥꾼이 미국 미네소타에서 온 치과 의사 월터 팔머로 밝혀지면서 외신들이 그에 대해 집중 보도하고 있다.

당국의	당국/NNG+의/JKG
조사	조사/NNG
끝에	끝/NNG+에/JKB
28일	28/SN+일/NNB
세실을	세실/NNP+을/JKO
도살한	도살/NNG+하/XSV+ㄴ/ETM
사냥꾼이	사냥/NNG+꾼/XSN+이/JKS
미국	미국/NNP
미네소타에서	미네소타/NNP+에서/JKB
온	오/VV+ㄴ/ETM
치과	치과/NNG
의사	의사/NNG
월터	월터/NNP
팔머로	팔머/NNP+로/JKB
밝혀지면서	밝혀지/VV+면서/EC
외신들이	외신/NNG+들/XSN+이/JKS
그에	그/NP+에/JKB
대해	대하/VV+아/EC
집중	집중/NNG
보도하고	보도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.28.4.1
아프리카에선 연중 적지 않은 야생동물이 사냥꾼에게 희생된다.

아프리카에선	아프리카/NNP+에서/JKB+ㄴ/JX
연중	연중/NNG
적지	적/VA+지/EC
않은	않/VX+은/ETM
야생동물이	야생/NNG+동물/NNG+이/JKS
사냥꾼에게	사냥/NNG+꾼/XSN+에게/JKB
희생된다.	희생/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.28.4.2
그런데도 '세실' 사건이 주목받는 것은, 우선 세실이 현지인과 사파리 관광객 사이에서 인기가 높은 명물 사자였던 데다, 머리를 '전리품'으로 챙기려는 백인 사냥광(狂)에게 잔혹하게 죽었다는 극적 성격 때문이다.

그런데도	그런데/MAJ+도/JX
'세실'	'/SS+세실/NNP+'/SS
사건이	사건/NNG+이/JKS
주목받는	주목/NNG+받/XSV+는/ETM
것은,	것/NNB+은/JX+,/SP
우선	우선/MAG
세실이	세실/NNP+이/JKS
현지인과	현지인/NNG+과/JC
사파리	사파리/NNG
관광객	관광객/NNG
사이에서	사이/NNG+에서/JKB
인기가	인기/NNG+가/JKS
높은	높/VA+은/ETM
명물	명물/NNG
사자였던	사자/NNG+이/VCP+었/EP+던/ETM
데다,	데/NNB+다/JX+,/SP
머리를	머리/NNG+를/JKO
'전리품'으로	'/SS+전리품/NNG+'/SS+으로/JKB
챙기려는	챙기/VV+려는/ETM
백인	백인/NNG
사냥광(狂)에게	사냥/NNG+광/XSN+(/SS+狂/SH+)/SS+에게/JKB
잔혹하게	잔혹/NNG+하/XSA+게/EC
죽었다는	죽/VV+었/EP+다는/ETM
극적	극/NNG+적/XSN
성격	성격/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.28.4.3
세실은 사람으로 치면 '신중년' 나이에 해당하는 기품 있는 수사자였다.

세실은	세실/NNP+은/JX
사람으로	사람/NNG+으로/JKB
치면	치/VV+면/EC
'신중년'	'/SS+신/XPN+중년/NNG+'/SS
나이에	나이/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
기품	기품/NNG
있는	있/VA+는/ETM
수사자였다.	수사자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.28.4.4
암컷 여섯 마리와 새끼 스물네 마리를 거느린 그의 몸엔 행로를 추적하려고 옥스퍼드대 연구진이 단 위성 장치가 있었다.

암컷	암컷/NNG
여섯	여섯/NR
마리와	마리/NNB+와/JKB
새끼	새끼/NNG
스물네	스물네/MMN
마리를	마리/NNB+를/JKO
거느린	거느리/VV+ㄴ/ETM
그의	그/NP+의/JKG
몸엔	몸/NNG+에/JKB+ㄴ/JX
행로를	행로/NNG+를/JKO
추적하려고	추적/NNG+하/XSV+려고/EC
옥스퍼드대	옥스퍼드대/NNP
연구진이	연구진/NNG+이/JKS
단	달/VV+ㄴ/ETM
위성	위성/NNG
장치가	장치/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.28.5.1
팔머와 그가 고용한 가이드들은 세실의 몸에 화살을 쏘며 40여 시간을 따라다니다 공원 밖으로 유인해 총살했다.

팔머와	팔머/NNP+와/JC
그가	그/NP+가/JKS
고용한	고용/NNG+하/XSV+ㄴ/ETM
가이드들은	가이드/NNG+들/XSN+은/JX
세실의	세실/NNP+의/JKG
몸에	몸/NNG+에/JKB
화살을	화살/NNG+을/JKO
쏘며	쏘/VV+며/EC
40여	40/SN+여/XSN
시간을	시간/NNB+을/JKO
따라다니다	따라다니/VV+다/EC
공원	공원/NNG
밖으로	밖/NNG+으로/JKB
유인해	유인/NNG+하/XSV+아/EC
총살했다.	총살/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.28.5.2
그는 앞서 사냥을 위해 가이드들에게 5만달러를 지불했으며, '공원 내 사냥 행위는 처벌 대상'이라는 규정을 비켜가려고 '세실'을 바깥으로 꾄 것으로 보인다고 외신들은 전했다.

그는	그/NP+는/JX
앞서	앞서/MAG
사냥을	사냥/NNG+을/JKO
위해	위하/VV+아/EC
가이드들에게	가이드/NNG+들/XSN+에게/JKB
5만달러를	5/SN+만/NR+달러/NNB+를/JKO
지불했으며,	지불/NNG+하/XSV+았/EP+으며/EC+,/SP
'공원	'/SS+공원/NNG
내	내/NNB
사냥	사냥/NNG
행위는	행위/NNG+는/JX
처벌	처벌/NNG
