# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.309
metadata : {}


# id : NWRW1800000046.309.1.1
[통일이 미래다] [北 변화의 길] (2) 대외硏·서울대 '北경제 성공 시나리오'

[통일이	[/SS+통일/NNG+이/JKS
미래다]	미래/NNG+이/VCP+다/EF+]/SS
[北	[/SS+北/SH
변화의	변화/NNG+의/JKG
길]	길/NNG+]/SS
(2)	(/SS+2/SN+)/SS
대외硏·서울대	대외/NNG+硏/SH+·/SP+서울대/NNP
'北경제	'/SS+北/SH+경제/NNG
성공	성공/NNG
시나리오'	시나리오/NNG+'/SS


# id : NWRW1800000046.309.2.1
"北, 본격 개방땐 年 7% 고속성장… 수출규모 20년뒤 25배로"

"北,	"/SS+北/SH+,/SP
본격	본격/NNG
개방땐	개방/NNG+때/NNG+ㄴ/JX
年	年/SH
7%	7/SN+%/SW
고속성장…	고속/NNG+성장/NNG+…/SE
수출규모	수출/NNG+규모/NNG
20년뒤	20/SN+년/NNB+뒤/NNG
25배로"	25/SN+배/NNG+로/JKB+"/SS


# id : NWRW1800000046.309.3.1
북한이 대외 개방을 통한 외자 유치와 시장경제 체제 도입 등 본격적인 경제 개혁·개방에 나설 경우 최소 연간 6~7%대의 고속 성장을 할 수 있을 것으로 나타났다.

북한이	북한/NNP+이/JKS
대외	대외/NNG
개방을	개방/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
외자	외자/NNG
유치와	유치/NNG+와/JC
시장경제	시장/NNG+경제/NNG
체제	체제/NNG
도입	도입/NNG
등	등/NNB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
경제	경제/NNG
개혁·개방에	개혁/NNG+·/SP+개방/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
경우	경우/NNG
최소	최소/NNG
연간	연간/NNG
6~7%대의	6/SN+~/SO+7/SN+%/SW+대/XSN+의/JKG
고속	고속/NNG
성장을	성장/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.3.2
중국과 베트남 등 어떤 개혁·개방 방식을 택하더라도 실패할 가능성은 사실상 없는 것으로 분석됐다.

중국과	중국/NNP+과/JC
베트남	베트남/NNP
등	등/NNB
어떤	어떤/MMD
개혁·개방	개혁/NNG+·/SP+개방/NNG
방식을	방식/NNG+을/JKO
택하더라도	택하/VV+더라도/EC
