# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.367
metadata : {}


# id : NWRW1800000044.367.1.1
김명수, 이번엔 제자논문으로 연구과제 ‘돌려막기’ 드러나

김명수,	김명수/NNP+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
제자논문으로	제자/NNG+논문/NNG+으로/JKB
연구과제	연구/NNG+과제/NNG
‘돌려막기’	‘/SS+돌리/VV+어/EC+막/VV+기/ETN+’/SS
드러나	드러나/VV+아/EF


# id : NWRW1800000044.367.2.1
[한겨레] “책정된 연구비로 수행 어렵다”

[한겨레]	[/SS+한겨레/NNP+]/SS
“책정된	“/SS+책정/NNG+되/XSV+ㄴ/ETM
연구비로	연구비/NNG+로/JKB
수행	수행/NNG
어렵다”	어렵/VA+다/EF+”/SS


# id : NWRW1800000044.367.3.1
2008·2012년 두차례 과제변경뒤

2008·2012년	2008/SN+·/SP+2012/SN+년/NNB
두차례	두/MMN+차례/NNG
과제변경뒤	과제/NNG+변경/NNG+뒤/NNG


# id : NWRW1800000044.367.4.1
제자들 학위논문 요약한 글 제출

제자들	제자/NNG+들/XSN
학위논문	학위/NNG+논문/NNG
요약한	요약/NNG+하/XSV+ㄴ/ETM
글	글/NNG
제출	제출/NNG


# id : NWRW1800000044.367.5.1
연일 제자 논문 표절 및 연구비 수령 의혹이 불거지고 있는 김명수 사회부총리 겸 교육부 장관 후보자가 이번에는 새로운 주제를 연구한다는 이유로 대학으로부터 연구비를 받아놓은 뒤, 시간과 비용 부족을 이유로 연구주제를 제자 논문에 맞춰 바꾸고 제자 논문을 사실상 요약해 제출한 의혹이 추가로 제기됐다.

연일	연일/MAG
제자	제자/NNG
논문	논문/NNG
표절	표절/NNG
및	및/MAG
연구비	연구비/NNG
수령	수령/NNG
의혹이	의혹/NNG+이/JKS
불거지고	불거지/VV+고/EC
있는	있/VX+는/ETM
김명수	김명수/NNP
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부	교육부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
이번에는	이번/NNG+에/JKB+는/JX
새로운	새롭/VA+ㄴ/ETM
주제를	주제/NNG+를/JKO
연구한다는	연구/NNG+하/XSV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
대학으로부터	대학/NNG+으로부터/JKB
연구비를	연구비/NNG+를/JKO
받아놓은	받/VV+아/EC+놓/VX+은/ETM
뒤,	뒤/NNG+,/SP
시간과	시간/NNG+과/JC
비용	비용/NNG
부족을	부족/NNG+을/JKO
연구주제를	연구/NNG+주제/NNG+를/JKO
논문에	논문/NNG+에/JKB
맞춰	맞추/VV+어/EC
바꾸고	바꾸/VV+고/EC
논문을	논문/NNG+을/JKO
사실상	사실/NNG+상/XSN
요약해	요약/NNG+하/XSV+아/EC
제출한	제출/NNG+하/XSV+ㄴ/ETM
추가로	추가/NNG+로/JKB
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.367.5.2
김 후보는 이 과정에서 770만원의 연구비까지 받았다.

김	김/NNP
후보는	후보/NNG+는/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
770만원의	770/SN+만/NR+원/NNB+의/JKG
연구비까지	연구비/NNG+까지/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.367.6.1
안민석 새정치민주연합 의원실이 교원대에서 받은 김명수 후보자의 ‘2008년 연구과제명 변경신청서’를 보면, 김 후보자는 ‘교육전문직의 직능개발을 위한 직무분석에 관한 연구’를 진행하겠다며 대학에 보고했다가, ‘교사 근무성적 평정에 있어서 다면평가 도입에 대한 학교 구성원의 인식’으로 주제를 바꿨다.

안민석	안민석/NNP
새정치민주연합	새정치민주연합/NNP
의원실이	의원실/NNG+이/JKS
교원대에서	교원대/NNP+에서/JKB
받은	받/VV+은/ETM
김명수	김명수/NNP
후보자의	후보자/NNG+의/JKG
‘2008년	‘/SS+2008/SN+년/NNB
연구과제명	연구/NNG+과제명/NNG
변경신청서’를	변경/NNG+신청서/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
김	김/NNP
후보자는	후보자/NNG+는/JX
‘교육전문직의	‘/SS+교육/NNG+전문직/NNG+의/JKG
직능개발을	직능/NNG+개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
직무분석에	직무/NNG+분석/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
연구’를	연구/NNG+’/SS+를/JKO
진행하겠다며	진행/NNG+하/XSV+겠/EP+다며/EC
대학에	대학/NNG+에/JKB
보고했다가,	보고/NNG+하/XSV+았/EP+다가/EC+,/SP
‘교사	‘/SS+교사/NNG
근무성적	근무/NNG+성적/NNG
평정에	평정/NNG+에/JKB
있어서	있/VA+어서/EC
다면평가	다면/NNG+평가/NNG
도입에	도입/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
학교	학교/NNG
구성원의	구성원/NNG+의/JKG
인식’으로	인식/NNG+’/SS+으로/JKB
주제를	주제/NNG+를/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.367.6.2
이유는 ‘(애초 주제로는) 장기적인 시간이 필요하며 책정된 연구비로는 연구를 수행하기 어렵다’고 썼다.

이유는	이유/NNG+는/JX
‘(애초	‘/SS+(/SS+애초/NNG
주제로는)	주제/NNG+로/JKB+는/JX+)/SS
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
시간이	시간/NNG+이/JKS
필요하며	필요/NNG+하/XSA+며/EC
책정된	책정/NNG+되/XSV+ㄴ/ETM
연구비로는	연구비/NNG+로/JKB+는/JX
연구를	연구/NNG+를/JKO
수행하기	수행/NNG+하/XSV+기/ETN
어렵다’고	어렵/VA+다/EF+’/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.367.6.3
