# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.165
metadata : {}


# id : NWRW1800000046.165.1.1
서울 '자사고 때리기' 1년… "엄마 나 전학갈래"

서울	서울/NNP
'자사고	'/SS+자사고/NNG
때리기'	때리/VV+기/ETN+'/SS
1년…	1/SN+년/NNB+…/SE
"엄마	"/SS+엄마/NNG
나	나/NP
전학갈래"	전학/NNG+가/VV+ㄹ래/EF+"/SS


# id : NWRW1800000046.165.2.1
"지정 취소 위기 미림여고 30여명 전학신청"… 학생만 피해보는 자사고 평가

"지정	"/SS+지정/NNG
취소	취소/NNG
위기	위기/NNG
미림여고	미림여고/NNP
30여명	30/SN+여/XSN+명/NNB
전학신청"…	전학/NNG+신청/NNG+"/SS+…/SE
학생만	학생/NNG+만/JX
피해보는	피해/NNG+보/VV+는/ETM
자사고	자사고/NNG
평가	평가/NNG


# id : NWRW1800000046.165.3.1
작년 7월 조희연 서울시교육감이 취임한 직후부터 수개월간 지속됐던 '자사고 폐지 논란'이 1년 만에 재현(再現)되고 있다.

작년	작년/NNG
7월	7/SN+월/NNB
조희연	조희연/NNP
서울시교육감이	서울시/NNP+교육감/NNG+이/JKS
취임한	취임/NNG+하/XSV+ㄴ/ETM
직후부터	직후/NNG+부터/JX
수개월간	수개월/NNG+간/XSN
지속됐던	지속/NNG+되/XSV+었/EP+던/ETM
'자사고	'/SS+자사고/NNG
폐지	폐지/NNG
논란'이	논란/NNG+'/SS+이/JKS
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
재현(再現)되고	재현/NNG+(/SS+再現/SH+)/SS+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.165.3.2
조 교육감은 "제2의 고교 평준화를 위해서는 자사고 폐지가 불가피하다"며 이를 추진하고 있지만, 학부모들이 "진보 교육감 때문에 학생들만 억울하게 피해 본다"며 크게 반발하고 있다.

조	조/NNP
교육감은	교육감/NNG+은/JX
"제2의	"/SS+제/XPN+2/SN+의/JKG
고교	고교/NNG
평준화를	평준/NNG+화/XSN+를/JKO
위해서는	위하/VV+아서/EC+는/JX
자사고	자사고/NNG
폐지가	폐지/NNG+가/JKS
불가피하다"며	불가피하/VA+다/EF+"/SS+며/EC
이를	이/NP+를/JKO
추진하고	추진/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
학부모들이	학부모/NNG+들/XSN+이/JKS
"진보	"/SS+진보/NNG
교육감	교육감/NNG
때문에	때문/NNB+에/JKB
학생들만	학생/NNG+들/XSN+만/JX
억울하게	억울/NNG+하/XSA+게/EC
피해	피해/NNG
본다"며	보/VV+ㄴ다/EF+"/SS+며/EC
크게	크/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.165.4.1
◇학부모 "애꿎은 아이들만 피해"

◇학부모	◇/SW+학부모/NNG
"애꿎은	"/SS+애꿎/VA+은/ETM
아이들만	아이/NNG+들/XSN+만/JX
피해"	피해/NNG+"/SS


# id : NWRW1800000046.165.5.1
서울시교육청은 지난달 22일 올해 평가 대상인 11개 자사고 가운데 경문고, 미림여고, 세화여고, 장훈고 등 4곳이 자사고 재(再)지정 기준 점수(100점 만점에 60점)에 미달했다며 이 학교들을 대상으로 청문을 열겠다고 발표했다.

서울시교육청은	서울시교육청/NNP+은/JX
지난달	지난달/NNG
22일	22/SN+일/NNB
올해	올해/NNG
평가	평가/NNG
