# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.82
metadata : {}


# id : NWRW1800000045.82.1.1
한국수력원자력㈜, 공들여 인재 뽑아 최고 전력 전문가로 ‘탈바꿈’

한국수력원자력㈜,	한국수력원자력/NNP+㈜/SW+,/SP
공들여	공들이/VV+어/EC
인재	인재/NNG
뽑아	뽑/VV+아/EC
최고	최고/NNG
전력	전력/NNG
전문가로	전문가/NNG+로/JKB
‘탈바꿈’	‘/SS+탈바꿈/NNG+’/SS


# id : NWRW1800000045.82.2.1
[에너지 강국]

[에너지	[/SS+에너지/NNG
강국]	강국/NNG+]/SS


# id : NWRW1800000045.82.3.1
‘기본에 충실한 인재, 배려하는 상생 인재, 글로벌 전문 인재’

‘기본에	‘/SS+기본/NNG+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
인재,	인재/NNG+,/SP
배려하는	배려/NNG+하/XSV+는/ETM
상생	상생/NNG
글로벌	글로벌/NNG
전문	전문/NNG
인재’	인재/NNG+’/SS


# id : NWRW1800000045.82.4.1
국내 전력의 30%를 생산하는 한국수력원자력은 이 같은 세 가지 가치를 중심으로 자체 인재 양성 기관인 한수원 인재개발원을 운영하고 있다.

국내	국내/NNG
전력의	전력/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
생산하는	생산/NNG+하/XSV+는/ETM
한국수력원자력은	한국수력원자력/NNP+은/JX
이	이/NP
같은	같/VA+은/ETM
세	세/MMN
가지	가지/NNB
가치를	가치/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
자체	자체/NNG
인재	인재/NNG
양성	양성/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
한수원	한수원/NNP
인재개발원을	인재/NNG+개발원/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.82.4.2
공들여 뽑은 인재를 각 분야 최고의 전문가로 양성하겠다는 취지다.

공들여	공들이/VV+어/EC
뽑은	뽑/VV+은/ETM
인재를	인재/NNG+를/JKO
각	각/MMD
분야	분야/NNG
최고의	최고/NNG+의/JKG
전문가로	전문가/NNG+로/JKB
양성하겠다는	양성/NNG+하/XSV+겠/EP+다는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.82.5.1
한수원 인재개발원은 오프라인 교육과 온라인 교육을 병행하며 해마다 4만6000여 명의 교육생을 배출하는 경제계 기준 국내 10위권 규모의 교육기관이다.

한수원	한수원/NNP
인재개발원은	인재/NNG+개발원/NNG+은/JX
오프라인	오프라인/NNG
교육과	교육/NNG+과/JC
온라인	온라인/NNG
교육을	교육/NNG+을/JKO
병행하며	병행/NNG+하/XSV+며/EC
해마다	해마다/MAG
4만6000여	4/SN+만/NR+6000/SN+여/XSN
명의	명/NNB+의/JKG
교육생을	교육/NNG+생/XSN+을/JKO
배출하는	배출/NNG+하/XSV+는/ETM
경제계	경제/NNG+계/XSN
기준	기준/NNG
국내	국내/NNG
10위권	10/SN+위/NNB+권/XSN
