# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.193
metadata : {}


# id : NWRW1800000041.193.1.1
許 뉴질랜드 17개 법인 모두 페이퍼컴퍼니

許	許/SH
뉴질랜드	뉴질랜드/NNP
17개	17/SN+개/NNB
법인	법인/NNG
모두	모두/MAG
페이퍼컴퍼니	페이퍼/NNG+컴퍼니/NNG


# id : NWRW1800000041.193.2.1
회계법인이 쓰는 오클랜드 10층 건물에 주소지

회계법인이	회계/NNG+법인/NNG+이/JKS
쓰는	쓰/VV+는/ETM
오클랜드	오클랜드/NNP
10층	10/SN+층/NNG
건물에	건물/NNG+에/JKB
주소지	주소지/NNG


# id : NWRW1800000041.193.3.1
뉴질랜드 오클랜드 시청에서 차로 15분 정도 떨어진 카이버 패스로드 25번지.

뉴질랜드	뉴질랜드/NNP
오클랜드	오클랜드/NNP
시청에서	시청/NNG+에서/JKB
차로	차/NNG+로/JKB
15분	15/SN+분/NNB
정도	정도/NNG
떨어진	떨어지/VV+ㄴ/ETM
카이버	카이버/NNP
패스로드	패스로드/NNP
25번지.	25/SN+번지/NNG+./SF


# id : NWRW1800000041.193.3.2
10층짜리 건물인 ‘아웃소스 IT타워’가 서 있다.

10층짜리	10/SN+층/NNG+짜리/XSN
건물인	건물/NNG+이/VCP+ㄴ/ETM
‘아웃소스	‘/SS+아웃소스/NNP
IT타워’가	IT타워/NNP+’/SS+가/JKS
서	서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.193.3.3
가나다개발, KNZ인터내셔널, KNZ건설, 빅토리아타워개발, 유토피아타워개발 등 대주그룹 허재호 전 회장(72)과 관련이 있는 뉴질랜드 현지 법인 17곳의 주소지가 모두 이 건물로 돼 있다.

가나다개발,	가나다개발/NNP+,/SP
KNZ인터내셔널,	KNZ인터내셔널/NNP+,/SP
KNZ건설,	KNZ건설/NNP+,/SP
빅토리아타워개발,	빅토리아타워개발/NNP+,/SP
유토피아타워개발	유토피아타워개발/NNP
등	등/NNB
대주그룹	대주그룹/NNP
허재호	허재호/NNP
전	전/MMD
회장(72)과	회장/NNG+(/SS+72/SN+)/SS+과/JKB
관련이	관련/NNG+이/JKS
있는	있/VA+는/ETM
뉴질랜드	뉴질랜드/NNP
현지	현지/NNG
법인	법인/NNG
17곳의	17/SN+곳/NNG+의/JKG
주소지가	주소지/NNG+가/JKS
모두	모두/MAG
이	이/MMD
건물로	건물/NNG+로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.193.3.4
하지만 이곳은 뉴질랜드 유명 회계법인 중 하나인 챗필드 회계법인이 본사로 쓰고 있고 다른 회사가 입주해 있지는 않았다.

하지만	하지만/MAJ
이곳은	이곳/NP+은/JX
뉴질랜드	뉴질랜드/NNP
유명	유명/NNG
회계법인	회계/NNG+법인/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
챗필드	챗필드/NNP
회계법인이	회계/NNG+법인/NNG+이/JKS
본사로	본사/NNG+로/JKB
쓰고	쓰/VV+고/EC
있고	있/VX+고/EC
다른	다른/MMD
회사가	회사/NNG+가/JKS
입주해	입주/NNG+하/XSV+아/EC
있지는	있/VX+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.193.4.1
이 건물 10층에 있는 회계법인으로 찾아가자 한국인 직원이 나왔다.

이	이/MMD
건물	건물/NNG
10층에	10/SN+층/NNG+에/JKB
있는	있/VA+는/ETM
회계법인으로	회계/NNG+법인/NNG+으로/JKB
찾아가자	찾아가/VV+자/EC
한국인	한국인/NNG
직원이	직원/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.193.4.2
“허 전 회장의 사무실을 찾아왔는데, 이 회사밖에 없다.

“허	“/SS+허/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
사무실을	사무실/NNG+을/JKO
