# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.155
metadata : {}


# id : NWRW1800000022.155.1.1
"黨政과 충분한 공감대 없이 월권" "곽 위원장이 '교육 부통령'이냐";여야 '곽승준 때리기'

"黨政과	"/SS+黨政/SH+과/JKB
충분한	충분하/VA+ㄴ/ETM
공감대	공감대/NNG
없이	없이/MAG
월권"	월권/NNG+"/SS
"곽	"/SS+곽/NNP
위원장이	위원장/NNG+이/JKS
'교육	'/SS+교육/NNG
부통령'이냐";여야	부통령/NNG+'/SS+이/VCP+냐/EF+"/SS+;/SW+여야/NNG
'곽승준	'/SS+곽승준/NNP
때리기'	때리/VV+기/ETN+'/SS


# id : NWRW1800000022.155.2.1
학원 심야교습 금지를 비롯, '사교육과의 전쟁'을 주도하고 있는 곽승준 미래기획위원장에 대해 28일 여야 정치권이 일제히 비난하고 나섰다.

학원	학원/NNG
심야교습	심야/NNG+교습/NNG
금지를	금지/NNG+를/JKO
비롯,	비롯/XR+,/SP
'사교육과의	'/SS+사교육/NNG+과/JKB+의/JKG
전쟁'을	전쟁/NNG+'/SS+을/JKO
주도하고	주도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
곽승준	곽승준/NNP
미래기획위원장에	미래/NNG+기획/NNG+위원장/NNG+에/JKB
대해	대하/VV+아/EC
28일	28/SN+일/NNB
여야	여야/NNG
정치권이	정치/NNG+권/XSN+이/JKS
일제히	일제히/MAG
비난하고	비난/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.155.2.2
대통령 자문기관장인 곽 위원장이 당정과 충분한 공감대도 없이 민감한 교육 문제에 대해 월권을 하고 있다는 게 비판의 초점이었다.

대통령	대통령/NNG
자문기관장인	자문/NNG+기관장/NNG+이/VCP+ㄴ/ETM
곽	곽/NNP
위원장이	위원장/NNG+이/JKS
당정과	당정/NNG+과/JC
충분한	충분하/VA+ㄴ/ETM
공감대도	공감대/NNG+도/JX
없이	없이/MAG
민감한	민감/NNG+하/XSA+ㄴ/ETM
교육	교육/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
월권을	월권/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
비판의	비판/NNG+의/JKG
초점이었다.	초점/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.155.3.1
한나라당 홍준표 원내대표는 이날 원내대책회의에서 "자문기관인 미래기획위원장은 대통령에게 보고하는 것으로 (역할이) 끝나는 것인데도 마치 자신이 집행기관인 것처럼 (언론에) 마음대로 이야기하고 있다"며 "교과부와 혼선을 빚는 것은 옳지 않다"고 비판했다.

한나라당	한나라당/NNP
홍준표	홍준표/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
원내대책회의에서	원내/NNG+대책/NNG+회의/NNG+에서/JKB
"자문기관인	"/SS+자문/NNG+기관/NNG+이/VCP+ㄴ/ETM
미래기획위원장은	미래/NNG+기획/NNG+위원장/NNG+은/JX
대통령에게	대통령/NNG+에게/JKB
보고하는	보고/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
(역할이)	(/SS+역할/NNG+이/JKS+)/SS
끝나는	끝나/VV+는/ETM
것인데도	것/NNB+이/VCP+ㄴ데/EC+도/JX
마치	마치/MAG
자신이	자신/NNG+이/JKS
