# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.233
metadata : {}


# id : NWRW1800000048.233.1.1
[단독] 쌍용차 노사, 해고 노동자 복직 논의 시작

[단독]	[/SS+단독/NNG+]/SS
쌍용차	쌍용차/NNP
노사,	노사/NNG+,/SP
해고	해고/NNG
노동자	노동자/NNG
복직	복직/NNG
논의	논의/NNG
시작	시작/NNG


# id : NWRW1800000048.233.2.1
평택공장에서 3자 교섭 벌여…5년 5개월만에 첫 공식 대화

평택공장에서	평택/NNP+공장/NNG+에서/JKB
3자	3자/NNG
교섭	교섭/NNG
벌여…5년	벌이/VV+어/EF+…/SE+5/SN+년/NNB
5개월만에	5/SN+개월/NNB+만/NNB+에/JKB
첫	첫/MMN
공식	공식/NNG
대화	대화/NNG


# id : NWRW1800000048.233.3.1
해고자 복직·손배소 철회·회사 정상화 등 ‘4대 의제’ 확정

해고자	해고자/NNG
복직·손배소	복직/NNG+·/SP+손배소/NNG
철회·회사	철회/NNG+·/SP+회사/NNG
정상화	정상/NNG+화/XSN
등	등/NNB
‘4대	‘/SS+4/SN+대/NNG
의제’	의제/NNG+’/SS
확정	확정/NNG


# id : NWRW1800000048.233.4.1
쌍용자동차 노사가 2009년 정리해고자 복직과 손해배상 가압류 문제 해결 등을 논의하기로 합의했다.

쌍용자동차	쌍용자동차/NNP
노사가	노사/NNG+가/JKS
2009년	2009/SN+년/NNB
정리해고자	정리/NNG+해고자/NNG
복직과	복직/NNG+과/JC
손해배상	손해/NNG+배상/NNG
가압류	가/XPN+압류/NNG
문제	문제/NNG
해결	해결/NNG
등을	등/NNB+을/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.233.4.2
노사 대화가 본격화되면서 6년여 동안 한국 사회에 거대한 생채기를 남긴 쌍용차 정리해고 사태가 마무리될 수 있으리란 기대를 모으고 있다.

노사	노사/NNG
대화가	대화/NNG+가/JKS
본격화되면서	본격/NNG+화/XSN+되/XSV+면서/EC
6년여	6/SN+년/NNB+여/XSN
동안	동안/NNG
한국	한국/NNP
사회에	사회/NNG+에/JKB
거대한	거대/NNG+하/XSA+ㄴ/ETM
생채기를	생채기/NNG+를/JKO
남긴	남기/VV+ㄴ/ETM
쌍용차	쌍용차/NNP
정리해고	정리/NNG+해고/NNG
사태가	사태/NNG+가/JKS
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있으리란	있/VA+으리란/ETM
기대를	기대/NNG+를/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.233.5.1
전국금속노조 쌍용차지부 김득중 지부장과 이유일 쌍용차 사장, 김규한 쌍용차 기업노조 위원장은 21일 오전 10시부터 경기도 평택 쌍용차 공장 사무실에서 만나 3자 교섭을 벌였다.

전국금속노조	전국금속노조/NNP
쌍용차지부	쌍용차/NNP+지부/NNG
김득중	김득중/NNP
지부장과	지부장/NNG+과/JC
이유일	이유일/NNP
쌍용차	쌍용차/NNP
사장,	사장/NNG+,/SP
김규한	김규한/NNP
기업노조	기업/NNG+노조/NNG
위원장은	위원장/NNG+은/JX
21일	21/SN+일/NNB
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
경기도	경기도/NNP
평택	평택/NNP
공장	공장/NNG
사무실에서	사무실/NNG+에서/JKB
만나	만나/VV+아/EC
3자	3자/NNG
교섭을	교섭/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.233.5.2
회사와 쌍용차지부는 1시간가량 이어진 교섭이 끝난 뒤 정리해고 사태를 해결하기 위한 “4대 의제를 확정하고 실무교섭을 빠르게 진행하기로 합의했다”고 밝혔다.

회사와	회사/NNG+와/JC
쌍용차지부는	쌍용차/NNP+지부/NNG+는/JX
1시간가량	1/SN+시간/NNB+가량/XSN
이어진	이어지/VV+ㄴ/ETM
교섭이	교섭/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
정리해고	정리/NNG+해고/NNG
사태를	사태/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
“4대	“/SS+4/SN+대/NNG
의제를	의제/NNG+를/JKO
확정하고	확정/NNG+하/XSV+고/EC
실무교섭을	실무/NNG+교섭/NNG+을/JKO
빠르게	빠르/VA+게/EC
진행하기로	진행/NNG+하/XSV+기/ETN+로/JKB
합의했다”고	합의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.233.5.3
4대 의제는 △해고자 복직 △손배 가압류 철회 △쌍용차 정상화 △26명 희생자에 대한 지원대책이다.

4대	4/SN+대/NNG
의제는	의제/NNG+는/JX
△해고자	△/SW+해고자/NNG
복직	복직/NNG
△손배	△/SW+손배/NNG
가압류	가/XPN+압류/NNG
철회	철회/NNG
△쌍용차	△/SW+쌍용차/NNP
정상화	정상/NNG+화/XSN
△26명	△/SW+26/SN+명/NNB
희생자에	희생자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원대책이다.	지원/NNG+대책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.233.6.1
쌍용차지부와 회사 쪽이 교섭을 위한 테이블에 마주 앉은 것은 파업 종료를 합의한 2009년 8월 이후 5년5개월 만이다.

쌍용차지부와	쌍용차/NNP+지부/NNG+와/JC
회사	회사/NNG
쪽이	쪽/NNB+이/JKS
교섭을	교섭/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
테이블에	테이블/NNG+에/JKB
마주	마주/MAG
앉은	앉/VV+은/ETM
것은	것/NNB+은/JX
파업	파업/NNG
종료를	종료/NNG+를/JKO
합의한	합의/NNG+하/XSV+ㄴ/ETM
2009년	2009/SN+년/NNB
8월	8/SN+월/NNB
이후	이후/NNG
5년5개월	5/SN+년/NNB+5/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.233.6.2
노사는 4대 의제를 논의하기 위한 구체적 실무교섭 일자와 주기 등을 따로 협의해 확정하기로 했다.

노사는	노사/NNG+는/JX
4대	4/SN+대/NNG
의제를	의제/NNG+를/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
구체적	구체/NNG+적/XSN
실무교섭	실무/NNG+교섭/NNG
일자와	일자/NNG+와/JC
주기	주기/NNG
등을	등/NNB+을/JKO
따로	따로/MAG
