# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.129
metadata : {}


# id : NWRW1800000037.129.1.1
국악춤판 볼까 모던발레 볼까

국악춤판	국악/NNG+춤판/NNG
볼까	보/VV+ㄹ까/EF
모던발레	모던/NNG+발레/NNG


# id : NWRW1800000037.129.2.1
5월 19일까지 강동스프링댄스페스티벌

5월	5/SN+월/NNB
19일까지	19/SN+일/NNB+까지/JX
강동스프링댄스페스티벌	강동/NNP+스프링/NNG+댄스/NNG+페스티벌/NNG


# id : NWRW1800000037.129.3.1
강동스프링댄스페스티벌(21일∼5월 19일)에 가면 온갖 무용을 비교적 저렴한 가격으로 즐길 수 있다.

강동스프링댄스페스티벌(21일∼5월	강동/NNP+스프링/NNG+댄스/NNG+페스티벌/NNG+(/SS+21/SN+일/NNB+∼/SO+5/SN+월/NNB
19일)에	19/SN+일/NNB+)/SS+에/JKB
가면	가/VV+면/EC
온갖	온갖/MMN
무용을	무용/NNG+을/JKO
비교적	비교/NNG+적/XSN
저렴한	저렴하/VA+ㄴ/ETM
가격으로	가격/NNG+으로/JKB
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.129.3.2
페스티벌의 열쇳말은 현대무용, 한국무용, 발레 3개 무용장르의 소통과 화합을 의미하는 ‘통(通)’이다.

페스티벌의	페스티벌/NNG+의/JKG
열쇳말은	열쇳말/NNG+은/JX
현대무용,	현대/NNG+무용/NNG+,/SP
한국무용,	한국/NNP+무용/NNG+,/SP
발레	발레/NNG
3개	3/SN+개/NNB
무용장르의	무용/NNG+장르/NNG+의/JKG
소통과	소통/NNG+과/JC
화합을	화합/NNG+을/JKO
의미하는	의미/NNG+하/XSV+는/ETM
‘통(通)’이다.	‘/SS+통/NNG+(/SS+通/SH+)/SS+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.129.4.1
26, 27일 대극장 한강에서 열리는 개막공연에서는 한국무용과 발레, 현대무용이 어우러진다.

26,	26/SN+,/SP
27일	27/SN+일/NNB
대극장	대/XPN+극장/NNG
한강에서	한강/NNP+에서/JKB
열리는	열리/VV+는/ETM
개막공연에서는	개막/NNG+공연/NNG+에서/JKB+는/JX
한국무용과	한국/NNP+무용/NNG+과/JC
발레,	발레/NNG+,/SP
현대무용이	현대/NNG+무용/NNG+이/JKS
어우러진다.	어우러지/VV+ㄴ다/EF+./SF


